FusionName	Fusion_Type	Gene_Symbol	Gene_Position	Fusion_anno	BreakpointLocation	annots	Kinase_domain_retained_Gene1A	Kinase_domain_retained_Gene1B	Reciprocal_exists_either_gene_kinase	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
RBFOX2--OPCML	frameshift	OPCML	Gene1B		Genic	[INTERCHROMOSOMAL[chr22--chr11]], translocation			FALSE		TumorSuppressorGene, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
SOX5--DUSP16	frameshift	DUSP16	Gene1B		Genic	[INTRACHROMOSOMAL[chr12:10.97Mb]], deletion			FALSE	Oncogene, TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
AFDN--AFDN	frameshift	AFDN	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr6:0.15Mb]], duplication/non-canonical_splicing			FALSE	CosmicCensus, Oncogene	CosmicCensus, Oncogene			4/86	4.65%	0/60	0.00%	0/17	0.00%
AL139099.5--IGF2	other	IGF2	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr11]]			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
EIF3J-AS1--ID3/MDS2	other	ID3	Gene1B		Intergenic	[], translocation			FALSE		CosmicCensus, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
MAP3K4--MAP3K4	frameshift	MAP3K4	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr6:0.13Mb]], duplication/non-canonical_splicing	No	No	TRUE	Kinase, TumorSuppressorGene, Kinase	Kinase, TumorSuppressorGene, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
MAST4--MAST4	in-frame	MAST4	Gene1B		Intragenic	[SELFIE, [\ChimerSeq\], INTRACHROMOSOMAL[chr5:0.57Mb]], duplication/non-canonical_splicing	Yes	Partial	TRUE	Kinase, Kinase	Kinase, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
NCOA6--NCOA6	frameshift	NCOA6	Gene1B		Intragenic	[SELFIE, [\ChimerSeq\], INTRACHROMOSOMAL[chr20:0.14Mb]], duplication/non-canonical_splicing			FALSE	Oncogene	Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
PTPRU--AL807740.1	frameshift	AL807740.1	Gene1B		Genic	[INTERCHROMOSOMAL[chr1--chrX]], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
PTPRU--AL928596.1/AL807740.1	frameshift	AL928596.1	Gene1B		Intergenic	[], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
RN7SL1--IGF2	other	IGF2	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr11]]			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
TP53BP1--PRR32/Z82209.1	frameshift	PRR32	Gene1B		Intergenic	[], translocation			FALSE	TumorSuppressorGene				1/86	1.16%	0/60	0.00%	0/17	0.00%
CNNM2--BMPR1B	frameshift	BMPR1B	Gene1B		Genic	[INTERCHROMOSOMAL[chr10--chr4]], translocation		No	FALSE		Kinase, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
GSK3B--LINC02485/U6	frameshift	LINC02485	Gene1B		Intergenic	[], translocation	No		FALSE	Kinase, TumorSuppressorGene, Oncogene, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
NFIA--PATJ	frameshift	PATJ	Gene1B		Genic	[INTRACHROMOSOMAL[chr1:0.28Mb]], inversion/3'-3'			FALSE	TranscriptionFactor	Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
NFIA--TM2D1	in-frame	TM2D1	Gene1B		Genic	[INTRACHROMOSOMAL[chr1:0.22Mb]], inversion			FALSE	TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
ROR1--AP001360.2/TRIM29	frameshift	AP001360.2	Gene1B		Intergenic	[], translocation	No		FALSE	Kinase, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
NEK10--NEK10	in-frame	NEK10	Gene1B		Intragenic	[SELFIE, [\ChimerKB\], INTRACHROMOSOMAL[chr3:0.26Mb]], duplication/non-canonical_splicing	Partial	Yes	TRUE	Kinase, Kinase	Kinase, Kinase			6/86	6.98%	0/60	0.00%	0/17	0.00%
NEK10--NEK10	in-frame	NEK10	Gene1B		Intragenic	[SELFIE, [\ChimerKB\], INTRACHROMOSOMAL[chr3:0.26Mb]], duplication/non-canonical_splicing	Yes	Yes	TRUE	Kinase, Kinase	Kinase, Kinase			6/86	6.98%	0/60	0.00%	0/17	0.00%
LINC02319--AL118557.1/PTGDR	other	AL118557.1	Gene1B		Intergenic	[], duplication			FALSE					2/86	2.33%	0/60	0.00%	0/17	0.00%
ERBB4--ERBB4	frameshift	ERBB4	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr2:1.16Mb]], duplication/non-canonical_splicing	No	No	TRUE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene, Kinase	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
MDM2--HNRNPA1	other	HNRNPA1	Gene1B		Genic	[INTRACHROMOSOMAL[chr12:14.52Mb]], duplication			FALSE	CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
ADAMTS9--GEMIN8/AC002524.1	frameshift	GEMIN8	Gene1B		Intergenic	[], translocation			FALSE	TumorSuppressorGene				1/86	1.16%	0/60	0.00%	0/17	0.00%
C11orf95--RELA/RN7SL309P	frameshift	RELA	Gene1B		Intergenic	[], duplication			FALSE		Oncogene, TranscriptionFactor			3/86	3.49%	0/60	0.00%	0/17	0.00%
EIF1AX--FGF13	other	FGF13	Gene1B		Genic	[INTRACHROMOSOMAL[chrX:118.47Mb]], duplication			FALSE	CosmicCensus, Oncogene	Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
IL1RAPL1--ADAMTS9	in-frame	ADAMTS9	Gene1B		Genic	[INTERCHROMOSOMAL[chrX--chr3]], translocation			FALSE		TumorSuppressorGene			1/86	1.16%	0/60	0.00%	0/17	0.00%
MAGI1--SYAP1	in-frame	SYAP1	Gene1B		Genic	[INTERCHROMOSOMAL[chr3--chrX]], translocation			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
MARK2--RPL21P41/KBTBD8	frameshift	RPL21P41	Gene1B		Intergenic	[], translocation	No		FALSE	Kinase, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
PFKFB4--ADAMTS9	frameshift	ADAMTS9	Gene1B		Genic	[INTRACHROMOSOMAL[chr3:15.95Mb]], duplication			FALSE		TumorSuppressorGene			1/86	1.16%	0/60	0.00%	0/17	0.00%
SF3B1--HSPE1-MOB4	frameshift	HSPE1-MOB4	Gene1B		Genic	[INTRACHROMOSOMAL[chr2:0.07Mb], LOCAL_INVERSION:-:+:[65322]], duplication/5'-5'			FALSE	CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
SF3B1--MOB4	frameshift	MOB4	Gene1B		Genic	[INTRACHROMOSOMAL[chr2:0.08Mb], LOCAL_INVERSION:-:+:[80480]], duplication/5'-5'			FALSE	CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
ADAMTS18--ADAMTS18	frameshift	ADAMTS18	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr16:0.19Mb]], duplication/non-canonical_splicing			FALSE	TumorSuppressorGene, Oncogene	TumorSuppressorGene, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
PRKCE--LINC01121	frameshift	LINC01121	Gene1B		Genic	[INTRACHROMOSOMAL[chr2:0.33Mb]], duplication/5'-5'	No		FALSE	TumorSuppressorGene, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
CDH10--CDH10	frameshift	CDH10	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr5:0.16Mb]], duplication			FALSE	CosmicCensus, Oncogene	CosmicCensus, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
CFAP43--CFAP43	in-frame	CFAP43	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr10:0.10Mb]], duplication/non-canonical_splicing			FALSE					3/86	3.49%	0/60	0.00%	0/17	0.00%
SPARCL1--GREB1L	other	GREB1L	Gene1B		Genic	[INTERCHROMOSOMAL[chr4--chr18]], translocation			FALSE	TumorSuppressorGene				1/86	1.16%	0/60	0.00%	0/17	0.00%
AGPAT3--CD44	frameshift	CD44	Gene1B		Genic	[INTERCHROMOSOMAL[chr21--chr11]], translocation			FALSE		TumorSuppressorGene, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
GRK4--NOP14-AS1	other	NOP14-AS1	Gene1B		Genic	[INTRACHROMOSOMAL[chr4:0.00Mb], LOCAL_REARRANGEMENT:+:[1870]]	No		FALSE	Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
IGFBP5--AL139099.5	other	AL139099.5	Gene1B		Genic	[INTERCHROMOSOMAL[chr2--chr14]]			FALSE	TumorSuppressorGene, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
IGFBP5--RN7SL1	other	RN7SL1	Gene1B		Genic	[INTERCHROMOSOMAL[chr2--chr14]]			FALSE	TumorSuppressorGene, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
EPB41L3--EPB41L3	frameshift	EPB41L3	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr18:0.24Mb]], duplication/non-canonical_splicing			FALSE	TumorSuppressorGene, Oncogene	TumorSuppressorGene, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
AL355075.4--IGF2	other	IGF2	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr11]]			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
C11orf95--NCOA2	frameshift	NCOA2	Gene1B		Genic	[INTERCHROMOSOMAL[chr11--chr8]], translocation			FALSE		CosmicCensus, Oncogene, TranscriptionFactor			1/86	1.16%	0/60	0.00%	0/17	0.00%
C11orf95--NCOA2	in-frame	NCOA2	Gene1B		Genic	[INTERCHROMOSOMAL[chr11--chr8]]			FALSE		CosmicCensus, Oncogene, TranscriptionFactor			1/86	1.16%	0/60	0.00%	0/17	0.00%
JAG2--TMOD2	frameshift	TMOD2	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr15]], translocation/5'-5'			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
NCOA2--JAG2	frameshift	JAG2	Gene1B		Genic	[INTERCHROMOSOMAL[chr8--chr14]], translocation			FALSE	CosmicCensus, Oncogene, TranscriptionFactor	Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
RPPH1--IGF2	other	IGF2	Gene1B		Genic	[INTERCHROMOSOMAL[chr14--chr11]]			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
EIF2AK4--CCDC47	in-frame	CCDC47	Gene1B		Genic	[INTERCHROMOSOMAL[chr15--chr17]], translocation	Yes		FALSE	Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
YAP1--MAMLD1	in-frame	MAMLD1	Gene1B		Genic	[INTERCHROMOSOMAL[chr11--chrX]], translocation			FALSE	TumorSuppressorGene, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
C2CD3--MACROD1	in-frame	MACROD1	Gene1B		Genic	[INTRACHROMOSOMAL[chr11:9.85Mb]], deletion			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
C2CD3--MACROD1/STIP1	frameshift	MACROD1	Gene1B		Intergenic	[], deletion			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
VRK3--AC010624.1	other	AC010624.1	Gene1B		Genic	[INTRACHROMOSOMAL[chr19:0.02Mb], LOCAL_INVERSION:-:+:[24643]], duplication/5'-5'	No		FALSE	Kinase, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
AC022387.1--DDR2	other	DDR2	Gene1B		Genic	[INTERCHROMOSOMAL[chr10--chr1]], translocation/3'-3'		No	FALSE		Kinase, TumorSuppressorGene, CosmicCensus, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
BNC2--SGMS1	frameshift	SGMS1	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr10]], translocation			FALSE	TranscriptionFactor	TumorSuppressorGene, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
CHD9--PHKB	in-frame	PHKB	Gene1B		Genic	[INTRACHROMOSOMAL[chr16:5.35Mb]], duplication			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
ERCC6--FTH1P12/RNU6-246P	frameshift	FTH1P12	Gene1B		Intergenic	[], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
FGF14--UBAC2	in-frame	UBAC2	Gene1B		Genic	[INTRACHROMOSOMAL[chr13:2.32Mb]], inversion			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
GLI3--RALA	frameshift	RALA	Gene1B		Genic	[INTRACHROMOSOMAL[chr7:2.25Mb]], deletion/5'-5'			FALSE	Oncogene, TranscriptionFactor	Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
KIF21A--DYNLRB2	frameshift	DYNLRB2	Gene1B		Genic	[INTERCHROMOSOMAL[chr12--chr16]], translocation			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
KIF21A--SNAPC3	frameshift	SNAPC3	Gene1B		Genic	[INTERCHROMOSOMAL[chr12--chr9]], translocation/5'-5'			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
NOTCH1--AGPAT2/FAM69B	frameshift	AGPAT2	Gene1B		Intergenic	[], duplication			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
PCCA--FGF14	frameshift	FGF14	Gene1B		Genic	[INTRACHROMOSOMAL[chr13:1.18Mb]], deletion/5'-5'			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
PHKB--CHD9	frameshift	CHD9	Gene1B		Genic	[INTRACHROMOSOMAL[chr16:5.35Mb]], deletion			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
PIK3CB--CLSTN2	frameshift	CLSTN2	Gene1B		Genic	[CCLE, INTRACHROMOSOMAL[chr3:1.10Mb]], duplication/5'-5'	No		FALSE	CosmicCensus, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
PSIP1--KIF21A	other	KIF21A	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr12]], translocation/3'-3'			FALSE	CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
RBL2--AC002524.1/GLRA2	frameshift	AC002524.1	Gene1B		Intergenic	[], translocation			FALSE	TumorSuppressorGene, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
RSPRY1--SNAPC3	other	SNAPC3	Gene1B		Genic	[INTERCHROMOSOMAL[chr16--chr9]], translocation			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
SARNP--AL590824.1/FAM46A	frameshift	AL590824.1	Gene1B		Intergenic	[], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
SGMS1--BNC2	other	BNC2	Gene1B		Genic	[INTERCHROMOSOMAL[chr10--chr9]], translocation			FALSE	TumorSuppressorGene, Oncogene	TranscriptionFactor			1/86	1.16%	0/60	0.00%	0/17	0.00%
SNAPC3--KIF21A	other	KIF21A	Gene1B		Genic	[INTERCHROMOSOMAL[chr9--chr12]], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
TNFAIP1--AC007491.1/CRNDE	frameshift	AC007491.1	Gene1B		Intergenic	[], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
AKAP8L--RAB1B	frameshift	RAB1B	Gene1B		Genic	[INTERCHROMOSOMAL[chr19--chr11]], translocation			FALSE	TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
BCOR--BX119917.1	other	BX119917.1	Gene1B		Genic	[INTRACHROMOSOMAL[chrX:31.98Mb]], duplication/5'-5'			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
BCOR--NHSL2	other	NHSL2	Gene1B		Genic	[INTRACHROMOSOMAL[chrX:31.73Mb]], duplication/5'-5'			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
C19orf60--SH3KBP1	frameshift	SH3KBP1	Gene1B		Genic	[INTERCHROMOSOMAL[chr19--chrX]], translocation			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
C19orf60--SH3KBP1	in-frame	SH3KBP1	Gene1B		Genic	[INTERCHROMOSOMAL[chr19--chrX]], translocation			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
CHKA--SLC35E1	other	SLC35E1	Gene1B		Genic	[INTERCHROMOSOMAL[chr11--chr19]], translocation	Yes		FALSE	Oncogene, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
MEN1--CPAMD8	other	CPAMD8	Gene1B		Genic	[INTERCHROMOSOMAL[chr11--chr19]], translocation/5'-5'			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
MYO9B--CHKA	other	CHKA	Gene1B		Genic	[INTERCHROMOSOMAL[chr19--chr11]], translocation		No	FALSE		Oncogene, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
PREX2--PREX2	in-frame	PREX2	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr8:0.28Mb]], duplication/non-canonical_splicing			FALSE	CosmicCensus	CosmicCensus			3/86	3.49%	0/60	0.00%	0/17	0.00%
VPS51--YIF1A	in-frame	YIF1A	Gene1B		Genic	[INTRACHROMOSOMAL[chr11:1.17Mb]], inversion			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
ASXL1--SNRPN	frameshift	SNRPN	Gene1B		Genic	[INTERCHROMOSOMAL[chr20--chr15]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
BCOR--EP300	frameshift	EP300	Gene1B		Genic	[ChimerSeq, FA_CancerSupp, INTERCHROMOSOMAL[chrX--chr22]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene	CosmicCensus, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
CCDC62--DENR	in-frame	DENR	Gene1B		Genic	[INTRACHROMOSOMAL[chr12:0.00Mb], LOCAL_REARRANGEMENT:+:[3263]], duplication			FALSE		Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
EP300--BCOR	in-frame	BCOR	Gene1B	TCGAFusion	Genic	[FA_CancerSupp, ChimerSeq, INTERCHROMOSOMAL[chr22--chrX]]			FALSE	CosmicCensus, Oncogene	TumorSuppressorGene, CosmicCensus, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
EP300--BCOR	in-frame	BCOR	Gene1B	TCGAFusion	Genic	[FA_CancerSupp, ChimerSeq, INTERCHROMOSOMAL[chr22--chrX]], translocation			FALSE	CosmicCensus, Oncogene	TumorSuppressorGene, CosmicCensus, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
SGMS1--ARHGAP22	other	ARHGAP22	Gene1B		Genic	[INTRACHROMOSOMAL[chr10:1.65Mb]], deletion			FALSE	TumorSuppressorGene, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
MAML2--AP000787.1/AP001790.1	other	AP000787.1	Gene1B		Intergenic	[], inversion			FALSE	CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
MAML2--NHSL2	frameshift	NHSL2	Gene1B		Genic	[INTERCHROMOSOMAL[chr11--chrX]], translocation/5'-5'			FALSE	CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
ABCC9--ABCC9	in-frame	ABCC9	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr12:0.15Mb]], duplication/non-canonical_splicing			FALSE					3/86	3.49%	0/60	0.00%	0/17	0.00%
AIP--RCN1	other	RCN1	Gene1B		Genic	[INTRACHROMOSOMAL[chr11:35.38Mb]], duplication			FALSE	TumorSuppressorGene				1/86	1.16%	0/60	0.00%	0/17	0.00%
HOXC10--TRHDE	frameshift	TRHDE	Gene1B		Genic	[INTRACHROMOSOMAL[chr12:18.28Mb]], deletion			FALSE	TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
LINC01019--LINC01019/IRX1	other	IRX1	Gene2B		Intergenic	[], duplication			FALSE					4/86	4.65%	0/60	0.00%	0/17	0.00%
RPS6KA3--AL807740.1/AL807742.1	frameshift	AL807742.1	Gene2B		Intergenic	[], duplication	No		FALSE	Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
RPS6KA3--AL807740.1/AL807742.1	frameshift	AL807742.1	Gene2B		Intergenic	[], duplication	Yes		FALSE	Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
VGLL4--AC099669.2/ZKSCAN7	frameshift	ZKSCAN7	Gene2B		Intergenic	[], inversion			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
ZNF143--MIR4299/AC131935.2	frameshift	AC131935.2	Gene2B		Intergenic	[], inversion			FALSE	TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
FRMD8--SHC3/CKS2	other	CKS2	Gene2B		Intergenic	[], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
MAP3K5--TAAR8/TAAR7P	frameshift	TAAR7P	Gene2B		Intergenic	[], deletion	Yes		FALSE	Kinase, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
MYB--AL358972.1/AL450345.1	other	AL450345.1	Gene2B		Intergenic	[], deletion			FALSE	CosmicCensus, Oncogene, TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
MKRN7P--AL031686.1/ZNF334	other	ZNF334	Gene2B		Intergenic	[], duplication			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
C11orf95--RELA/RN7SL309P	other	RN7SL309P	Gene2B		Intergenic	[], deletion			FALSE		Oncogene, TranscriptionFactor			3/86	3.49%	0/60	0.00%	0/17	0.00%
FAT3--NDUFB11P1/FAT3	frameshift	FAT3	Gene2B		Intergenic	[], duplication			FALSE	CosmicCensus				1/86	1.16%	0/60	0.00%	0/17	0.00%
CADM1--AP003063.1/AP003100.1	frameshift	AP003100.1	Gene2B		Intergenic	[], deletion			FALSE	TumorSuppressorGene				1/86	1.16%	0/60	0.00%	0/17	0.00%
CDKL4--CDKL4/MAP4K3	frameshift	MAP4K3	Gene2B		Intergenic	[], duplication	Yes	No	FALSE	Kinase, Kinase	Kinase, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
NUMA1--AP001994.1/AP001360.1	frameshift	AP001360.1	Gene2B		Intergenic	[], duplication			FALSE	CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
RELA--AP001994.1/AP001360.1	frameshift	AP001360.1	Gene2B		Intergenic	[], inversion			FALSE	Oncogene, TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
AL031686.1--AL031686.1/ZNF334	other	ZNF334	Gene2B		Intergenic	[], duplication			FALSE					1/86	1.16%	0/60	0.00%	0/17	0.00%
ERBB4--ERBB4/AC093865.1	frameshift	AC093865.1	Gene2B		Intergenic	[], duplication	No	No	FALSE	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene, Kinase	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene, Kinase			1/86	1.16%	0/60	0.00%	0/17	0.00%
AL691442.1--RELA/RN7SL309P	frameshift	RN7SL309P	Gene2B		Intergenic	[], translocation			FALSE		Oncogene, TranscriptionFactor			1/86	1.16%	0/60	0.00%	0/17	0.00%
EFNA4--RELA/RN7SL309P	frameshift	RN7SL309P	Gene2B		Intergenic	[], translocation			FALSE		Oncogene, TranscriptionFactor			1/86	1.16%	0/60	0.00%	0/17	0.00%
KDM2A--AP001317.1/AP003038.1	frameshift	AP003038.1	Gene2B		Intergenic	[], deletion			FALSE	TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
MEN1--AC015771.1/Y_RNA	frameshift	Y_RNA	Gene2B		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
ABTB2--AP002791.1/AP003028.1	frameshift	AP003028.1	Gene2B		Intergenic	[], duplication			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
AP000721.2--RELA/RN7SL309P	other	RN7SL309P	Gene2B		Intergenic	[], deletion			FALSE		Oncogene, TranscriptionFactor			1/86	1.16%	0/60	0.00%	0/17	0.00%
LTBP3--AP000769.1/AP000769.3	frameshift	AP000769.3	Gene2B		Intergenic	[], inversion			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
LTBP3--AP000769.3/MALAT1	frameshift	MALAT1	Gene2B		Intergenic	[], inversion			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
MGMT--AL355537.2/AL391869.1	frameshift	AL391869.1	Gene2B		Intergenic	[], duplication			FALSE	CosmicCensus				1/86	1.16%	0/60	0.00%	0/17	0.00%
EEA1--RNU6-1329P/LINC02413	frameshift	LINC02413	Gene2B		Intergenic	[], duplication			FALSE	TranscriptionFactor				1/86	1.16%	0/60	0.00%	0/17	0.00%
EIF3J-AS1--ID3/MDS2	other	MDS2	Gene2B		Intergenic	[], translocation			FALSE		CosmicCensus, Oncogene			1/86	1.16%	0/60	0.00%	0/17	0.00%
PTPRU--AL928596.1/AL807740.1	frameshift	AL807740.1	Gene2B		Intergenic	[], translocation			FALSE	Oncogene				1/86	1.16%	0/60	0.00%	0/17	0.00%
TP53BP1--PRR32/Z82209.1	frameshift	Z82209.1	Gene2B		Intergenic	[], translocation			FALSE	TumorSuppressorGene				1/86	1.16%	0/60	0.00%	0/17	0.00%
GSK3B--LINC02485/U6	frameshift	U6	Gene2B		Intergenic	[], translocation	No		FALSE	Kinase, TumorSuppressorGene, Oncogene, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
ROR1--AP001360.2/TRIM29	frameshift	TRIM29	Gene2B		Intergenic	[], translocation	No		FALSE	Kinase, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
LINC02319--AL118557.1/PTGDR	other	PTGDR	Gene2B		Intergenic	[], duplication			FALSE					2/86	2.33%	0/60	0.00%	0/17	0.00%
ADAMTS9--GEMIN8/AC002524.1	frameshift	AC002524.1	Gene2B		Intergenic	[], translocation			FALSE	TumorSuppressorGene				1/86	1.16%	0/60	0.00%	0/17	0.00%
C11orf95--RELA/RN7SL309P	frameshift	RN7SL309P	Gene2B		Intergenic	[], duplication			FALSE		Oncogene, TranscriptionFactor			3/86	3.49%	0/60	0.00%	0/17	0.00%
MARK2--RPL21P41/KBTBD8	frameshift	KBTBD8	Gene2B		Intergenic	[], translocation	No		FALSE	Kinase, Kinase				1/86	1.16%	0/60	0.00%	0/17	0.00%
