LeftBreakpoint	RightBreakpoint	FusionName	Sample	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
16:29082041	4:113174416	RRN3P2--ANK2	BS_1RXZ3BP7	ARRIBA	other	8	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
12:103965852	12:125316602	TDG--TMEM132B	BS_1RXZ3BP7	ARRIBA	other	4	0	medium	[INTRACHROMOSOMAL[chr12:21.20Mb]],inversion/3'-3'	TDG	NA	TMEM132B	NA	NA	NA	NA	NA	NA
14:20343234	14:49586587	AL355075.4--AL139099.5	BS_1SVVER1H	STARFUSION	other	3	9	NA	[INTRACHROMOSOMAL[chr14:29.24Mb]]	AL355075.4	NA	AL139099.5	NA	NA	NA	NA	NA	NA
14:20343234	14:49586587	AL355075.4--RN7SL1	BS_1SVVER1H	STARFUSION	other	3	9	NA	[INTRACHROMOSOMAL[chr14:29.24Mb]]	AL355075.4	NA	RN7SL1	NA	NA	NA	NA	NA	NA
10:122462124	10:103661114	HTRA1--SH3PXD2A	BS_1SVVER1H	ARRIBA	in-frame	11	1	high	[INTRACHROMOSOMAL[chr10:18.61Mb]],inversion	HTRA1	NA	SH3PXD2A	NA	TumorSuppressorGene, Oncogene	NA	NA	NA	NA
10:122462124	10:103661114	HTRA1--SH3PXD2A	BS_1SVVER1H	STARFUSION	in-frame	12	1	NA	[INTRACHROMOSOMAL[chr10:18.61Mb]]	HTRA1	NA	SH3PXD2A	NA	TumorSuppressorGene, Oncogene	NA	NA	NA	NA
14:49862563	6:52995635	RN7SL2--7SK	BS_1SVVER1H	STARFUSION	other	5	13	NA	[INTERCHROMOSOMAL[chr14--chr1]]	RN7SL2	NA	7SK	NA	NA	NA	NA	NA	NA
14:49862572	6:52995769	RN7SL2--7SK	BS_1SVVER1H	STARFUSION	other	4	13	NA	[INTERCHROMOSOMAL[chr14--chr1]]	RN7SL2	NA	7SK	NA	NA	NA	NA	NA	NA
14:49862574	6:52995637	RN7SL2--7SK	BS_1SVVER1H	STARFUSION	other	4	13	NA	[INTERCHROMOSOMAL[chr14--chr1]]	RN7SL2	NA	7SK	NA	NA	NA	NA	NA	NA
14:20343234	14:49586587	RPPH1--AL139099.5	BS_1SVVER1H	STARFUSION	other	3	9	NA	[INTRACHROMOSOMAL[chr14:29.24Mb]]	RPPH1	NA	AL139099.5	NA	NA	NA	NA	NA	NA
14:20343231	14:49586591	RPPH1--RN7SL1	BS_1SVVER1H	STARFUSION	other	3	9	NA	[INTRACHROMOSOMAL[chr14:29.24Mb]]	RPPH1	NA	RN7SL1	NA	NA	NA	NA	NA	NA
10:103693028	10:122488902	SH3PXD2A--HTRA1	BS_1SVVER1H	ARRIBA	in-frame	87	13	high	[ChimerSeq,INTRACHROMOSOMAL[chr10:18.61Mb]],inversion	SH3PXD2A	NA	HTRA1	NA	NA	TumorSuppressorGene, Oncogene	NA	NA	NA
10:103668608	10:122488902	SH3PXD2A--HTRA1	BS_1SVVER1H	ARRIBA	in-frame	10	15	high	[ChimerSeq,INTRACHROMOSOMAL[chr10:18.61Mb]],inversion	SH3PXD2A	NA	HTRA1	NA	NA	TumorSuppressorGene, Oncogene	NA	NA	NA
10:103693028	10:122488902	SH3PXD2A--HTRA1	BS_1SVVER1H	STARFUSION	in-frame	103	19	NA	[ChimerSeq,INTRACHROMOSOMAL[chr10:18.61Mb]]	SH3PXD2A	NA	HTRA1	NA	NA	TumorSuppressorGene, Oncogene	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_1T19NFJ8	ARRIBA	other	26	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_1T19NFJ8	ARRIBA	other	26	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
4:132985512	4:133078462	AC110751.1--AC105383.1	BS_1T19NFJ8	ARRIBA	other	3	0	high	[INTRACHROMOSOMAL[chr4:0.09Mb],LOCAL_REARRANGEMENT:-:[86634]],duplication	AC110751.1	NA	AC105383.1	NA	NA	NA	NA	NA	NA
14:36215058	14:36164120	AL162511.1--LINC00609	BS_1T19NFJ8	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr14:0.05Mb],LOCAL_REARRANGEMENT:+:[49319]],duplication	AL162511.1	NA	LINC00609	NA	NA	NA	NA	NA	NA
14:36215515	14:36164120	AL162511.1--LINC00609	BS_1T19NFJ8	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr14:0.05Mb],LOCAL_REARRANGEMENT:+:[49319]],duplication	AL162511.1	NA	LINC00609	NA	NA	NA	NA	NA	NA
1:211018864	1:211090690	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	frameshift	35	2	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:210919640	1:211090690	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	frameshift	2	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211082780	1:211107377	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	frameshift	22	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211082780	1:211090690	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	frameshift	7	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211090562	1:211107377	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	in-frame	5	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:210919640	1:210920069	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211018864	1:211107377	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211018864	1:211019256	AL590132.1--KCNH1	BS_1T19NFJ8	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
11:57152640	11:57189151	AP001521.2(96508)/LRRC55(29107)--LRRC55	BS_1T19NFJ8	ARRIBA	other	8	0	medium	[],duplication	AP001521.2	LRRC55	LRRC55	NA	NA	NA	NA	NA	NA
1:181580776	1:181577766	CACNA1E--CACNA1E	BS_1T19NFJ8	ARRIBA	frameshift	8	0	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.39Mb]],duplication/non-canonical_splicing	CACNA1E	NA	CACNA1E	NA	NA	NA	NA	NA	NA
9:100585927	9:100498765	CAVIN4--MSANTD3-TMEFF1	BS_1T19NFJ8	ARRIBA	in-frame	6	0	medium	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	MSANTD3-TMEFF1	NA	NA	NA	NA	NA	NA
9:100578551	9:100498765	CAVIN4--MSANTD3-TMEFF1	BS_1T19NFJ8	ARRIBA	frameshift	2	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	MSANTD3-TMEFF1	NA	NA	NA	NA	NA	NA
9:100578551	9:100572518	CAVIN4--MSANTD3-TMEFF1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	MSANTD3-TMEFF1	NA	NA	NA	NA	NA	NA
9:100578551	9:100561397	CAVIN4--MSANTD3-TMEFF1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	MSANTD3-TMEFF1	NA	NA	NA	NA	NA	NA
9:100585927	9:100498765	CAVIN4--TMEFF1	BS_1T19NFJ8	ARRIBA	in-frame	6	0	medium	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	TMEFF1	NA	NA	TumorSuppressorGene	NA	NA	NA
9:100578551	9:100498765	CAVIN4--TMEFF1	BS_1T19NFJ8	ARRIBA	frameshift	2	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	TMEFF1	NA	NA	TumorSuppressorGene	NA	NA	NA
9:100578551	9:100572518	CAVIN4--TMEFF1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	TMEFF1	NA	NA	TumorSuppressorGene	NA	NA	NA
9:100578551	9:100561397	CAVIN4--TMEFF1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr9:0.00Mb],LOCAL_REARRANGEMENT:+:[443]],duplication	CAVIN4	NA	TMEFF1	NA	NA	TumorSuppressorGene	NA	NA	NA
3:2903005	3:2883145	CNTN4--CNTN4	BS_1T19NFJ8	ARRIBA	in-frame	6	1	low	[SELFIE,INTRACHROMOSOMAL[chr3:0.96Mb]],duplication/non-canonical_splicing	CNTN4	NA	CNTN4	NA	Oncogene	Oncogene	NA	NA	NA
8:112921627	8:112976148	CSMD3--CSMD3	BS_1T19NFJ8	ARRIBA	in-frame	6	1	low	[SELFIE,INTRACHROMOSOMAL[chr8:1.21Mb]],duplication/non-canonical_splicing	CSMD3	NA	CSMD3	NA	CosmicCensus, Oncogene	CosmicCensus, Oncogene	NA	NA	NA
7:137463489	7:137609609	DGKI--DGKI	BS_1T19NFJ8	ARRIBA	frameshift	10	5	low	[SELFIE,INTRACHROMOSOMAL[chr7:0.47Mb]],duplication/non-canonical_splicing	DGKI	NA	DGKI	NA	NA	NA	NA	NA	NA
9:23731022	9:23765099	ELAVL2--ELAVL2	BS_1T19NFJ8	ARRIBA	frameshift	10	3	low	[SELFIE,INTRACHROMOSOMAL[chr9:0.14Mb]],duplication/non-canonical_splicing	ELAVL2	NA	ELAVL2	NA	NA	NA	NA	NA	NA
X:47649921	X:47652144	ELK1--UXT	BS_1T19NFJ8	ARRIBA	other	2	1	low	[INTRACHROMOSOMAL[chrX:0.00Mb],LOCAL_REARRANGEMENT:-:[1194]],duplication	ELK1	NA	UXT	NA	Oncogene, TranscriptionFactor	NA	NA	NA	NA
3:55683794	3:55992250	ERC2--ERC2	BS_1T19NFJ8	ARRIBA	in-frame	95	8	high	[SELFIE,INTRACHROMOSOMAL[chr3:0.96Mb]],duplication/non-canonical_splicing	ERC2	NA	ERC2	NA	Oncogene	Oncogene	NA	NA	NA
17:44906802	14:49862779	GFAP--RN7SL2	BS_1T19NFJ8	STARFUSION	other	63	36	NA	[INTERCHROMOSOMAL[chr17--chr14]]	GFAP	NA	RN7SL2	NA	NA	NA	NA	NA	NA
X:14796160	X:14859334	GLRA2(64348)/NPM1P9(38316)--FANCB	BS_1T19NFJ8	ARRIBA	other	6	0	high	[],duplication	GLRA2	NPM1P9	FANCB	NA	NA	NA	NA	NA	NA
6:146399699	6:146398769	GRM1--GRM1	BS_1T19NFJ8	ARRIBA	frameshift	9	0	low	[SELFIE,INTRACHROMOSOMAL[chr6:0.41Mb]],duplication/non-canonical_splicing	GRM1	NA	GRM1	NA	NA	NA	NA	NA	NA
7:126532952	7:126533887	GRM8--GRM8	BS_1T19NFJ8	ARRIBA	in-frame	4	0	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr7:0.81Mb]],duplication/non-canonical_splicing	GRM8	NA	GRM8	NA	NA	NA	NA	NA	NA
7:43501322	7:43492075	HECW1--HECW1	BS_1T19NFJ8	ARRIBA	frameshift	7	2	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr7:0.45Mb]],duplication/non-canonical_splicing	HECW1	NA	HECW1	NA	NA	NA	NA	NA	NA
1:211018864	1:211090690	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	35	2	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018783	1:211090690	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	2	2	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:210919640	1:211090690	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	2	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211082780	1:211107377	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	22	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211082780	1:211090690	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	7	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211090562	1:211107377	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	in-frame	5	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018783	1:211107377	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018864	1:211107377	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:210919640	1:210920069	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018864	1:211019256	KCNH1--AL590132.1	BS_1T19NFJ8	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	KCNH1	NA	AL590132.1	NA	Oncogene	NA	NA	NA	NA
1:211018864	1:211090690	KCNH1--KCNH1	BS_1T19NFJ8	ARRIBA	frameshift	35	2	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.46Mb]],duplication/non-canonical_splicing	KCNH1	NA	KCNH1	NA	Oncogene	Oncogene	NA	NA	NA
2:162504443	2:162518158	KCNH7--KCNH7	BS_1T19NFJ8	ARRIBA	frameshift	12	2	low	[SELFIE,INTRACHROMOSOMAL[chr2:0.47Mb]],duplication/non-canonical_splicing	KCNH7	NA	KCNH7	NA	NA	NA	NA	NA	NA
8:139611337	8:139612674	KCNK9--KCNK9	BS_1T19NFJ8	ARRIBA	other	3	1	low	[SELFIE,INTRACHROMOSOMAL[chr8:0.10Mb]],duplication/non-canonical_splicing	KCNK9	NA	KCNK9	NA	NA	NA	NA	NA	NA
1:196373140	1:196479238	KCNT2--KCNT2	BS_1T19NFJ8	ARRIBA	frameshift	4	0	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr1:0.38Mb]],duplication/non-canonical_splicing	KCNT2	NA	KCNT2	NA	NA	NA	NA	NA	NA
14:38745144	14:38334252	LINC00639--AL161751.1(22322)/AL357094.1(271003)	BS_1T19NFJ8	ARRIBA	other	4	0	low	[],deletion	LINC00639	NA	AL161751.1	AL357094.1	NA	NA	NA	NA	NA
1:70107826	1:70053026	LRRC7--LRRC7	BS_1T19NFJ8	ARRIBA	in-frame	15	3	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.58Mb]],duplication/non-canonical_splicing	LRRC7	NA	LRRC7	NA	NA	NA	NA	NA	NA
6:6366355	6:6438732	LY86-AS1--LY86-AS1	BS_1T19NFJ8	ARRIBA	other	13	3	low	[SELFIE,INTRACHROMOSOMAL[chr6:0.28Mb]],duplication/non-canonical_splicing	LY86-AS1	NA	LY86-AS1	NA	NA	NA	NA	NA	NA
17:45996664	17:45978375	MAPT--MAPT	BS_1T19NFJ8	ARRIBA	frameshift	15	3	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr17:0.13Mb]],duplication/non-canonical_splicing	MAPT	NA	MAPT	NA	NA	NA	NA	NA	NA
8:17341363	8:17373240	MTMR7--MTMR7	BS_1T19NFJ8	ARRIBA	in-frame	6	1	low	[SELFIE,INTRACHROMOSOMAL[chr8:0.12Mb]],duplication/non-canonical_splicing	MTMR7	NA	MTMR7	NA	NA	NA	NA	NA	NA
6:61606290	6:61697253	MTRNR2L9(31888)/AL049544.1(23943)--KHDRBS2	BS_1T19NFJ8	ARRIBA	other	13	0	high	[],duplication	MTRNR2L9	AL049544.1	KHDRBS2	NA	NA	NA	NA	NA	NA
2:1922292	2:1923263	MYT1L--MYT1L	BS_1T19NFJ8	ARRIBA	in-frame	9	1	low	[SELFIE,INTRACHROMOSOMAL[chr2:0.54Mb]],duplication/non-canonical_splicing	MYT1L	NA	MYT1L	NA	TranscriptionFactor	TranscriptionFactor	NA	NA	NA
11:20960560	11:20937786	NELL1--NELL1	BS_1T19NFJ8	ARRIBA	in-frame	7	0	low	[SELFIE,INTRACHROMOSOMAL[chr11:0.91Mb]],duplication/non-canonical_splicing	NELL1	NA	NELL1	NA	NA	NA	NA	NA	NA
12:44665484	12:44714741	NELL2--NELL2	BS_1T19NFJ8	ARRIBA	in-frame	12	0	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.41Mb]],duplication/non-canonical_splicing	NELL2	NA	NELL2	NA	NA	NA	NA	NA	NA
10:53816239	10:53827548	PCDH15--PCDH15	BS_1T19NFJ8	ARRIBA	frameshift	5	0	low	[SELFIE,INTRACHROMOSOMAL[chr10:1.83Mb]],duplication/non-canonical_splicing	PCDH15	NA	PCDH15	NA	NA	NA	NA	NA	NA
7:30062742	7:30045085	PLEKHA8--PLEKHA8	BS_1T19NFJ8	ARRIBA	in-frame	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr7:0.10Mb]],duplication/non-canonical_splicing	PLEKHA8	NA	PLEKHA8	NA	Oncogene	Oncogene	NA	NA	NA
1:98953070	1:98956741	PLPPR5--PLPPR5	BS_1T19NFJ8	ARRIBA	in-frame	28	2	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.11Mb]],duplication/non-canonical_splicing	PLPPR5	NA	PLPPR5	NA	NA	NA	NA	NA	NA
12:70684127	12:70701323	PTPRR--PTPRR	BS_1T19NFJ8	ARRIBA	frameshift	8	1	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.28Mb]],duplication/non-canonical_splicing	PTPRR	NA	PTPRR	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_1T19NFJ8	ARRIBA	other	26	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
4:158617205	4:158607972	RXFP1--RXFP1	BS_1T19NFJ8	ARRIBA	in-frame	6	0	low	[SELFIE,INTRACHROMOSOMAL[chr4:0.34Mb]],duplication/non-canonical_splicing	RXFP1	NA	RXFP1	NA	NA	NA	NA	NA	NA
2:161901011	2:161872293	SLC4A10--SLC4A10	BS_1T19NFJ8	ARRIBA	frameshift	7	2	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr2:0.56Mb]],duplication/non-canonical_splicing	SLC4A10	NA	SLC4A10	NA	NA	NA	NA	NA	NA
12:21292164	12:21306988	SLCO1A2--SLCO1A2	BS_1T19NFJ8	ARRIBA	in-frame	26	3	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.15Mb]],duplication/non-canonical_splicing	SLCO1A2	NA	SLCO1A2	NA	NA	NA	NA	NA	NA
8:50553179	8:50530177	SNTG1--SNTG1	BS_1T19NFJ8	ARRIBA	frameshift	13	0	low	[SELFIE,INTRACHROMOSOMAL[chr8:0.88Mb]],duplication/non-canonical_splicing	SNTG1	NA	SNTG1	NA	NA	NA	NA	NA	NA
14:61996542	14:61970132	SYT16--SYT16	BS_1T19NFJ8	ARRIBA	in-frame	10	0	low	[SELFIE,INTRACHROMOSOMAL[chr14:0.30Mb]],duplication/non-canonical_splicing	SYT16	NA	SYT16	NA	NA	NA	NA	NA	NA
4:16323036	4:16288884	TAPT1-AS1(2896)/ZEB2P1(37650)--TAPT1-AS1	BS_1T19NFJ8	ARRIBA	other	2	0	low	[],duplication	TAPT1-AS1	ZEB2P1	TAPT1-AS1	NA	NA	NA	NA	NA	NA
4:16355785	4:16288884	TAPT1-AS1(35645)/ZEB2P1(4901)--TAPT1-AS1	BS_1T19NFJ8	ARRIBA	other	4	1	high	[],duplication	TAPT1-AS1	ZEB2P1	TAPT1-AS1	NA	NA	NA	NA	NA	NA
3:106579358	3:106843256	Y_RNA(63360)/Y_RNA(109320)--LINC00882	BS_1T19NFJ8	ARRIBA	other	3	0	medium	[],duplication	Y_RNA	Y_RNA	LINC00882	NA	NA	NA	NA	NA	NA
X:146955175	X:146916390	Z99497.1--CXorf51A(101664)/Z99497.1(38685)	BS_1T19NFJ8	ARRIBA	other	26	6	medium	[],duplication	Z99497.1	NA	CXorf51A	Z99497.1	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_1TPWFSK6	ARRIBA	other	3	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_1TPWFSK6	ARRIBA	other	3	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
3:149212451	4:57032552	CP--IGFBP7	BS_1TPWFSK6	ARRIBA	frameshift	1	0	low	[INTERCHROMOSOMAL[chr3--chr4]],translocation	CP	NA	IGFBP7	NA	NA	TumorSuppressorGene, Oncogene	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_1TPWFSK6	ARRIBA	other	3	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_1TWCV047	ARRIBA	other	7	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_1TWCV047	ARRIBA	other	7	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
1:92605307	1:94458607	EVI5--ABCD3	BS_1TWCV047	ARRIBA	frameshift	2	0	medium	[INTRACHROMOSOMAL[chr1:1.63Mb]],inversion	EVI5	NA	ABCD3	NA	NA	NA	NA	NA	NA
13:51376048	13:45340056	INTS6--AL138963.3	BS_1TWCV047	ARRIBA	frameshift	3	0	medium	[INTRACHROMOSOMAL[chr13:6.01Mb]],inversion	INTS6	NA	AL138963.3	NA	TumorSuppressorGene, Oncogene	NA	NA	NA	NA
13:51376048	13:45340056	INTS6--TPT1	BS_1TWCV047	ARRIBA	in-frame	3	0	medium	[INTRACHROMOSOMAL[chr13:6.01Mb]],inversion/5'-5'	INTS6	NA	TPT1	NA	TumorSuppressorGene, Oncogene	NA	NA	NA	NA
14:59475869	14:59565275	L3HYPDH--CCDC175	BS_1TWCV047	ARRIBA	frameshift	2	0	low	[INTRACHROMOSOMAL[chr14:0.02Mb],LOCAL_REARRANGEMENT:-:[20109]],duplication	L3HYPDH	NA	CCDC175	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_1TWCV047	ARRIBA	other	7	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
12:103965852	12:125316602	TDG--TMEM132B	BS_1TWCV047	ARRIBA	other	5	0	medium	[INTRACHROMOSOMAL[chr12:21.20Mb]],inversion/3'-3'	TDG	NA	TMEM132B	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_1XJ73KBQ	ARRIBA	other	2	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_1XJ73KBQ	ARRIBA	other	2	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
3:55888389	3:55992250	ERC2--ERC2	BS_1XJ73KBQ	ARRIBA	frameshift	5	0	low	[SELFIE,INTRACHROMOSOMAL[chr3:0.96Mb]],duplication/non-canonical_splicing	ERC2	NA	ERC2	NA	Oncogene	Oncogene	NA	NA	NA
8:79766651	8:70144848	HEY1--NCOA2	BS_1XJ73KBQ	ARRIBA	in-frame	252	54	high	[HGNC_GENEFAM,ChimerKB,ChimerPub,Cosmic,INTRACHROMOSOMAL[chr8:9.36Mb]],deletion	HEY1	NA	NCOA2	NA	CosmicCensus, Oncogene, TranscriptionFactor	CosmicCensus, Oncogene, TranscriptionFactor	NA	NA	NA
8:79766651	8:70141399	HEY1--NCOA2	BS_1XJ73KBQ	ARRIBA	in-frame	93	12	high	[HGNC_GENEFAM,ChimerKB,ChimerPub,Cosmic,INTRACHROMOSOMAL[chr8:9.36Mb]],deletion	HEY1	NA	NCOA2	NA	CosmicCensus, Oncogene, TranscriptionFactor	CosmicCensus, Oncogene, TranscriptionFactor	NA	NA	NA
3:188154021	3:151443884	LPP--IGSF10	BS_1XJ73KBQ	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr3:36.69Mb]],inversion	LPP	NA	IGSF10	NA	CosmicCensus, Oncogene	NA	NA	NA	NA
3:188154252	3:151443884	LPP--IGSF10	BS_1XJ73KBQ	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr3:36.69Mb]],inversion	LPP	NA	IGSF10	NA	CosmicCensus, Oncogene	NA	NA	NA	NA
3:188708393	8:106359476	LPP--OXR1	BS_1XJ73KBQ	ARRIBA	frameshift	3	0	high	[INTERCHROMOSOMAL[chr3--chr8]],translocation	LPP	NA	OXR1	NA	CosmicCensus, Oncogene	NA	NA	NA	NA
3:146100318	8:84672655	PLOD2--RALYL	BS_1XJ73KBQ	ARRIBA	frameshift	1	3	medium	[INTERCHROMOSOMAL[chr3--chr8]],translocation/5'-5'	PLOD2	NA	RALYL	NA	NA	NA	NA	NA	NA
