FusionName	Sample	zscore_Gene1A	zscore_Gene1B	zscore_Gene2A	zscore_Gene2B	note_expression_Gene1A	note_expression_Gene1B	note_expression_Gene2A	note_expression_Gene2B	LeftBreakpoint	RightBreakpoint	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
C11orf95--RELA	BS_CZ3ER8DY	3.89008167453102	4.03965363581365	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	2	1	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_CZ3NA7KV	3.73241317135758	3.75330104585591	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	47	0	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_CZ3NA7KV	3.73241317135758	3.75330104585591	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	2	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_EK5PCKY0	2.83030160813892	3.12538873402916	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	35	1	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_FTKPQ5FZ	6.18489671018741	4.49080755069457	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	124	17	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_FTKPQ5FZ	6.18489671018741	4.49080755069457	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662088	ARRIBA	in-frame	9	11	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_FTKPQ5FZ	6.18489671018741	4.49080755069457	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	2	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_FW5ECXXK	3.46067721739119	3.18961498927351	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	81	20	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_FW5ECXXK	3.46067721739119	3.18961498927351	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	3	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_G23JJAZY	4.27120134451453	4.13452360301398	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662441	ARRIBA	in-frame	89	33	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_G23JJAZY	4.27120134451453	4.13452360301398	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	95	18	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_G23JJAZY	4.27120134451453	4.13452360301398	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662088	ARRIBA	in-frame	2	12	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_G23JJAZY	4.27120134451453	4.13452360301398	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	7	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_G63HYD6N	5.72441050162175	4.95228108716172	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	584	190	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_G63HYD6N	5.72441050162175	4.95228108716172	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	63	1	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_H4NXBD2D	4.35359837542632	4.28943147545753	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	36	0	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_H4NXBD2D	4.35359837542632	4.28943147545753	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_KBT7MQ6H	5.5111378320735	5.32523418850425	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	125	5	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_KBT7MQ6H	5.5111378320735	5.32523418850425	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	15	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_KBT7MQ6H	5.5111378320735	5.32523418850425	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662347	ARRIBA	frameshift	1	7	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_KBT7MQ6H	5.5111378320735	5.32523418850425	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662088	ARRIBA	in-frame	1	3	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_KBT7MQ6H	5.5111378320735	5.32523418850425	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	2	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_MQCKXD60	5.30089157842654	4.09977894626653	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	3	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_MT15SGJN	3.50461475732844	3.3747595646412	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	144	25	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_N5DVEJXT	5.49771438281932	5.1039710042587	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	410	77	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_N5DVEJXT	5.49771438281932	5.1039710042587	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	24	0	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_N5DVEJXT	5.49771438281932	5.1039710042587	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	2	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_NB42PWZN	5.88272008935557	5.34465212084127	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	282	16	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_NB42PWZN	5.88272008935557	5.34465212084127	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662088	ARRIBA	in-frame	2	10	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_NGHK9RZP	5.02055255084435	5.33970834116522	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	290	80	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_NGHK9RZP	5.02055255084435	5.33970834116522	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	7	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_NGHK9RZP	5.02055255084435	5.33970834116522	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_QSTAVWGE	1.81507422250582	2.17271059233018	NA	NA	no change	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	2	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_QXKRN6CR	5.3916309839366	4.50424394209314	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	161	49	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_QXKRN6CR	5.3916309839366	4.50424394209314	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	10	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_QXKRN6CR	5.3916309839366	4.50424394209314	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_SXCZ3CXN	4.62031746532604	5.30797066638922	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	468	177	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_SXCZ3CXN	4.62031746532604	5.30797066638922	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	144	5	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_SXCZ3CXN	4.62031746532604	5.30797066638922	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	6	2	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_T1DVKKJB	6.48658765188245	6.13886450164672	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	600	211	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_T1DVKKJB	6.48658765188245	6.13886450164672	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	21	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_T1DVKKJB	6.48658765188245	6.13886450164672	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63768484	11:65662205	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_T1DVKKJB	6.48658765188245	6.13886450164672	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_VAAHBH60	5.84290434698574	5.40743688847517	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	90	9	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_VAAHBH60	5.84290434698574	5.40743688847517	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662088	ARRIBA	in-frame	5	4	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_VAAHBH60	5.84290434698574	5.40743688847517	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	2	0	low	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_W80TJC27	3.38576384730861	3.80137213701998	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	41	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_W80TJC27	3.38576384730861	3.80137213701998	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	5	0	medium	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_XF0ZX2B3	2.79144411942699	3.17999835764806	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662205	ARRIBA	in-frame	31	0	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_XF0ZX2B3	2.79144411942699	3.17999835764806	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63765807	11:65662088	ARRIBA	in-frame	7	0	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA	BS_Z7890YNR	5.99402775088314	5.48246792679446	NA	NA	differentially expressed	differentially expressed	NA	NA	11:63764868	11:65662205	ARRIBA	in-frame	220	27	high	[INTRACHROMOSOMAL[chr11:1.88Mb]],duplication	C11orf95	NA	RELA	NA	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA(2327)/RN7SL309P(30131)	BS_6MZ7FRZH	4.48421640185791	5.46360715535048	NA	-0.127540765796411	differentially expressed	differentially expressed	NA	no change	11:63763687	11:65665421	ARRIBA	other	8	2	medium	[],deletion	C11orf95	NA	RELA	RN7SL309P	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA(440)/RN7SL309P(32018)	BS_VAAHBH60	5.84290434698574	5.40743688847517	NA	7.26510464780709	differentially expressed	differentially expressed	NA	differentially expressed	11:63764836	11:65663534	ARRIBA	frameshift	128	8	high	[],duplication	C11orf95	NA	RELA	RN7SL309P	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf95--RELA(806)/RN7SL309P(31652)	BS_QXKRN6CR	5.3916309839366	4.50424394209314	NA	-0.127540765796411	differentially expressed	differentially expressed	NA	no change	11:63764856	11:65663900	ARRIBA	frameshift	5	0	low	[],duplication	C11orf95	NA	RELA	RN7SL309P	NA	Oncogene, curatedTF, predictedTF, TranscriptionFactor	NA	NA	NA
C11orf98--RPL4P1(8351)/TRAV6(8592)	BS_PGK832G2	-0.841729191234716	-0.027996780375973	NA	-0.137765161946345	no change	no change	NA	no change	11:62663236	14:21759897	ARRIBA	frameshift	4	0	high	[],translocation	C11orf98	NA	RPL4P1	TRAV6	NA	NA	NA	NA	NA
C12orf40--SLC2A13	BS_HJRTC9JQ	-0.616082002197521	1.76395344882381	NA	NA	no change	no change	NA	NA	12:39822629	12:40048210	ARRIBA	other	2	1	medium	[INTRACHROMOSOMAL[chr12:0.15Mb]],duplication/3'-3'	C12orf40	NA	SLC2A13	NA	NA	NA	NA	NA	NA
C16orf45--COA1	BS_401R3KV0	-0.783691215245893	0.17713819295914	NA	NA	no change	no change	NA	NA	16:15515428	7:43648652	ARRIBA	frameshift	19	3	high	[INTERCHROMOSOMAL[chr16--chr7]],translocation	C16orf45	NA	COA1	NA	NA	NA	NA	NA	NA
C16orf97--LINC00919	BS_S6S7SK3P	28.3127656478993	66.8531327682464	NA	NA	differentially expressed	differentially expressed	NA	NA	16:52058368	16:52084566	ARRIBA	other	3	0	medium	[INTRACHROMOSOMAL[chr16:0.00Mb],LOCAL_REARRANGEMENT:-:[4591]],duplication	C16orf97	NA	LINC00919	NA	NA	NA	NA	NA	NA
C18orf54--AC040963.1(21361)/SEC11C(33135)	BS_TW8DQH8J	3.61461169715418	NA	NA	-3.03515430856235	differentially expressed	NA	NA	differentially expressed	18:54359517	18:59106342	ARRIBA	other	1	1	medium	[],deletion	C18orf54	NA	AC040963.1	SEC11C	NA	NA	NA	NA	NA
C19orf60--SH3KBP1	BS_W80TJC27	-2.36287219509376	-0.382944079235092	NA	NA	differentially expressed	no change	NA	NA	19:18588900	X:19569188	ARRIBA	frameshift	10	0	high	[INTERCHROMOSOMAL[chr19--chrX]],translocation	C19orf60	NA	SH3KBP1	NA	NA	NA	NA	NA	NA
C19orf60--SH3KBP1	BS_W80TJC27	-2.36287219509376	-0.382944079235092	NA	NA	differentially expressed	no change	NA	NA	19:18589077	X:19569188	ARRIBA	in-frame	1	0	low	[INTERCHROMOSOMAL[chr19--chrX]],translocation	C19orf60	NA	SH3KBP1	NA	NA	NA	NA	NA	NA
C1orf112--C1orf112	BS_FEPRNEXX	0.189924370958677	0.189924370958677	NA	NA	no change	no change	NA	NA	1:169806088	1:169798857	ARRIBA	frameshift	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr1:0.19Mb]],duplication/non-canonical_splicing	C1orf112	NA	C1orf112	NA	NA	NA	NA	NA	NA
C1orf27(3883)/AL596220.1(9900)--C1orf27	BS_Y8D1F5WW	-0.411787356198644	-0.411787356198644	NA	NA	no change	no change	NA	NA	1:186425261	1:186390712	ARRIBA	other	3	0	medium	[],duplication	C1orf27	AL596220.1	C1orf27	NA	NA	NA	NA	NA	NA
C1orf27(3883)/AL596220.1(9900)--C1orf27	BS_ZV68CES9	2.46330788543142	2.46330788543142	NA	NA	differentially expressed	differentially expressed	NA	NA	1:186425261	1:186390712	ARRIBA	other	2	0	low	[],duplication	C1orf27	AL596220.1	C1orf27	NA	NA	NA	NA	NA	NA
C1orf27(3919)/AL596220.1(9864)--C1orf27	BS_DGTPWJ59	0.164816440084719	0.164816440084719	NA	NA	no change	no change	NA	NA	1:186425297	1:186390711	ARRIBA	other	5	0	medium	[],duplication	C1orf27	AL596220.1	C1orf27	NA	NA	NA	NA	NA	NA
C1orf27(3968)/AL596220.1(9815)--C1orf27	BS_ZH1FBX50	-0.795458980819252	-0.795458980819252	NA	NA	no change	no change	NA	NA	1:186425346	1:186390711	ARRIBA	other	1	0	low	[],duplication	C1orf27	AL596220.1	C1orf27	NA	NA	NA	NA	NA	NA
C1orf61--PCDHGC3	BS_M8M56Z4Y	0.742805241041039	3.51345393038425	NA	NA	no change	differentially expressed	NA	NA	1:156407081	5:141476533	ARRIBA	in-frame	1	1	low	[INTERCHROMOSOMAL[chr1--chr5]],translocation	C1orf61	NA	PCDHGC3	NA	NA	TumorSuppressorGene	NA	NA	NA
C1QTNF3-AMACR--AC138409.2	BS_37GTVG4N	1.52308200492499	NA	NA	NA	no change	NA	NA	NA	5:34108948	5:34169153	ARRIBA	other	2	0	low	[INTRACHROMOSOMAL[chr5:0.04Mb],LOCAL_REARRANGEMENT:-:[40170]],duplication	C1QTNF3-AMACR	NA	AC138409.2	NA	NA	NA	NA	NA	NA
C1QTNF3-AMACR--AC138409.2	BS_37GTVG4N	1.52308200492499	NA	NA	NA	no change	NA	NA	NA	5:33998641	5:34169153	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr5:0.04Mb],LOCAL_REARRANGEMENT:-:[40170]],duplication	C1QTNF3-AMACR	NA	AC138409.2	NA	NA	NA	NA	NA	NA
C1QTNF3-AMACR--AC138409.2	BS_37GTVG4N	1.52308200492499	NA	NA	NA	no change	NA	NA	NA	5:34124418	5:34179097	ARRIBA	frameshift	1	0	low	[INTRACHROMOSOMAL[chr5:0.04Mb],LOCAL_REARRANGEMENT:-:[40170]],duplication	C1QTNF3-AMACR	NA	AC138409.2	NA	NA	NA	NA	NA	NA
C1QTNF3-AMACR--AC138409.2	BS_KN92S7YQ	1.06915274425644	NA	NA	NA	no change	NA	NA	NA	5:34108948	5:34169153	ARRIBA	other	1	1	low	[INTRACHROMOSOMAL[chr5:0.04Mb],LOCAL_REARRANGEMENT:-:[40170]],duplication	C1QTNF3-AMACR	NA	AC138409.2	NA	NA	NA	NA	NA	NA
C1QTNF3-AMACR--AC138409.2	BS_QEYPFYHD	0.990746805189682	NA	NA	NA	no change	NA	NA	NA	5:34108948	5:34182867	ARRIBA	frameshift	2	1	low	[INTRACHROMOSOMAL[chr5:0.04Mb],LOCAL_REARRANGEMENT:-:[40170]],duplication	C1QTNF3-AMACR	NA	AC138409.2	NA	NA	NA	NA	NA	NA
C1QTNF3-AMACR(33007)/AC139792.1(586)--AC138409.2	BS_QEYPFYHD	0.990746805189682	NA	NA	NA	no change	NA	NA	NA	5:34157535	5:34182867	ARRIBA	other	1	0	low	[],duplication	C1QTNF3-AMACR	AC139792.1	AC138409.2	NA	NA	NA	NA	NA	NA
C1QTNF4(21304)/MTCH2(1352)--MTCH2	BS_N6NE6B3W	1.15901918244429	0.576437938072395	0.576437938072395	NA	no change	no change	no change	NA	11:47615963	11:47622776	ARRIBA	other	1	0	low	[],duplication	C1QTNF4	MTCH2	MTCH2	NA	NA	NA	NA	NA	NA
C20orf27--VWA3A	BS_NGHK9RZP	-0.877196413499941	2.84617061295798	NA	NA	no change	differentially expressed	NA	NA	20:3753959	16:22142668	ARRIBA	frameshift	4	1	high	[INTERCHROMOSOMAL[chr20--chr16]],translocation	C20orf27	NA	VWA3A	NA	NA	NA	NA	NA	NA
C22orf34--C22orf34	BS_8ZS9F31R	4.31498008726684	4.31498008726684	NA	NA	differentially expressed	differentially expressed	NA	NA	22:49559525	22:49567820	ARRIBA	other	3	1	high	[SELFIE,INTRACHROMOSOMAL[chr22:0.24Mb]],inversion/5'-5'	C22orf34	NA	C22orf34	NA	NA	NA	NA	NA	NA
C2CD2L--DIXDC1	BS_5PJCHF6V	-0.998288285854841	-0.579707473905375	NA	NA	no change	no change	NA	NA	11:119112392	11:112010034	ARRIBA	frameshift	2	2	high	[INTRACHROMOSOMAL[chr11:7.08Mb]],duplication	C2CD2L	NA	DIXDC1	NA	NA	NA	NA	NA	NA
C2CD2L--DIXDC1	BS_5PJCHF6V	-0.998288285854841	-0.579707473905375	NA	NA	no change	no change	NA	NA	11:119112392	11:112016691	ARRIBA	in-frame	1	1	high	[INTRACHROMOSOMAL[chr11:7.08Mb]],duplication	C2CD2L	NA	DIXDC1	NA	NA	NA	NA	NA	NA
