Cancer	sampleId	Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Evalue	Junction_A	Junction_B	tier	frame	id	gene_A_start	gene_A_end	gene_B_start	gene_B_end	phos_A	phos_B	ubiq_A	ubiq_B	WGS	centrality
LUSC	85.A53L.01A	ELL	LDLRAD1	19	1	-1	-1	24	10	10	1.4	18572388	54476083	tier1	Out-of-frame	5518	18553475	18632937	54474412	54483856	0	0	0	0	NA	0.35779
ESCA	L5.A891.01A	ELL	MKNK2	19	19	-1	-1	2	7	7	0.15	18569015	2046690	tier2	Out-of-frame	5519	18553475	18632937	2037481	2051243	0	0	0	0	non-validated	0.38627
THYM	4V.A9QJ.01A	ELL	RABGGTA	19	14	-1	-1	6	2	2	0.026	18557558	24740375	tier1	CDS-5UTR	5520	18553475	18632937	24265538	24271739	0	0	0	0	NA	0.36408
COAD	DM.A1D8.01A	ELL2	CAST	5	5	-1	1	4	3	3	0.023	95278706	96011243	tier4	CDS-5UTR	5521	95220802	95297775	95865525	96115299	1	0	0	0	NA	0.36277
UCEC	EO.A3AS.01A	ELMO1	HDAC9	7	7	-1	1	11	7	7	2.3	37488278	18535885	tier1	5UTR-5UTR	5522	36893961	37488852	18126572	19036993	0	0	0	0	NA	0.37476
LUSC	77.6842.01A	ELMO1	SCIN	7	7	-1	1	112	38	35	0.45	37136224	12684209	tier1	In-frame	5523	36893961	37488852	12610203	12693228	0	0	0	0	NA	0.37145
MESO	TS.A7P7.01A	ELMO2	MYBL2	20	20	-1	1	7	1	1	0.34	45023044	42310424	tier3	In-frame	5524	44994688	45061704	43667019	43716496	1	1	0	0	NA	0.37512
BRCA	AR.A1AN.01A	ELMO2	STAP1	20	4	-1	1	44	15	15	2.4	45008892	68441103	tier1	In-frame	5525	44994688	45061704	68424446	68473055	0	0	0	0	NA	0.36846
BRCA	A2.A4S3.01A	ELMOD3	TCF7L1	2	2	1	1	7	5	5	0.28	85589383	85536152	tier1	Out-of-frame	5526	85581517	85618875	85360533	85537511	0	0	0	0	NA	0.35185
BRCA	AN.A0XU.01A	ELMOD3	TTC27	2	2	1	1	2	4	4	0.27	85589383	32927874	tier4	In-frame	5527	85581517	85618875	32853099	33046118	0	0	0	0	NA	0.36142
BRCA	D8.A1XQ.01A	ELN	FADS2	7	11	1	1	2	1	1	0.011	73484007	61588853	tier3	3UTR-CDS	5528	73442119	73484237	61583728	61634826	0	0	0	1	NA	0.35825
TGCT	XE.AANI.01A	ELN	IQCE	7	7	1	1	2	18	17	0.022	73484007	2641075	tier4	3UTR-CDS	5529	73442119	73484237	2598632	2654368	0	0	0	0	NA	0.36206
BRCA	AO.A0J3.01A	ELN	METTL2B	7	7	1	1	6	3	3	2.7	73442599	128133858	tier1	Out-of-frame	5530	73442119	73484237	128095894	128146656	0	0	0	0	NA	0.36034
KIRC	B0.5084.01A	ELOF1	RDH8	19	19	-1	1	6	142	126	0.018	11670006	10127733	tier1	5UTR-CDS	5531	11663858	11670051	10123925	10132954	0	0	0	0	NA	0.35433
UCEC	AJ.A3IA.01A	ELOVL2	SMOC2	6	6	-1	1	4	2	2	1.6	11044461	169051361	tier1	Out-of-frame	5532	10980992	11044547	168441151	168673445	0	0	0	0	NA	0.34144
BRCA	AR.A2LE.01A	ELOVL5	FAR1	6	11	-1	1	2	23	15	2.2	53132203	13744912	tier4	NA	5533	53132196	53213947	13690217	13753893	0	0	0	0	NA	0.35152
SKCM	FS.A1ZN.01A	ELOVL5	HMGCLL1	6	6	-1	-1	3	4	4	0.28	53213615	55378994	tier1	5UTR-CDS	5534	53132196	53213947	55299167	55444012	0	0	0	0	NA	0.3461
KIRP	UZ.A9PQ.01A	ELOVL5	PFKFB3	6	10	-1	1	24	6	6	0.14	53213615	6255586	tier1	5UTR-CDS	5535	53132196	53213947	6186881	6277495	0	0	0	0	NA	0.3494
LUSC	33.4589.01A	ELOVL5	SLC25A27	6	6	-1	1	6	1	1	0.093	53213615	46649264	tier2	5UTR-CDS	5536	53132196	53213947	46652915	46678193	0	0	0	0	NA	0.34628
BRCA	AR.A1AI.01A	ELP2	GALNT1	18	18	1	1	16	23	19	0.8	33713279	33234524	tier1	CDS-5UTR	5538	33709407	33757909	33161003	33291798	0	0	0	0	NA	0.37562
BRCA	A2.A0D2.01A	ELP2	MAPRE2	18	18	1	1	127	179	175	0.37	33734962	32681910	tier1	In-frame	5539	33709407	33757909	32556892	32725381	0	0	0	0	validated	0.37969
STAD	KB.A6F7.01A	ELP2	RPRD1A	18	18	1	-1	7	14	13	3.2	33736617	33573263	tier1	In-frame	5540	33709407	33757909	33569787	33647539	0	0	0	0	NA	0.37561
BRCA	AC.A2QH.01A	ELP4	CFTR	11	7	1	1	4	5	5	0.43	31616448	117170953	tier1	In-frame	5541	31531297	31805546	117105838	117308719	0	1	0	0	NA	0.37351
CHOL	ZU.A8S4.01A	ELP4	FREM1	11	9	1	-1	2	1	1	0.2	31625454	14816869	tier3	In-frame	5542	31531297	31805546	14734664	14910993	0	0	0	0	NA	0.34135
OV	04.1341.01A	EMID1	CBY1	22	22	1	1	43	67	63	0.028	29630338	39069164	tier1	In-frame	5543	29601840	29655586	39052641	39069859	0	0	0	0	NA	0.34917
UCS	N8.A56S.01A	EMID1	KREMEN1	22	22	1	1	5	7	6	0.48	29611619	29490246	tier1	In-frame	5544	29601840	29655586	29469066	29564321	0	0	0	0	NA	0.35244
LUAD	69.8255.01A	EMID2	BET1	7	7	1	-1	4	6	6	1.9	101006471	93623697	tier1	Out-of-frame	5545	101006101	101202304	93592074	93633694	0	0	0	0	NA	0.36496
PAAD	IB.7654.01A	EMILIN2	SMCHD1	18	18	1	1	3	5	5	0.1	2909817	2802526	tier1	Out-of-frame	5546	2847030	2915993	2655886	2805015	0	0	0	0	NA	0.34721
LUSC	63.A5ML.01A	EML1	ADAMDEC1	14	8	1	1	5	3	3	0.11	100259880	24249775	tier1	In-frame	5547	100204030	100408397	24384285	24406013	0	0	0	0	NA	0.35714
SARC	DX.A1L0.01A	EML1	BASP1	14	5	1	1	6	2	2	100	100317372	17275317	tier1	CDS-5UTR	5548	100204030	100408397	17065598	17276843	1	0	0	0	validated	0.36003
BRCA	B6.A0I1.01A	EML1	CCNK	14	14	1	1	3	3	3	2	100259880	99958963	tier1	CDS-5UTR	5549	100204030	100408397	99947506	100001381	0	0	0	0	non-validated	0.37656
UCS	N6.A4VE.01A	EML1	CCNK	14	14	1	1	19	12	12	2	100367376	99973413	tier1	Out-of-frame	5550	100204030	100408397	99947506	100001381	0	0	0	0	NA	0.37656
LGG	CS.4943.01A	EML1	FBLN5	14	14	1	-1	3	1	1	0.032	100259880	92409305	tier3	Out-of-frame	5551	100204030	100408397	92335756	92414331	0	0	0	0	NA	0.36266
SARC	RN.AAAQ.01A	EML1	GPI	14	19	1	1	9	12	10	0.061	100259880	34884153	tier1	Out-of-frame	5552	100204030	100408397	34359480	34402156	0	0	0	0	NA	0.3606
BLCA	E7.A85H.01A	EML1	SPATA7	14	14	1	1	2	2	2	1.3	100317372	88857725	tier2	In-frame	5553	100204030	100408397	88851268	88936694	1	0	0	0	NA	0.35603
LUSC	77.A5G6.01A	EML1	TTLL5	14	14	1	1	8	15	14	0.062	100259880	76349028	tier1	Out-of-frame	5554	100204030	100408397	76099968	76421421	0	0	0	0	NA	0.35642
LUAD	55.A48Y.01A	EML2	DMWD	19	19	-1	-1	4	1	1	0.027	46120888	46290129	tier3	Out-of-frame	5555	46112660	46148726	45782947	45792802	0	0	0	0	NA	0.3562
UCEC	A5.A2K2.01A	EML3	ATL3	11	11	-1	-1	4	1	1	2.9	62371201	63400569	tier2	Out-of-frame	5556	62602218	62612765	63391559	63439393	0	0	0	0	NA	0.36025
MESO	TS.A7P0.01A	EML3	INTS5	11	11	-1	-1	7	8	6	0.009	62372585	62417471	tier1	In-frame	5557	62602218	62612765	62414320	62420774	0	0	0	0	NA	0.35978
KIRP	2Z.A9JJ.01A	EML4	ALK	2	2	1	-1	28	15	11	0.35	42472827	29446394	tier1	In-frame	5558	42396490	42559688	29415640	30144432	1	0	0	0	NA	0.38609
LUAD	50.8460.01A	EML4	ALK	2	2	1	-1	13	13	11	0.35	42492091	29446394	tier1	In-frame	5559	42396490	42559688	29415640	30144432	1	0	0	0	NA	0.38609
LUAD	67.6215.01A	EML4	ALK	2	2	1	-1	31	40	37	0.35	42491871	29446394	tier1	In-frame	5560	42396490	42559688	29415640	30144432	1	0	0	0	validated	0.38609
LUAD	67.6216.01A	EML4	ALK	2	2	1	-1	10	10	9	0.35	42492091	29446394	tier1	In-frame	5561	42396490	42559688	29415640	30144432	1	0	0	0	NA	0.38609
LUAD	78.7163.01A	EML4	ALK	2	2	1	-1	51	61	51	0.35	42522656	29446394	tier2	In-frame	5562	42396490	42559688	29415640	30144432	0	0	0	0	NA	0.38609
LUAD	86.A4P8.01A	EML4	ALK	2	2	1	-1	2	3	3	0.35	42552694	29446394	tier3	In-frame	5563	42396490	42559688	29415640	30144432	0	0	0	0	NA	0.38609
THCA	E8.A432.01A	EML4	ALK	2	2	1	-1	57	47	29	0.35	42492091	29449940	tier1	In-frame	5564	42396490	42559688	29415640	30144432	1	0	0	0	NA	0.38609
GBM	06.0158.01A	EML4	CASK	2	X	1	-1	11	66	55	0.14	42396776	41420897	tier1	In-frame	5565	42396490	42559688	41374187	41782716	1	0	0	0	NA	0.38061
LUSC	77.8143.01A	EML4	COX7A2L	2	2	1	-1	41	24	15	0.6	42531691	42561009	tier1	NA	5566	42396490	42559688	42560686	42596150	0	0	0	0	NA	0.36609
BRCA	E9.A245.01A	EML4	COX7A2L	2	2	1	-1	6	4	4	0.6	42396776	42580483	tier1	Out-of-frame	5567	42396490	42559688	42560686	42596150	1	0	0	0	NA	0.36609
PAAD	FB.AAPP.01A	EML4	NTRK3	2	15	1	-1	20	10	10	0.093	42491871	88576276	tier1	In-frame	5568	42396490	42559688	88402982	88799978	1	0	0	0	NA	0.38997
UCEC	5B.A90C.01A	EML4	PKDCC	2	2	1	1	4	6	5	0.49	42553392	42280379	tier1	Out-of-frame	5569	42396490	42559688	42048020	42058528	0	0	0	0	NA	0.36304
PCPG	RW.A8AZ.01A	EML4	PKDCC	2	2	1	1	4	5	4	0.49	42396776	42280379	tier1	Out-of-frame	5570	42396490	42559688	42048020	42058528	1	0	0	0	NA	0.36304
LIHC	BC.A69I.01A	EML4	VPS54	2	2	1	-1	2	2	2	0.058	42531691	64120669	tier3	In-frame	5571	42396490	42559688	64120035	64246567	0	0	0	0	NA	0.36575
PCPG	SR.A6MY.01A	EML6	SPTBN1	2	2	1	1	32	29	28	0.77	54952395	54893052	tier1	In-frame	5572	54723499	54972025	54683422	54896812	1	0	0	0	NA	0.37618
LUSC	39.5029.01A	ENAH	AEBP2	1	12	-1	1	11	5	5	0.93	225840388	19615444	tier1	In-frame	5575	225677502	225840844	19556979	19873735	0	0	0	0	NA	0.3704
SKCM	FR.A7U8.06A	ENAH	LIN9	1	1	-1	-1	20	9	7	0.021	225840388	226438620	tier1	Out-of-frame	5576	225677502	225840844	226418850	226497570	0	0	0	0	NA	0.361
SKCM	W3.A824.06A	ENAH	SCCPDH	1	1	-1	1	48	36	32	0.18	225840388	246907378	tier1	Out-of-frame	5577	225677502	225840844	246887349	246931439	0	0	0	0	NA	0.35937
BLCA	CU.A5W6.01A	ENAH	UCHL5	1	1	-1	-1	5	11	10	0.14	225840388	193020947	tier1	Out-of-frame	5578	225677502	225840844	193012250	193060080	0	0	0	0	NA	0.35956
UCEC	AJ.A3IA.01A	ENDOD1	BBS1	11	11	1	1	3	4	3	0.16	94823391	66288741	tier1	In-frame	5579	94822974	94865809	66278077	66301098	1	0	0	0	NA	0.33676
SKCM	GN.A26D.06A	ENDOD1	RAB30	11	11	1	-1	21	41	40	0.14	94823391	82705164	tier1	In-frame	5580	94822974	94865809	82684175	82782965	1	0	0	0	NA	0.35584
BRCA	B6.A0I6.01A	ENG	AK1	9	9	-1	-1	45	30	28	0.86	130605373	130630791	tier4	In-frame	5584	130577291	130617035	127866480	127877743	0	0	0	0	non-validated	0.36678
HNSC	CR.6488.01A	ENO1	DDX27	1	20	-1	1	2	2	1	0.58	8921061	47849303	tier4	NA	5586	8861002	8879249	47835832	47860614	0	0	0	0	NA	0.37271
KIRP	B9.5156.01A	ENO1	RFWD2	1	1	-1	-1	2	9	7	0.67	8921061	176129420	tier3	NA	5587	8861002	8879249	175911248	176176629	0	0	0	0	NA	0.3738
STAD	BR.8486.01A	ENO1	SIAE	1	11	-1	-1	2	1	1	1.2	8921061	124543777	tier3	3UTR-5UTR	5588	8861002	8879249	124503009	124565603	0	0	0	0	non-validated	0.36534
LUAD	78.7149.01A	ENO1	SNW1	1	14	-1	-1	2	74	13	1.7	8921061	78189203	tier3	3UTR-CDS	5589	8861002	8879249	78183942	78227550	0	0	0	0	NA	0.37197
KIRP	BQ.7061.01A	ENO1	SNW1	1	14	-1	-1	3	4	1	1.7	8921061	78189203	tier4	3UTR-CDS	5590	8861002	8879249	78183942	78227550	0	0	0	0	NA	0.37197
LUAD	50.6673.01A	ENO1	UTRN	1	6	-1	1	2	13	2	0.78	8921061	144665237	tier3	NA	5591	8861002	8879249	144285701	144853034	0	0	0	0	NA	0.37755
LUSC	77.8009.01A	ENO1	UVRAG	1	11	-1	1	2	12	9	0.006	8921061	75694431	tier3	3UTR-CDS	5592	8861002	8879249	75526212	75854239	0	0	0	0	NA	0.36888
SARC	X6.A8C3.01A	ENOSF1	PPT1	18	1	-1	-1	74	42	40	0.81	706470	40558179	tier1	In-frame	5593	672546	712676	40538379	40563375	0	0	0	0	NA	0.34537
BRCA	A8.A08G.01A	ENOX2	OSBPL5	X	11	-1	-1	15	10	10	7.1	129761932	3150399	tier1	CDS-5UTR	5594	129751713	130037208	3108346	3187969	0	0	0	0	NA	0.36417
PRAD	HC.7736.01A	ENOX2	SMARCA1	X	X	-1	-1	2	3	3	0.18	129837094	128605303	tier4	Out-of-frame	5595	129751713	130037208	128580480	128657477	0	0	0	0	NA	0.37031
LIHC	RC.A6M5.01A	ENPP1	CDX1	6	5	1	1	78	75	65	0.21	132181646	149562331	tier1	Out-of-frame	5596	132129156	132216295	150166795	150184558	0	0	0	0	NA	0.36442
SARC	3B.A9HS.01A	ENPP1	INSR	6	19	1	-1	5	4	4	2.4	132129415	7152938	tier1	Out-of-frame	5597	132129156	132216295	7112266	7294011	0	0	0	0	NA	0.38976
BRCA	OL.A6VO.01A	ENPP1	RIPPLY2	6	6	1	1	2	2	1	2.1	132129415	84563816	tier2	In-frame	5598	132129156	132216295	84562985	84567234	0	0	0	0	NA	0.35911
UCS	N8.A4PP.01A	ENSA	KLHDC9	1	1	-1	1	15	25	25	1.5	150598118	161069851	tier1	Out-of-frame	5599	150573327	150602088	161068151	161070136	0	0	0	0	NA	0.36126
SKCM	EE.A2ME.06A	ENTHD1	RNF212	22	4	-1	-1	3	2	2	0.22	40257770	1067450	tier1	Out-of-frame	5600	40139049	40289868	1056250	1113562	0	0	0	0	NA	0.34326
SKCM	FS.A1ZP.06A	ENTPD5	OLFM2	14	19	-1	-1	2	2	2	1.3	74453517	9971470	tier3	In-frame	5602	74424713	74486102	9964395	10047070	0	0	0	0	non-validated	0.36016
SARC	DX.A48N.01A	ENTPD5	TSHR	14	14	-1	1	2	5	5	0.95	74453517	81558875	tier2	Out-of-frame	5603	74424713	74486102	81421333	81612646	0	1	0	0	NA	0.37921
GBM	06.2563.01A	ENTPD7	IDE	10	10	1	-1	8	6	6	0.017	101439632	94250352	tier1	In-frame	5604	101419263	101465997	94211441	94333833	0	0	0	0	NA	0.35669
LGG	DU.6404.01A	EP300	BCOR	22	X	1	-1	186	8	8	2.2	41572532	39930412	tier1	In-frame	5605	41487790	41576081	40049815	40177329	0	0	0	0	non-validated	0.3869
LGG	DU.6404.02B	EP300	BCOR	22	X	1	-1	218	22	21	2.2	41572532	39930412	tier1	In-frame	5606	41487790	41576081	40049815	40177329	0	0	0	0	non-validated	0.3869
PRAD	HC.7077.01A	EP300	FAM55B	22	11	1	1	18	13	13	0.78	41546202	114568767	tier2	In-frame	5607	41487790	41576081	114678386	114706933	0	0	0	0	NA	0.38667
SKCM	FS.A4F4.06A	EP300	FBLN1	22	22	1	1	30	20	18	1	41551117	45996187	tier1	Out-of-frame	5608	41487790	41576081	45898118	45997015	0	0	0	0	NA	0.39018
BLCA	4Z.AA84.01A	EP300	HAUS8	22	19	1	-1	37	14	13	1.7	41513825	17166812	tier1	In-frame	5609	41487790	41576081	17160573	17186343	1	0	0	0	NA	0.38375
BLCA	BT.A0S7.01A	EP300	MCHR1	22	22	1	1	61	37	36	0.023	41489102	41076953	tier1	In-frame	5611	41487790	41576081	41074754	41078818	1	0	0	0	NA	0.39059
UCEC	AX.A3G4.01A	EP300	PAICS	22	4	1	1	20	15	15	0.094	41513825	57325538	tier1	Out-of-frame	5612	41487790	41576081	56435741	56464579	1	0	0	0	NA	0.38643
LIHC	DD.A73F.01A	EP300	RBX1	22	22	1	1	134	8	7	1.4	41551117	41363803	tier1	In-frame	5613	41487790	41576081	40951347	40973309	0	0	0	0	NA	0.38709
STAD	CD.A486.01A	EP300	TNRC6B	22	22	1	1	12	114	104	0.003	41489102	40642019	tier1	Out-of-frame	5614	41487790	41576081	40440821	40731811	1	1	0	0	NA	0.38496
LGG	HT.7480.01A	EP300	TNRC6B	22	22	1	1	6	4	4	0.003	41546202	40681649	tier1	In-frame	5615	41487790	41576081	40440821	40731811	0	1	0	0	NA	0.38496
LUSC	34.5929.01A	EP300	TTC28	22	22	1	-1	2	2	1	0.33	41523752	28702631	tier3	Out-of-frame	5616	41487790	41576081	28374004	29075853	1	1	0	0	NA	0.38964
LIHC	DD.A73F.01A	EP300	XPNPEP3	22	22	1	1	115	28	27	0.78	41551117	41363803	tier1	CDS-3UTR	5617	41487790	41576081	41253081	41368585	0	0	0	0	NA	0.38594
PCPG	WB.A81W.01A	EP400	DPYSL5	12	2	1	1	5	1	1	0.66	132479501	27121364	tier2	CDS-5UTR	5618	132434505	132565005	26847747	26950351	0	0	0	0	NA	0.37237
LIHC	BW.A5NO.01A	EP400	SDHC	12	1	1	1	2	5	4	0.62	132434581	161293404	tier2	5UTR-CDS	5619	132434505	132565005	161314257	161375340	0	0	0	0	non-validated	0.36858
HNSC	CQ.7067.01A	EP400	SFSWAP	12	12	1	1	17	9	9	0.2	132476001	132281723	tier1	Out-of-frame	5622	132434505	132565005	132195626	132284282	1	0	0	0	NA	0.36594
BLCA	XF.A9SZ.01A	EP400	TMPRSS12	12	12	1	1	11	4	4	0.035	132434581	51237625	tier1	5UTR-CDS	5624	132434505	132565005	50842920	50887884	0	0	0	0	NA	0.36977
PRAD	2A.AAYU.01A	EP400NL	ATF7IP	12	12	1	1	10	9	7	0.6	132575488	14649165	tier1	5UTR-CDS	5625	132084283	132131639	14518610	14651697	0	0	0	0	NA	0.36509
LGG	TM.A84I.01A	EP400NL	GPBP1	12	5	1	1	3	3	3	0.16	132606525	56526673	tier1	3UTR-CDS	5626	132084283	132131639	56469775	56560505	0	1	0	0	NA	0.34832
LIHC	XR.A8TG.01A	EPAS1	SYPL2	2	1	1	1	7	5	4	0.016	46525076	110009681	tier1	Out-of-frame	5627	46293667	46386703	109466628	109482137	1	0	0	0	NA	0.37153
LIHC	ED.A7PX.01A	EPB41	ATPIF1	1	1	1	1	24	26	23	0.39	29391670	28573100	tier1	Out-of-frame	5628	29213603	29446553	28236109	28246906	0	0	0	0	NA	0.37506
BLCA	2F.A9KP.01A	EPB41	HGSNAT	1	8	1	1	92	97	96	1.1	29323831	43013718	tier1	In-frame	5629	29213603	29446553	42995556	43057998	1	1	0	0	NA	0.37408
SKCM	EB.A4XL.01A	EPB41	ITPR1	1	3	1	1	8	7	5	0.18	29435949	4774772	tier1	In-frame	5630	29213603	29446553	4535032	4889524	0	0	0	0	NA	0.38156
BLCA	GV.A3JZ.01A	EPB41	PIGV	1	1	1	1	3	2	1	0.57	29241280	27120604	tier2	5UTR-CDS	5631	29213603	29446553	27113963	27124889	0	0	0	0	NA	0.37426
LIHC	MR.A520.01A	EPB41	USP49	1	6	1	-1	2	1	1	0.97	29220349	41774749	tier3	5UTR-5UTR	5632	29213603	29446553	41762107	41863099	0	0	0	0	non-validated	0.38136
UCS	N8.A4PI.01A	EPB41	YTHDF2	1	1	1	1	6	2	1	0.18	29320054	29068915	tier3	In-frame	5633	29213603	29446553	29063133	29096287	1	0	0	0	NA	0.37638
PCPG	QR.A70V.01A	EPB41	YTHDF2	1	1	1	1	8	4	3	0.18	29220349	29068915	tier1	5UTR-CDS	5634	29213603	29446553	29063133	29096287	0	0	0	0	NA	0.37638
BLCA	XF.A8HD.01A	EPB41L1	ATP9A	20	20	1	-1	10	7	7	0.057	34700402	50346517	tier1	5UTR-CDS	5635	34679426	34820721	50213053	50385173	0	0	0	0	NA	0.36888
BRCA	E2.A10C.01A	EPB41L1	BCL2A1	20	15	1	-1	2	2	2	3.7	34709738	80253516	tier4	5UTR-CDS	5636	34679426	34820721	80253231	80263788	0	0	0	0	NA	0.36755
COAD	NH.A8F7.01A	EPB41L1	BICD1	20	12	1	1	6	7	7	9.3	34700402	32446928	tier1	5UTR-CDS	5637	34679426	34820721	32259769	32536567	0	1	0	0	NA	0.367
LUSC	98.A538.01A	EPB41L1	C20orf152	20	20	1	1	85	39	36	0.17	34800298	34582960	tier1	In-frame	5638	34679426	34820721	34556512	34618622	0	0	0	0	NA	0
STAD	HF.7132.01A	EPB41L1	C20orf152	20	20	1	1	3	29	27	0.17	34700402	34582960	tier1	5UTR-CDS	5639	34679426	34820721	34556512	34618622	0	0	0	0	NA	0
BRCA	A8.A079.01A	EPB41L1	GHRH	20	20	1	-1	281	351	302	0.004	34700402	35885311	tier1	5UTR-5UTR	5640	34679426	34820721	35879489	35890238	0	0	0	0	NA	0.36643
STAD	CG.4304.01A	EPB41L1	NDRG3	20	20	1	-1	8	12	12	0.073	34700402	35282104	tier1	5UTR-CDS	5641	34679426	34820721	36651766	36746078	0	0	0	0	NA	0.36706
COAD	G4.6323.01A	EPB41L1	NNAT	20	20	1	1	2	1	1	1.3	34800298	36151069	tier3	In-frame	5642	34679426	34820721	36149617	36152092	0	0	0	0	NA	0.36665
KIRC	B0.4811.01A	EPB41L1	PHF20	20	20	1	1	2	2	2	0.042	34713449	34430495	tier2	Out-of-frame	5643	34679426	34820721	34359896	34538303	1	1	0	0	NA	0.37244
STAD	FP.8631.01A	EPB41L1	PHF20	20	20	1	1	2	5	4	0.042	34680735	34501171	tier4	5UTR-CDS	5644	34679426	34820721	34359896	34538303	0	0	0	0	NA	0.37244
UCS	N8.A4PO.01A	EPB41L1	PHF20	20	20	1	1	5	6	4	0.042	34820721	34437311	tier1	NA	5645	34679426	34820721	34359896	34538303	0	0	0	0	NA	0.37244
HNSC	CN.4733.01A	EPB41L1	TGM3	20	20	1	1	14	15	9	0.23	34680735	2290303	tier1	5UTR-CDS	5646	34679426	34820721	2276647	2321724	0	0	0	0	NA	0.36694
SARC	QC.A6FX.01A	EPB41L2	C6orf103	6	6	-1	1	4	4	4	0.25	131384295	146956511	tier1	5UTR-CDS	5647	131160487	131384462	146598965	146815462	0	0	0	0	NA	0
LUSC	66.2788.01A	EPB41L2	LAMA2	6	6	-1	1	3	1	1	0.46	131247745	129704267	tier2	In-frame	5648	131160487	131384462	129204286	129837714	1	0	0	0	NA	0.37294
COAD	AY.6196.01A	EPB41L2	MAP4K1	6	19	-1	-1	6	3	3	1.5	131384295	39078457	tier1	5UTR-CDS	5649	131160487	131384462	39078281	39108643	0	0	0	0	NA	0.38539
SARC	IF.A3RQ.01A	EPB41L2	PTPRK	6	6	-1	-1	3	7	4	0.024	131276245	128330413	tier1	Out-of-frame	5650	131160487	131384462	128289924	128841870	1	0	0	0	NA	0.37529
COAD	G4.6317.02A	EPB41L2	STAT3	6	17	-1	-1	45	44	41	0.019	131384295	40474512	tier1	5UTR-CDS	5651	131160487	131384462	40465342	40540449	0	0	0	0	NA	0.38621
LUSC	33.4586.01A	EPB41L3	LRRC34	18	3	-1	-1	2	1	1	3.9	5478240	169513399	tier2	Out-of-frame	5653	5392383	5630640	169511216	169530774	1	0	0	0	non-validated	0.36954
LUAD	55.6543.01A	EPB41L4A	PLAC8L1	5	5	-1	-1	33	18	17	0.37	111754638	145477855	tier1	Out-of-frame	5654	111478138	111755013	145463949	145483932	0	0	0	0	NA	0.34925
SARC	DX.A1KZ.01A	EPB41L5	FZR1	2	19	1	1	3	6	6	0.85	120799686	3522954	tier1	CDS-5UTR	5656	120013005	120179119	3506295	3536755	1	0	1	0	NA	0.37227
LGG	HT.8107.01A	EPB49	SCN2A	8	2	1	1	2	16	6	0.87	21940035	166150541	tier3	3UTR-5UTR	5657	21906506	21940038	165194993	165392310	0	0	0	0	NA	0.36268
ESCA	IG.A8O2.01A	EPC1	AKR1E2	10	10	-1	1	6	73	71	2.7	32635691	4872867	tier1	In-frame	5658	32556679	32667726	4828820	4890254	1	0	0	0	NA	0.35177
ESCA	L5.A4OR.01A	EPC1	ARHGAP28	10	18	-1	1	12	161	154	0.23	32580091	6873408	tier1	In-frame	5659	32556679	32667726	6729821	6915715	0	1	0	0	non-validated	0.3569
SKCM	EB.A5UN.06A	EPC1	DIP2C	10	10	-1	-1	23	2	2	0.33	32667419	465139	tier1	Out-of-frame	5660	32556679	32667726	320130	735683	1	1	0	0	NA	0.35603
HNSC	UF.A71E.01A	EPC1	QPCT	10	2	-1	1	6	14	13	0.87	32594700	37586723	tier1	Out-of-frame	5662	32556679	32667726	37344574	37373322	1	0	0	0	NA	0.35777
BRCA	A8.A08F.01A	EPC2	MBD5	2	2	1	1	3	1	1	0.026	149528956	149215772	tier2	CDS-5UTR	5663	149402009	149545130	148778580	149275805	0	0	0	0	NA	0.3459
LUAD	J2.A4AD.01A	EPHA10	COL8A2	1	1	-1	-1	5	3	2	0.074	38192774	36581353	tier1	CDS-5UTR	5666	38179552	38230805	36560837	36590821	0	0	0	0	NA	0.35869
STAD	VQ.AA6D.01A	EPHA2	FBXO42	1	1	-1	-1	6	112	105	0.88	16474873	16583254	tier1	In-frame	5667	16450832	16482582	16573334	16678949	1	0	0	0	NA	0.38447
UCS	N9.A4PZ.01A	EPHA2	LSM14B	1	20	-1	1	34	14	10	0.11	16474873	60699673	tier1	In-frame	5668	16450832	16482582	60697517	60710434	1	1	0	0	NA	0.38165
THYM	ZB.A96L.01A	EPHA3	ABCA9	3	17	1	-1	9	6	5	0.11	89480509	67047280	tier1	CDS-5UTR	5669	89156674	89531284	66970629	67057136	0	0	0	0	NA	0.38168
LUSC	34.5236.01A	EPHA4	COL4A3	2	2	-1	1	2	1	1	1.8	222428451	228102684	tier3	Out-of-frame	5670	222282747	222438922	228029281	228179508	0	0	0	0	NA	0.38352
LUAD	91.6848.01A	EPHA5	RUFY3	4	4	-1	1	4	4	4	0.1	66356095	71628236	tier1	In-frame	5671	66185281	66536213	71569921	71673032	0	1	0	0	NA	0.37276
BRCA	LL.A7SZ.01A	EPHA6	C11orf80	3	11	1	1	6	5	5	4	96963131	66583524	tier1	In-frame	5672	96533425	97471304	66511922	66610987	0	0	0	0	NA	0
PRAD	KK.A59X.01A	EPHA6	CNTN6	3	3	1	1	11	11	11	0.64	96585733	1443117	tier1	Out-of-frame	5673	96533425	97471304	1134260	1445901	1	0	0	0	NA	0.36899
BRCA	BH.A0HW.01A	EPHA6	RG9MTD1	3	3	1	1	5	1	1	0.89	96706837	101283614	tier2	CDS-5UTR	5674	96533425	97471304	101280706	101285290	0	0	0	0	NA	0.36659
