GeneID	GeneSymbol	Alias	Links	Chromosome	Cytoband	Description	GeneType
4221	MEN1	MEAI|SCG2	MIM:613733|HGNC:HGNC:7010|Ensembl:ENSG00000133895|HPRD:00564|Vega:OTTHUMG00000045366	11	11q13	multiple endocrine neoplasia I	protein-coding
4292	MLH1	COCA2|FCC2|HNPCC|HNPCC2|hMLH1	MIM:120436|HGNC:HGNC:7127|Ensembl:ENSG00000076242|HPRD:00390|Vega:OTTHUMG00000130797	3	3p21.3	mutL homolog 1	protein-coding
4303	FOXO4	AFX|AFX1|MLLT7	MIM:300033|HGNC:HGNC:7139|Ensembl:ENSG00000184481|HPRD:02070|Vega:OTTHUMG00000021789	X	Xq13.1	forkhead box O4	protein-coding
4311	MME	CALLA|CD10|NEP|SFE	MIM:120520|HGNC:HGNC:7154|Ensembl:ENSG00000196549|HPRD:00392|Vega:OTTHUMG00000158455	3	3q25.2	membrane metallo-endopeptidase	protein-coding
4335	MNT	MAD6|MXD6|ROX|bHLHd3	MIM:603039|HGNC:HGNC:7188|Ensembl:ENSG00000070444|HPRD:04331|Vega:OTTHUMG00000090603	17	17p13.3	MAX network transcriptional repressor	protein-coding
4436	MSH2	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	MIM:609309|HGNC:HGNC:7325|Ensembl:ENSG00000095002|HPRD:00389|Vega:OTTHUMG00000128861	2	2p21	mutS homolog 2	protein-coding
4477	MSMB	HPC13|IGBF|MSP|MSPB|PN44|PRPS|PSP|PSP-94|PSP57|PSP94	MIM:157145|HGNC:HGNC:7372|Ensembl:ENSG00000263639|HPRD:01143|Vega:OTTHUMG00000188315	10	10q11.2	"microseminoprotein, beta-"	protein-coding
4485	MST1	D3F15S2|DNF15S2|HGFL|MSP|NF15S2	MIM:142408|HGNC:HGNC:7380|Ensembl:ENSG00000173531|HPRD:00798|Vega:OTTHUMG00000155918	3	3p21	macrophage stimulating 1 (hepatocyte growth factor-like)	protein-coding
4486	MST1R	CD136|CDw136|PTK8|RON	MIM:600168|HGNC:HGNC:7381|Ensembl:ENSG00000164078|HPRD:02545|Vega:OTTHUMG00000156709	3	3p21.3	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	protein-coding
4494	MT1F	MT1	MIM:156352|HGNC:HGNC:7398|HPRD:01127	16	16q13	metallothionein 1F	protein-coding
4495	MT1G	MT1|MT1K	MIM:156353|HGNC:HGNC:7399|Ensembl:ENSG00000125144|HPRD:11827|Vega:OTTHUMG00000133275	16	16q13	metallothionein 1G	protein-coding
4499	MT1M	MT-1M|MT-IM|MT1|MT1K	MIM:156357|HGNC:HGNC:14296|HPRD:01129	16	16q13	metallothionein 1M	protein-coding
4502	MT2A	MT2	MIM:156360|HGNC:HGNC:7406|HPRD:08863	16	16q13	metallothionein 2A	protein-coding
4507	MTAP	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus	MIM:156540|HGNC:HGNC:7413|Ensembl:ENSG00000099810|HPRD:01134|Vega:OTTHUMG00000019690	9	9p21	methylthioadenosine phosphorylase	protein-coding
4601	MXI1	MAD2|MXD2|MXI|bHLHc11	MIM:600020|HGNC:HGNC:7534|Ensembl:ENSG00000119950|HPRD:02486|Vega:OTTHUMG00000019033	10	10q24-q25	"MAX interactor 1, dimerization protein"	protein-coding
4616	GADD45B	GADD45BETA|MYD118	MIM:604948|HGNC:HGNC:4096|Ensembl:ENSG00000099860|HPRD:05382|Vega:OTTHUMG00000180434	19	19p13.3	"growth arrest and DNA-damage-inducible, beta"	protein-coding
4627	MYH9	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	MIM:160775|HGNC:HGNC:7579|Ensembl:ENSG00000100345|HPRD:01177|Vega:OTTHUMG00000030429	22	22q13.1	"myosin, heavy chain 9, non-muscle"	protein-coding
4640	MYO1A	BBMI|DFNA48|MIHC|MYHL	MIM:601478|HGNC:HGNC:7595|Ensembl:ENSG00000166866|HPRD:08371|Vega:OTTHUMG00000149899	12	12q13-q14	myosin IA	protein-coding
4683	NBN	AT-V1|AT-V2|ATV|NBS|NBS1|P95	MIM:602667|HGNC:HGNC:7652|Ensembl:ENSG00000104320|HPRD:04050|Vega:OTTHUMG00000153546	8	8q21	nibrin	protein-coding
4692	NDN	HsT16328|PWCR	MIM:602117|HGNC:HGNC:7675|Ensembl:ENSG00000182636|HPRD:03667|Vega:OTTHUMG00000129161	15	15q11.2-q12	"necdin, melanoma antigen (MAGE) family member"	protein-coding
4734	NEDD4	NEDD4-1|RPF1	MIM:602278|HGNC:HGNC:7727|Ensembl:ENSG00000069869|HPRD:03786|Vega:OTTHUMG00000132015	15	15q	"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase"	protein-coding
4763	NF1	NFNS|VRNF|WSS	MIM:613113|HGNC:HGNC:7765|Ensembl:ENSG00000196712|HPRD:01203|Vega:OTTHUMG00000132871	17	17q11.2	neurofibromin 1	protein-coding
4771	NF2	ACN|BANF|SCH	MIM:607379|HGNC:HGNC:7773|Ensembl:ENSG00000186575|HPRD:06980|Vega:OTTHUMG00000030727	22	22q12.2	neurofibromin 2 (merlin)	protein-coding
4773	NFATC2	NFAT1|NFATP	MIM:600490|HGNC:HGNC:7776|Ensembl:ENSG00000101096|HPRD:02730|Vega:OTTHUMG00000032747	20	20q13.2	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2"	protein-coding
4790	NFKB1	EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50	MIM:164011|HGNC:HGNC:7794|Ensembl:ENSG00000109320|HPRD:01238|Vega:OTTHUMG00000161080	4	4q24	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	protein-coding
4804	NGFR	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	MIM:162010|HGNC:HGNC:7809|Ensembl:ENSG00000064300|HPRD:01197|Vega:OTTHUMG00000161495	17	17q21-q22	nerve growth factor receptor	protein-coding
4814	NINJ1	NIN1|NINJURIN	MIM:602062|HGNC:HGNC:7824|Ensembl:ENSG00000131669|HPRD:03639|Vega:OTTHUMG00000020242	9	9q22	ninjurin 1	protein-coding
4824	NKX3-1	BAPX2|NKX3|NKX3.1|NKX3A	MIM:602041|HGNC:HGNC:7838|Ensembl:ENSG00000167034|HPRD:03620|Vega:OTTHUMG00000097851	8	8p21.2	NK3 homeobox 1	protein-coding
4826	NNAT	Peg5	MIM:603106|HGNC:HGNC:7860|Ensembl:ENSG00000053438|HPRD:04377|Vega:OTTHUMG00000032420	20	20q11.2-q12	neuronatin	protein-coding
4830	NME1	AWD|GAAD|NB|NBS|NDKA|NDPK-A|NDPKA|NM23|NM23-H1	MIM:156490|HGNC:HGNC:7849|Ensembl:ENSG00000239672|HPRD:01131|Vega:OTTHUMG00000137474	17	17q21.3	NME/NM23 nucleoside diphosphate kinase 1	protein-coding
4849	CNOT3	LENG2|NOT3|NOT3H	MIM:604910|HGNC:HGNC:7879|Ensembl:ENSG00000088038|HPRD:05368|Vega:OTTHUMG00000066468	19	19q13.4	"CCR4-NOT transcription complex, subunit 3"	protein-coding
4851	NOTCH1	AOS5|AOVD1|TAN1|hN1	MIM:190198|HGNC:HGNC:7881|Ensembl:ENSG00000148400|HPRD:01827|Vega:OTTHUMG00000020935	9	9q34.3	notch 1	protein-coding
4853	NOTCH2	AGS2|HJCYS|hN2	MIM:600275|HGNC:HGNC:7882|Ensembl:ENSG00000134250|HPRD:02606|Vega:OTTHUMG00000012177	1	1p13-p11	notch 2	protein-coding
4854	NOTCH3	CADASIL|CASIL|IMF2	MIM:600276|HGNC:HGNC:7883|Ensembl:ENSG00000074181|HPRD:02607|Vega:OTTHUMG00000183217	19	19p13.2-p13.1	notch 3	protein-coding
4856	NOV	CCN3|IBP-9|IGFBP-9|IGFBP9|NOVh	MIM:164958|HGNC:HGNC:7885|Ensembl:ENSG00000136999|HPRD:01291|Vega:OTTHUMG00000164984	8	8q24.1	nephroblastoma overexpressed	protein-coding
4862	NPAS2	MOP4|PASD4|bHLHe9	MIM:603347|HGNC:HGNC:7895|Ensembl:ENSG00000170485|HPRD:09137|Vega:OTTHUMG00000130675	2	2q11.2	neuronal PAS domain protein 2	protein-coding
4869	NPM1	B23|NPM	MIM:164040|HGNC:HGNC:7910|Ensembl:ENSG00000181163|HPRD:01246|Vega:OTTHUMG00000130465	5	5q35.1	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	protein-coding
4897	NRCAM	-	MIM:601581|HGNC:HGNC:7994|Ensembl:ENSG00000091129|HPRD:07207|Vega:OTTHUMG00000154973	7	7q31	neuronal cell adhesion molecule	protein-coding
4899	NRF1	ALPHA-PAL	MIM:600879|HGNC:HGNC:7996|Ensembl:ENSG00000106459|HPRD:02930|Vega:OTTHUMG00000143736	7	7q32	nuclear respiratory factor 1	protein-coding
4916	NTRK3	TRKC|gp145(trkC)	MIM:191316|HGNC:HGNC:8033|Ensembl:ENSG00000140538|HPRD:01870|Vega:OTTHUMG00000148677	15	15q25	"neurotrophic tyrosine kinase, receptor, type 3"	protein-coding
4920	ROR2	BDB|BDB1|NTRKR2	MIM:602337|HGNC:HGNC:10257|Ensembl:ENSG00000169071|HPRD:03822|Vega:OTTHUMG00000020211	9	9q22	receptor tyrosine kinase-like orphan receptor 2	protein-coding
4921	DDR2	MIG20a|NTRKR3|TKT|TYRO10	MIM:191311|HGNC:HGNC:2731|Ensembl:ENSG00000162733|HPRD:01868|Vega:OTTHUMG00000034423	1	1q23.3	discoidin domain receptor tyrosine kinase 2	protein-coding
4928	NUP98	ADIR2|NUP196|NUP96	MIM:601021|HGNC:HGNC:8068|Ensembl:ENSG00000110713|HPRD:03012|Vega:OTTHUMG00000011846	11	11p15.5	nucleoporin 98kDa	protein-coding
4978	OPCML	IGLON1|OBCAM|OPCM	MIM:600632|HGNC:HGNC:8143|Ensembl:ENSG00000183715|HPRD:07198|Vega:OTTHUMG00000163658	11	11q25	opioid binding protein/cell adhesion molecule-like	protein-coding
5037	PEBP1	HCNP|HCNPpp|HEL-210|HEL-S-34|PBP|PEBP|PEBP-1|RKIP	MIM:604591|HGNC:HGNC:8630|Ensembl:ENSG00000089220|HPRD:06850|Vega:OTTHUMG00000168860	12	12q24.23	phosphatidylethanolamine binding protein 1	protein-coding
5047	PAEP	GD|GdA|GdF|GdS|PAEG|PEP|PP14	MIM:173310|HGNC:HGNC:8573|Ensembl:ENSG00000122133|HPRD:01411|Vega:OTTHUMG00000020914	9	9q34	progestagen-associated endometrial protein	protein-coding
5048	PAFAH1B1	LIS1|LIS2|MDCR|MDS|PAFAH	MIM:601545|HGNC:HGNC:8574|Ensembl:ENSG00000007168|HPRD:03329|Vega:OTTHUMG00000177574	17	17p13.3	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"	protein-coding
5071	PARK2	AR-JP|LPRS2|PDJ|PRKN	MIM:602544|HGNC:HGNC:8607|Ensembl:ENSG00000185345|HPRD:03967|Vega:OTTHUMG00000015970	6	6q25.2-q27	parkin RBR E3 ubiquitin protein ligase	protein-coding
5074	PAWR	PAR4|Par-4	MIM:601936|HGNC:HGNC:8614|Ensembl:ENSG00000177425|HPRD:09051|Vega:OTTHUMG00000170080	12	12q21	"PRKC, apoptosis, WT1, regulator"	protein-coding
5078	PAX4	KPD|MODY9	MIM:167413|HGNC:HGNC:8618|Ensembl:ENSG00000106331|HPRD:01333|Vega:OTTHUMG00000157562	7	7q32	paired box 4	protein-coding
5079	PAX5	ALL3|BSAP	MIM:167414|HGNC:HGNC:8619|Ensembl:ENSG00000196092|HPRD:01334|Vega:OTTHUMG00000019907	9	9p13	paired box 5	protein-coding
5080	PAX6	AN|AN2|D11S812E|FVH1|MGDA|WAGR	MIM:607108|HGNC:HGNC:8620|Ensembl:ENSG00000007372|HPRD:06167|Vega:OTTHUMG00000041447	11	11p13	paired box 6	protein-coding
5098	PCDHGC3	PC43|PCDH-GAMMA-C3|PCDH2	MIM:603627|HGNC:HGNC:8716|Ensembl:ENSG00000240184|HPRD:04693|Vega:OTTHUMG00000129613	5	5q31	"protocadherin gamma subfamily C, 3"	protein-coding
5100	PCDH8	ARCADLIN|PAPC	MIM:603580|HGNC:HGNC:8660|Ensembl:ENSG00000136099|HPRD:04660|Vega:OTTHUMG00000016979	13	13q21.1	protocadherin 8	protein-coding
5101	PCDH9	-	MIM:603581|HGNC:HGNC:8661|Ensembl:ENSG00000184226|HPRD:04661|Vega:OTTHUMG00000017040	13	13q21.32	protocadherin 9	protein-coding
5157	PDGFRL	PDGRL|PRLTS	MIM:604584|HGNC:HGNC:8805|Ensembl:ENSG00000104213|HPRD:05206|Vega:OTTHUMG00000130818	8	8p22-p21.3	platelet-derived growth factor receptor-like	protein-coding
5178	PEG3	PW1|ZKSCAN22|ZNF904|ZSCAN24	MIM:601483|HGNC:HGNC:8826|Ensembl:ENSG00000198300|HPRD:03285|Vega:OTTHUMG00000171953|Vega:OTTHUMG00000171954	19	19q13.4	paternally expressed 3	protein-coding
5196	PF4	CXCL4|PF-4|SCYB4	MIM:173460|HGNC:HGNC:8861|HPRD:01426	4	4q12-q21	platelet factor 4	protein-coding
5216	PFN1	ALS18	MIM:176610|HGNC:HGNC:8881|Ensembl:ENSG00000108518|HPRD:01452|Vega:OTTHUMG00000099396	17	17p13.3	profilin 1	protein-coding
5241	PGR	NR3C3|PR	MIM:607311|HGNC:HGNC:8910|Ensembl:ENSG00000082175|HPRD:07077|Vega:OTTHUMG00000167531	11	11q22-q23	progesterone receptor	protein-coding
5245	PHB	HEL-215|HEL-S-54e|PHB1	MIM:176705|HGNC:HGNC:8912|Ensembl:ENSG00000167085|HPRD:01454|Vega:OTTHUMG00000134271	17	17q21	prohibitin	protein-coding
5268	SERPINB5	PI5|maspin	MIM:154790|HGNC:HGNC:8949|Ensembl:ENSG00000206075|HPRD:01111|Vega:OTTHUMG00000141307	18	18q21.33	"serpin peptidase inhibitor, clade B (ovalbumin), member 5"	protein-coding
5276	SERPINI2	MEPI|PANCPIN|PI14|TSA2004	MIM:605587|HGNC:HGNC:8945|Ensembl:ENSG00000114204|HPRD:05722|Vega:OTTHUMG00000158231	3	3q26.1	"serpin peptidase inhibitor, clade I (pancpin), member 2"	protein-coding
5300	PIN1	DOD|UBL5	MIM:601052|HGNC:HGNC:8988|Ensembl:ENSG00000127445|HPRD:03031|Vega:OTTHUMG00000180388	19	19p13	"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"	protein-coding
5310	PKD1	PBP|Pc-1|TRPP1	MIM:601313|HGNC:HGNC:9008|Ensembl:ENSG00000008710|HPRD:03203|Vega:OTTHUMG00000155795	16	16p13.3	polycystic kidney disease 1 (autosomal dominant)	protein-coding
5316	PKNOX1	PREP1|pkonx1c	MIM:602100|HGNC:HGNC:9022|Ensembl:ENSG00000160199|HPRD:03653|Vega:OTTHUMG00000086833	21	21q22.3	PBX/knotted 1 homeobox 1	protein-coding
5320	PLA2G2A	MOM1|PLA2|PLA2B|PLA2L|PLA2S|PLAS1|sPLA2	MIM:172411|HGNC:HGNC:9031|Ensembl:ENSG00000188257|HPRD:01397|Vega:OTTHUMG00000002699	1	1p35	"phospholipase A2, group IIA (platelets, synovial fluid)"	protein-coding
5325	PLAGL1	LOT1|ZAC|ZAC1	MIM:603044|HGNC:HGNC:9046|Ensembl:ENSG00000118495|HPRD:16010|Vega:OTTHUMG00000015738	6	6q24-q25	pleiomorphic adenoma gene-like 1	protein-coding
5331	PLCB3	-	MIM:600230|HGNC:HGNC:9056|Ensembl:ENSG00000149782|HPRD:02577|Vega:OTTHUMG00000167816	11	11q13	"phospholipase C, beta 3 (phosphatidylinositol-specific)"	protein-coding
5333	PLCD1	NDNC3|PLC-III	MIM:602142|HGNC:HGNC:9060|Ensembl:ENSG00000187091|HPRD:09073|Vega:OTTHUMG00000130813	3	3p22-p21.3	"phospholipase C, delta 1"	protein-coding
5337	PLD1	-	MIM:602382|HGNC:HGNC:9067|Ensembl:ENSG00000075651|HPRD:03855|Vega:OTTHUMG00000156947	3	3q26	"phospholipase D1, phosphatidylcholine-specific"	protein-coding
5347	PLK1	PLK|STPK13	MIM:602098|HGNC:HGNC:9077|Ensembl:ENSG00000166851|HPRD:03652|Vega:OTTHUMG00000096984	16	16p12.2	polo-like kinase 1	protein-coding
5371	PML	MYL|PP8675|RNF71|TRIM19	MIM:102578|HGNC:HGNC:9113|Ensembl:ENSG00000140464|HPRD:00023|Vega:OTTHUMG00000137607	15	15q22	promyelocytic leukemia	protein-coding
5411	PNN	DRS|DRSP|SDK3|memA	MIM:603154|HGNC:HGNC:9162|Ensembl:ENSG00000100941|HPRD:04401|Vega:OTTHUMG00000028821	14	14q21.1	"pinin, desmosome associated protein"	protein-coding
5414	SEPT4	ARTS|BRADEION|CE5B3|H5|MART|PNUTL2|SEP4|hCDCREL-2	MIM:603696|HGNC:HGNC:9165|Ensembl:ENSG00000108387|HPRD:04738|Vega:OTTHUMG00000179243	17	17q22	septin 4	protein-coding
5465	PPARA	NR1C1|PPAR|PPARalpha|hPPAR	MIM:170998|HGNC:HGNC:9232|Ensembl:ENSG00000186951|HPRD:01369|Vega:OTTHUMG00000150443	22	22q13.31	peroxisome proliferator-activated receptor alpha	protein-coding
5468	PPARG	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	MIM:601487|HGNC:HGNC:9236|Ensembl:ENSG00000132170|HPRD:03288|Vega:OTTHUMG00000129764	3	3p25	peroxisome proliferator-activated receptor gamma	protein-coding
5494	PPM1A	PP2C-ALPHA|PP2CA|PP2Calpha	MIM:606108|HGNC:HGNC:9275|Ensembl:ENSG00000100614|HPRD:16199|Vega:OTTHUMG00000140333	14	14q23.1	"protein phosphatase, Mg2+/Mn2+ dependent, 1A"	protein-coding
5499	PPP1CA	PP-1A|PP1A|PP1alpha|PPP1A	MIM:176875|HGNC:HGNC:9281|Ensembl:ENSG00000172531|HPRD:15942|Vega:OTTHUMG00000167671	11	11q13	"protein phosphatase 1, catalytic subunit, alpha isozyme"	protein-coding
5515	PPP2CA	PP2Ac|PP2CA|PP2Calpha|RP-C	MIM:176915|HGNC:HGNC:9299|HPRD:08912	5	5q31.1	"protein phosphatase 2, catalytic subunit, alpha isozyme"	protein-coding
5516	PPP2CB	PP2Abeta|PP2CB	MIM:176916|HGNC:HGNC:9300|Ensembl:ENSG00000104695|HPRD:01487|Vega:OTTHUMG00000163949	8	8p12	"protein phosphatase 2, catalytic subunit, beta isozyme"	protein-coding
5519	PPP2R1B	PP2A-Abeta|PR65B	MIM:603113|HGNC:HGNC:9303|Ensembl:ENSG00000137713|HPRD:04384|Vega:OTTHUMG00000166741	11	11q23.2	"protein phosphatase 2, regulatory subunit A, beta"	protein-coding
5522	PPP2R2C	B55-GAMMA|IMYPNO|IMYPNO1|PR52|PR55G	MIM:605997|HGNC:HGNC:9306|Ensembl:ENSG00000074211|HPRD:09345|Vega:OTTHUMG00000090445	4	4p16.1	"protein phosphatase 2, regulatory subunit B, gamma"	protein-coding
5524	PPP2R4	PP2A|PR53|PTPA	MIM:600756|HGNC:HGNC:9308|Ensembl:ENSG00000119383|HPRD:02858|Vega:OTTHUMG00000020774	9	9q34	"protein phosphatase 2A activator, regulatory subunit 4"	protein-coding
5527	PPP2R5C	B56G|PR61G	MIM:601645|HGNC:HGNC:9311|Ensembl:ENSG00000078304|HPRD:03385|Vega:OTTHUMG00000171597	14	14q32.31	"protein phosphatase 2, regulatory subunit B', gamma"	protein-coding
5533	PPP3CC	CALNA3|CNA3|PP2Bgamma	MIM:114107|HGNC:HGNC:9316|Ensembl:ENSG00000120910|HPRD:00236|Vega:OTTHUMG00000163802	8	8p21.3	"protein phosphatase 3, catalytic subunit, gamma isozyme"	protein-coding
5562	PRKAA1	AMPK|AMPKa1	MIM:602739|HGNC:HGNC:9376|Ensembl:ENSG00000132356|HPRD:04115|Vega:OTTHUMG00000162269	5	5p12	"protein kinase, AMP-activated, alpha 1 catalytic subunit"	protein-coding
5563	PRKAA2	AMPK|AMPK2|AMPKa2|PRKAA	MIM:600497|HGNC:HGNC:9377|Ensembl:ENSG00000162409|HPRD:02735|Vega:OTTHUMG00000008282	1	1p31	"protein kinase, AMP-activated, alpha 2 catalytic subunit"	protein-coding
5573	PRKAR1A	ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1	MIM:188830|HGNC:HGNC:9388|Ensembl:ENSG00000108946|HPRD:01786|Vega:OTTHUMG00000180128	17	17q24.2	"protein kinase, cAMP-dependent, regulatory, type I, alpha"	protein-coding
5579	PRKCB	PKC-beta|PKCB|PRKCB1|PRKCB2	MIM:176970|HGNC:HGNC:9395|Ensembl:ENSG00000166501|HPRD:01499|Vega:OTTHUMG00000131615	16	16p11.2	"protein kinase C, beta"	protein-coding
5580	PRKCD	ALPS3|CVID9|MAY1|PKCD|nPKC-delta	MIM:176977|HGNC:HGNC:9399|Ensembl:ENSG00000163932|HPRD:01501|Vega:OTTHUMG00000133659	3	3p21.31	"protein kinase C, delta"	protein-coding
5581	PRKCE	PKCE|nPKC-epsilon	MIM:176975|HGNC:HGNC:9401|Ensembl:ENSG00000171132|HPRD:01500|Vega:OTTHUMG00000128817	2	2p21	"protein kinase C, epsilon"	protein-coding
5601	MAPK9	JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK	MIM:602896|HGNC:HGNC:6886|Ensembl:ENSG00000050748|HPRD:04206|Vega:OTTHUMG00000130934	5	5q35	mitogen-activated protein kinase 9	protein-coding
5602	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK	MIM:602897|HGNC:HGNC:6872|Ensembl:ENSG00000109339|HPRD:04207|Vega:OTTHUMG00000130604	4	4q22.1-q23	mitogen-activated protein kinase 10	protein-coding
5625	PRODH	HSPOX2|PIG6|POX|PRODH1|PRODH2|TP53I6	MIM:606810|HGNC:HGNC:9453|Ensembl:ENSG00000100033|HPRD:08433|Vega:OTTHUMG00000150163	22	22q11.21	proline dehydrogenase (oxidase) 1	protein-coding
5629	PROX1	-	MIM:601546|HGNC:HGNC:9459|Ensembl:ENSG00000117707|HPRD:03330|Vega:OTTHUMG00000036946	1	1q41	prospero homeobox 1	protein-coding
5653	KLK6	Bssp|Klk7|PRSS18|PRSS9|SP59|hK6	MIM:602652|HGNC:HGNC:6367|Ensembl:ENSG00000167755|HPRD:04037|Vega:OTTHUMG00000183098	19	19q13.3	kallikrein-related peptidase 6	protein-coding
5654	HTRA1	ARMD7|CARASIL|HtrA|L56|ORF480|PRSS11	MIM:602194|HGNC:HGNC:9476|Ensembl:ENSG00000166033|HPRD:03725|Vega:OTTHUMG00000019186	10	10q26.3	HtrA serine peptidase 1	protein-coding
5655	KLK10	NES1|PRSSL1	MIM:602673|HGNC:HGNC:6358|Ensembl:ENSG00000129451|HPRD:04054|Vega:OTTHUMG00000182916	19	19q13	kallikrein-related peptidase 10	protein-coding
5727	PTCH1	BCNS|HPE7|NBCCS|PTC|PTC1|PTCH|PTCH11	MIM:601309|HGNC:HGNC:9585|Ensembl:ENSG00000185920|HPRD:03200|Vega:OTTHUMG00000020280	9	9q22.3	patched 1	protein-coding
5728	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	MIM:601728|HGNC:HGNC:9588|HPRD:03431	10	10q23.3	phosphatase and tensin homolog	protein-coding
5729	PTGDR	AS1|ASRT1|DP|DP1|PTGDR1	MIM:604687|HGNC:HGNC:9591|Ensembl:ENSG00000168229|HPRD:05254|Vega:OTTHUMG00000140299	14	14q22.1	prostaglandin D2 receptor (DP)	protein-coding
5770	PTPN1	PTP1B	MIM:176885|HGNC:HGNC:9642|Ensembl:ENSG00000196396|HPRD:01477|Vega:OTTHUMG00000032729	20	20q13.1-q13.2	"protein tyrosine phosphatase, non-receptor type 1"	protein-coding
5771	PTPN2	PTN2|PTPT|TC-PTP|TCELLPTP|TCPTP	MIM:176887|HGNC:HGNC:9650|Ensembl:ENSG00000175354|HPRD:06768|Vega:OTTHUMG00000131702	18	18p11.3-p11.2	"protein tyrosine phosphatase, non-receptor type 2"	protein-coding
5777	PTPN6	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1	MIM:176883|HGNC:HGNC:9658|Ensembl:ENSG00000111679|HPRD:01475|Vega:OTTHUMG00000168518	12	12p13	"protein tyrosine phosphatase, non-receptor type 6"	protein-coding
5781	PTPN11	BPTP3|CFC|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	MIM:176876|HGNC:HGNC:9644|Ensembl:ENSG00000179295|HPRD:01470|Vega:OTTHUMG00000134334	12	12q24	"protein tyrosine phosphatase, non-receptor type 11"	protein-coding
5782	PTPN12	PTP-PEST|PTPG1	MIM:600079|HGNC:HGNC:9645|Ensembl:ENSG00000127947|HPRD:02513|Vega:OTTHUMG00000023501	7	7q11.23	"protein tyrosine phosphatase, non-receptor type 12"	protein-coding
5783	PTPN13	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E	MIM:600267|HGNC:HGNC:9646|Ensembl:ENSG00000163629|HPRD:02602|Vega:OTTHUMG00000160968	4	4q21.3	"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)"	protein-coding
5788	PTPRC	B220|CD45|CD45R|GP180|L-CA|LCA|LY5|T200	MIM:151460|HGNC:HGNC:9666|Ensembl:ENSG00000081237|HPRD:01050|Vega:OTTHUMG00000035702	1	1q31-q32	"protein tyrosine phosphatase, receptor type, C"	protein-coding
5789	PTPRD	HPTP|HPTPD|HPTPDELTA|PTPD|RPTPDELTA	MIM:601598|HGNC:HGNC:9668|Ensembl:ENSG00000153707|HPRD:03358|Vega:OTTHUMG00000021005	9	9p23-p24.3	"protein tyrosine phosphatase, receptor type, D"	protein-coding
5795	PTPRJ	CD148|DEP1|HPTPeta|R-PTP-ETA|SCC1	MIM:600925|HGNC:HGNC:9673|Ensembl:ENSG00000149177|HPRD:02955|Vega:OTTHUMG00000166573	11	11p11.2	"protein tyrosine phosphatase, receptor type, J"	protein-coding
5796	PTPRK	R-PTP-kappa	MIM:602545|HGNC:HGNC:9674|Ensembl:ENSG00000152894|HPRD:03968|Vega:OTTHUMG00000015536	6	6q22.2-q22.3	"protein tyrosine phosphatase, receptor type, K"	protein-coding
5887	RAD23B	HHR23B|HR23B|P58	MIM:600062|HGNC:HGNC:9813|Ensembl:ENSG00000119318|HPRD:06772|Vega:OTTHUMG00000020446	9	9q31.2	RAD23 homolog B (S. cerevisiae)	protein-coding
5889	RAD51C	BROVCA3|FANCO|R51H3|RAD51L2	MIM:602774|HGNC:HGNC:9820|Ensembl:ENSG00000108384|HPRD:04143|Vega:OTTHUMG00000141292	17	17q22	RAD51 paralog C	protein-coding
5906	RAP1A	C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21	MIM:179520|HGNC:HGNC:9855|HPRD:01545	1	1p13.3	"RAP1A, member of RAS oncogene family"	protein-coding
5909	RAP1GAP	RAP1GA1|RAP1GAP1|RAP1GAPII|RAPGAP	MIM:600278|HGNC:HGNC:9858|Ensembl:ENSG00000076864|HPRD:02609|Vega:OTTHUMG00000007513	1	1p36.1-p35	RAP1 GTPase activating protein	protein-coding
