Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",1031,1:50970369-50974270,1p32,yes,,"glioma, MM",,,"O, L",Rec,TSG,D,,,,"P42773,1031,CDKN2C,ENSG00000123080,INK4C,p18,p18-INK4C"
CDX2,caudal type homeo box transcription factor 2,1045,13:27963115-27969006,13q12.3,yes,,AML,,,L,Dom,TSG,T,ETV6,,,"CDX3,1045,CDX2,ENSG00000165556,Q99626"
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1050,19:33301338-33302414,19q13.1,yes,,"AML, MDS",,,L,Dom,TSG,"Mis, N, F",,,,"CEBP,1050,CEBPA,C/EBP-alpha,P49715"
CEP89,centrosomal protein 89kDa,84902,19:32879162-32971874,19q13.11,yes,,Spitzoid tumour,,,E,Dom,,T,BRAF,,,"ENSG00000121289,84902,CEP89,CCDC123,Q96ST8,FLJ14640"
CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,79145,8:56214614-56217435,8q11.2,yes,,salivary adenoma,,,E,Dom,,T,PLAG1,,,"ENSG00000170791,79145,CHCHD7,Q9BUK0,MGC2217,FLJ40966"
CHD4,chromodomain helicase DNA binding protein 4,1108,12:6570676-6606373,12p13,yes,,uterine serous carcinoma,,,E,Dom,oncogene,"Mis, F, N",,,,"Mi2-BETA,CHD4,1108,ENSG00000111642,Mi-2b,DKFZp686E06161,Q14839"
CHEK2,CHK2 checkpoint homolog (S. pombe),11200,22:28687897-28734721,22q12.1,,yes,,breast,familial breast cancer,E,Rec,TSG,F,,,,"bA444G7,11200,CHEK2,ENSG00000183765,O96017,RAD53,RP11-436C9_1,PP1425,LFS2,CHK2,HuCds1"
CHIC2,cysteine-rich hydrophobic domain 2,26511,4:54010095-54064300,4q11-q12,yes,,AML,,,L,Dom,,T,ETV6,,,"BTL,26511,CHIC2,Q9UKJ5"
CIC,capicua homolog,23152,19:42284705-42295191,19q13.2,yes,,"oligodendroglioma, soft tissue sarcoma",,,"O, M",Rec,oncogene/TSG,"Mis, F, S,T","DUX4L1, FOXO4",,,"ENSG00000079432,23152,CIC,Q96RK0,KIAA0306"
CIITA,"class II, major histocompatibility complex, transactivator",4261,16:10877332-10923304,16p13,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,TSG,T,"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6",,,"P33076,4261,CIITA,ENSG00000179583,MHC2TA,C2TA"
CLIP1,CAP-GLY domain containing linker protein 1,6249,12:122272875-122380452,12q24.3,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,,,"ENSG00000130779,6249,CLIP1,P30622,RSN,MGC131604,CYLN1,CLIP170,CLIP-170,CLIP"
CLP1,cleavage and polyadenylation factor I subunit 1,10978,11:57659477-57661436,11q12,yes,,AML,,,L,Dom,,T,KMT2A,,,"hClp1,10978,CLP1,ENSG00000172409,Q92989,HEAB"
CLTC,"clathrin, heavy polypeptide (Hc)",1213,17:59620133-59693853,17q11-qter,yes,,"ALCL, renal",,,L,Dom,TSG,T,"ALK, TFE3",,,"CLTCL2,1213,CLTC,ENSG00000141367,Q00610"
CLTCL1,"clathrin, heavy polypeptide-like 1",8218,22:19180219-19291641,22q11.21,yes,,ALCL,,,L,Dom,TSG,T,?,,,"CLTCL,8218,CLTCL1,ENSG00000070371,P53675"
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555,3:129170453-129171757,3q21,yes,,aneurysmal bone cyst,,,M,Dom,TSG,T,USP6,,,"P62633,7555,CNBP,ENSG00000169714,ZNF9,RNF163,DM2,CNBP"
CNOT3,CCR4-NOT transcription complex subunit 3,4849,19:54142979-54155407,19q13.4,yes,,T-ALL,,,L,Rec,TSG,"Mis, N, F",,,,"KIAA0691,4849,CNOT3,ENSG00000088038,O75175,NOT3H,NOT3,LENG2"
CNTRL,centriolin,11064,9:121088328-121177187,9q33.2,yes,,"MPN, NHL",,,L,Dom,,T,FGFR1,,,"CEP1,CNTRL,CEP110,11064,ENSG00000119397"
COL1A1,"collagen, type I, alpha 1",1277,17:50185502-50201513,17q21.31-q22,yes,,"DFSP, aneurysmal bone cyst",,,M,Dom,oncogene,T,"PDGFB, USP6",yes,Osteogenesis imperfecta,"P02452,1277,COL1A1,ENSG00000108821,OI4"
COL2A1,"collagen, type II, alpha 1",1280,12:47973407-48004321,12q13.11,yes,,"chondrosarcoma, enchondroma",,,"L, E, M",Rec,oncogene,"F, Mis, N, T",,yes,"Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others","COL2A1,SEDC,MGC131516,COL11A3,AOM,ANFH,ENSG00000139219,1280"
COX6C,cytochrome c oxidase subunit VIc,1345,8:99878148-99892021,8q22-q23,yes,,uterine leiomyoma,,,M,Dom,,T,HMGA2,,,"P09669,1345,COX6C,ENSG00000164919"
CREB1,cAMP responsive element binding protein 1,1385,2:207555637-207597059,2q34,yes,,"clear cell sarcoma, angiomatoid fibrous histiocytoma",,,M,Dom,oncogene,T,EWSR1,,,"ENSG00000118260,CREB1,1385"
CREB3L1,cAMP responsive element binding protein 3-like 1,90993,11:46278112-46320746,11p11.2,yes,,myxofibrosarcoma,,,M,Dom,TSG,T,FUS,,,"CREB3L1,90993,Q96BA8,OASIS,ENSG00000157613"
CREB3L2,cAMP responsive element binding protein 3-like 2,64764,7:137880476-138001705,7q34,yes,,fibromyxoid sarcoma,,,M,Dom,oncogene,T,FUS,,,"MGC131709,CREB3L2,64764,ENSG00000182158,TCAG_1951439,BBF2H7,MGC71006"
CREBBP,CREB binding protein (CBP),1387,16:3727718-3879916,16p13.3,yes,,"ALL, AML, DLBCL, B-NHL",,,L,Dom/Rec,oncogene/TSG,"T, N, F, Mis, O","KMT2A, MORF, KAT6A",yes,Rubinstein-Taybi syndrome,"CBP,1387,CREBBP,ENSG00000005339,RSTS,RTS"
CRLF2,cytokine receptor-like factor 2,64109,"X,Y:1196780-1212634","Xp22.3; Yp11.3",yes,,"B-ALL, Downs associated ALL",,,L,Dom,oncogene,"Mis, T","P2RY8, IGH",,,"ENSG00000205755,64109,CRLF2"
CRTC1,CREB regulated transcription coactivator 1,23373,19:18683703-18777382,19p13.11,yes,,salivary gland mucoepidermoid,,,E,Dom,oncogene,T,MAML2,,,"Q6UUV9,23373,CRTC1,ENSG00000105662,KIAA0616,TORC1,MECT1,WAMTP1,FLJ14027"
CRTC3,CREB regulated transcription coactivator 3,64784,15:90530072-90642140,15q26.1,yes,,salivary gland mucoepidermoid,,,E,Dom,,T,MAML2,,,"FLJ21868,64784,CRTC3,ENSG00000140577,TORC3"
CSF3R,colony stimulating factor 3 receptor (granulocyte),1441,1:36466357-36479496,1p35-p34.4,yes,,"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS",,,L,Dom,oncogene,"N, Mis, S, O",,yes,"Kostmann syndrome, severe congenital neutropenia","CD114,1441,CSF3R,ENSG00000119535,GCSFR"
CTCF,CCCTC-binding factor,10664,16:67610833-67637872,16q22.1,yes,,"endometrial, breast, head and neck cancer",,,E,Dom,TSG,"Mis, N",,,"Mental retardation, autosomal dominant 21","P49711,10664,CTCF,ENSG00000102974"
CTNNB1,"catenin (cadherin-associated protein), beta 1",1499,3:41224069-41239342,3p22-p21.3,yes,,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",,,"E, M, O",Dom,oncogene,"Mis, O, T",PLAG1,,,"P35222,CTNNB1,1499,ENSG00000168036,CTNNB"
CUX1,cut-like homeobox 1,1523,7:101817640-102249042,7q22.1,yes,,"endometrial, melanoma, colorectal, AML, MDS, other tumour types",,,"E,L,M,O",Dom,oncogene/TSG,"N,F,S,Mis,O,T",CLDN7,,,"ENSG00000160967,P39880,p75,p200,p110,p100,Nbla10317,CUX,COY1,CDP,CASP,1523,CUX1"
CXCR4,C-X-C motif chemokine receptor 4,7852,2:136114869-136115939,2q21,yes,yes,Waldenstrom macroglobulinaemia,,,L,Dom,oncogene,"Mis, N",,,,"D2S201E,7852,CXCR4,ENSG00000121966,P61073,NPYY3R,NPY3R,HM89,NPYRL,LESTR,HSY3RR,LCR1,fusin,WHIM,NPYR,FB22,CD184"
CYLD,familial cylindromatosis gene,1540,16:50749699-50796508,16q12-q13,yes,yes,cylindroma,cylindroma,familial cylindromatosis,E,Rec,TSG,"Mis, N, F, S",,,,"CYLD1,1540,CYLD,ENSG00000083799,USPL2,KIAA0849,CYLDI,CDMT,HSPC057,FLJ31664,FLJ20180,EAC"
DAXX,death-domain associated protein,1616,6:33318743-33321925,6p21.3,yes,,"pancreatic neuroendocrine tumour, paediatric glioblastoma",,,E,Rec,oncogene/TSG,"Mis, F, N",,,,"BING2,DAXX,1616,ENSG00000206206,MGC126246,Q9UER7,MGC126245,DAQB-126H3_2,DAP6"
DCTN1,dynactin 1,1639,2:74361499-74380037,2p13,yes,,"inflammatory myofibroblastic tumour, Spitzoid tumour",,,M,Dom,,T,"ALK, ROS1",yes,"Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome","DAP-150,1639,DCTN1,ENSG00000204843,Q14203,P135,DP-150"
DDB2,damage-specific DNA binding protein 2,1643,11:47215137-47238849,11p12,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,oncogene/TSG,"Mis, N",,,,"Q92466,DDB2,1643,ENSG00000134574,FLJ34321"
DDIT3,DNA-damage-inducible transcript 3,1649,12:57516809-57517406,12q13.1-q13.2,yes,,liposarcoma,,,M,Dom,TSG,T,"FUS, EWSR1",,,"CHOP,DDIT3,1649,ENSG00000175197,_C/EBP zeta_,MGC4154,GADD153,CHOP10,P35638"
DDR2,discoidin domain receptor 2,4921,1:162719064-162780246,1q12-q23,yes,,"squamous cell carcinoma, NSCLC",,,E,Dom,oncogene,"Mis, N",,yes,"Spondylometaepiphyseal dysplasia, short limb-hand type","NTRKR3,4921,DDR2,ENSG00000162733,Q16832,MIG20a,TYRO10"
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1662,11:108665154-108940423,11q22-q23,yes,,AML*,,,L,Dom,TSG,T,NUP98,,,"HRH-J8,1662,DDX10,ENSG00000178105,Q13206"
DDX3X,"DEAD-box helicase 3, X-linked",1654,X:41334253-41347719,Xp11.4,yes,,"CLL, medulloblastoma",,,"L, O",,TSG,"Mis, N, F",,yes,"Mental retardation, X-linked 102","DDX14,1654,DDX3X,ENSG00000215301,DBX,DDX3,HLP2"
DDX5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,1655,17:64499923-64506119,17q21,yes,,prostate,,,E,Dom,oncogene,T,ETV4,,,"HLR1,1655,DDX5,ENSG00000108654,P17844,DKFZp686J01190,p68,G17P1,HUMP68"
DDX6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,1656,11:118754712-118786218,11q23.3,yes,,B-NHL,,,L,Dom,,T,IGH,,,"P54,DDX6,1656,ENSG00000110367,HLR2,P26196,RCK,FLJ36338"
DEK,DEK oncogene (DNA binding),7913,6:18225719-18263987,6p23,yes,,AML,,,L,Dom,,T,NUP214,,,"D6S231E,7913,DEK,ENSG00000124795,P35659"
DICER1,"dicer 1, ribonuclease type III",23405,14:95090498-95133458,14q32.13,yes,yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,familial pleuropulmonary blastoma or DICER1 syndrome,"E, M, O",Rec,TSG,"Mis, F, N",,,,"Dicer,23405,DICER1,ENSG00000100697,KIAA0928,HERNA,Q9UPY3,K12H4_8-LIKE"
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3337,19:14515940-14518349,19p13.2,yes,,fibrolamellar hepatocellular carcinoma,,,E,Dom,,T,PRKACA,,,"HSPF1,DNAJB1,3337,ENSG00000132002,P25685,Hdj1,Hsp40"
DNM2,dynamin 2,1785,19:10718243-10831047,19p13.2,yes,,T-ALL,,,L,Rec,,"F, N, S, Mis, O",,yes,"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5","CMTDI1,1785,DNM2,ENSG00000079805,DYNII,DYN2,CMTDIB"
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1788,2:25234279-25313984,2p23,yes,,AML,,,L,Dom,TSG,"Mis, F, N, S",,,,"Q9Y6K1,DNMT3A,1788,ENSG00000119772,DNMT3A2,M_HsaIIIA"
DROSHA,drosha ribonuclease III,29102,5:31401432-31529059,5q11.2,yes,,"Wilms tumour, NSCLC, bladder carcinoma",,,"E, O",,TSG,"A, Mis, N, F",,,,"HSA242976,29102,DROSHA,RNASEN,ENSG00000113360,Q9NRR4,RNASE3L,RN3,RANSE3L,Etohi2,DROSHA"
DUX4L1,double homeobox 4 like 1,22947,4:190084229-190085686,4q35,yes,,soft tissue sarcoma,,,M,Dom,,T,CIC,,,"DUX4,P0CJ90,P0CJ89,P0CJ88,P0CJ86,P0CJ85,DUX4L1,22947"
EBF1,early B-cell factor 1,1879,5:158699111-159099478,5q34,yes,,lipoma,,,M,Dom,,T,HMGA2,,,"COE1,1879,EBF1,ENSG00000164330,Q9UH73,OLF1,O/E-1,EBF"
ECT2L,epithelial cell transforming sequence 2 oncogene-like,345930,6:138813275-138902627,6q24.1,yes,,ETP ALL,,,L,Rec,,"N, S, Mis",,,,"ECT2L,345930,C6orf91,Q008S8,LFDH,dJ509I19_3,dJ509I19_2,ENSG00000203734"
EGFR,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",1956,7:55019278-55205617,7p12.3-p12.1,yes,yes,"glioma, NSCLC",NSCLC,familial lung cancer,"E, O",Dom,,"A, O, Mis",,,,"mENA,EGFR,1956,ENSG00000146648,P00533,ERBB1,ERBB"
EIF3E,"eukaryotic translation initiation factor 3, subunit E",3646,8:108201885-108248702,8q22-q23,yes,,colorectal,,,E,Dom,,T,RSPO3,,,"eIF3-p46,EIF3E,3646,ENSG00000104408,EIF3S6,eIF3e,EIF3-P48,INT6"
EIF4A2,"eukaryotic translation initiation factor 4A, isoform 2",1974,3:186783611-186789269,3q27.3,yes,,NHL,,,L,Dom,,T,BCL6,,,"DDX2B,1974,EIF4A2,ENSG00000156976,EIF4F,BM-010,EIF4A"
ELF4,E74-like factor 4 (ets domain transcription factor),2000,X:130066721-130081330,Xq26,yes,,AML,,,L,Dom,,T,ERG,,,"MEF,ELF4,2000,ENSG00000102034,ELFR,RP3-510O21_2,Q99607"
ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",2005,1:205616546-205623882,1q32,yes,,prostate,,,E,Dom,,T,SLC45A3,,,"SAP1,2005,ELK4,ENSG00000158711,P28324"
ELL,ELL gene (11-19 lysine-rich leukemia gene),8178,19:18444752-18522055,19p13.1,yes,,AL,,,L,Dom,,T,KMT2A,,,"P55199,8178,ELL,ENSG00000105656,ELL1,C19orf17,Men"
ELN,elastin,2006,7:74028188-74068700,7q11.23,yes,,B-ALL,,,L,Dom,,T,PAX5,yes,"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome","ENSG00000049540,2006,ELN,WS,WBS,SVAS,FLJ43523,FLJ38671"
EML4,echinoderm microtubule associated protein like 4,27436,2:42169613-42330208,2p21,yes,,NSCLC,,,E,Dom,,T,ALK,,,"ENSG00000143924,EML4,27436"
EP300,300 kd E1A-Binding protein gene,2033,22:41093005-41178956,22q13,yes,,"colorectal, breast, pancreatic, AML, ALL, DLBCL",,,"L, E",Rec,,"T,  N, F, Mis, O","KMT2A, KAT6A",,,"ENSG00000100393,2033,EP300,RP1-85F18_1,p300"
EPAS1,endothelial PAS domain protein 1,2034,2:46297912-46384660,2p21-p16,yes,,"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas",,,"E, M",Dom,oncogene/TSG,Mis,,yes,type 3 familial erythrocytosis,"MOP2,EPAS1,2034,ENSG00000116016,PASD2,HIF2A,Q99814"
EPS15,epidermal growth factor receptor pathway substrate 15 (AF1p),2060,1:51356700-51519231,1p32,yes,,ALL,,,L,Dom,,T,KMT2A,,,"AF-1P,EPS15,2060,ENSG00000085832,P42566,MLLT5,AF1P"
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",2064,17:39700239-39728044,17q21.1,yes,,"breast, ovarian, other tumour types, NSCLC, gastric",,,E,Dom,oncogene,"A, Mis, O",,,,"c-erb B2,ERBB2,2064,P04626,ENSG00000141736,c-erbB2,HER-2/neu,HER2,TKR1,NEU,NGL,HER-2"
ERBB3,erb-b2 receptor tyrosine kinase 3,2065,12:56080301-56102055,12q13,yes,,"colon, gastric, head and neck, bladder, skin",,,E,Dom,oncogene,"Mis, N",,,,"c-erbB3,ERBB3,2065,P21860,p180-ErbB3,c-erbB-3,ErbB-3,MDA-BF-1,HER3,p85-sErbB3,MGC88033,p45-sErbB3,ENSG00000065361,erbB3-S"
ERBB4,erb-b2 receptor tyrosine kinase 4,2066,2:211383615-212538530,2q33.3-q34,yes,yes,"melanoma, gastric, NSCLC",,,E,Dom,oncogene/TSG,"Mis, N",,yes,Amyotrophic lateral sclerosis 19,"MGC138404,ERBB4,2066,ENSG00000178568,Q15303,p180erbB4,HER4"
ERC1,ELKS/RAB6-interacting/CAST family member 1,23085,12:1027904-1490230,12p13.3,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,,T,"RET, ROS1",,,"ELKS,ERC1,23085,ENSG00000082805,MGC12974,RAB6IP2,KIAA1081,Cast2,Q8IUD2,KIAA108"
ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",2068,19:45351629-45370237,19q13.2-q13.3,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (D),E,Rec,TSG,"Mis, N, F, S",,,,"TTD,ERCC2,2068,ENSG00000104884,COFS2,P18074,MGC102762,XPD,MGC126219,MGC126218,EM9"
ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2071,2:127257596-127294081,2q21,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (B),E,Rec,,"Mis, S",,,,"RAD25,ERCC3,2071,ENSG00000163161,GTF2H,TFIIH,BTF2,P19447,XPB"
ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",2072,16:13920166-13948347,16p13.3-p13.13,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (F),E,Rec,,"Mis, N, F",,,,"XPF,ERCC4,2072,ENSG00000175595,Q92889"
ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",2073,13:102846267-102875903,13q33,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (G),E,Rec,,"Mis, N, F",,,,"XPGC,2073,ERCC5,ENSG00000134899,RP11-484I6_5,COFS3,XPG,UVDR,ERCM2"
ERG,v-ets erythroblastosis virus E26 oncogene like (avian),2078,21:38383403-38575700,21q22.3,yes,,"Ewing sarcoma, prostate, AML",,,"M, E, L",Dom,,T,"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1",,,"P11308,ERG,2078"
ESR1,estrogen receptor 1,2099,6:151807913-152098966,6q25.1,yes,,breast,,,E,Dom,,Mis,,,,"ESR,2099,ESR1,ENSG00000091831,RP1-130E4_1,NR3A1,ESRA,DKFZp686N23123,ER,Era"
ETNK1,ethanolamine kinase 1,55500,12:22625164-22684954,12p12.1,yes,,"aCML, CMML, SM-AHD, HES",,,L,Dom,,Mis,,,,"ENSG00000139163,55500,ETNK1,Q9HBU6,Nbla10396,EKI1,EKI"
ETV1,ets variant gene 1,2115,7:13895866-13989052,7p22,yes,,"Ewing sarcoma, prostate",,,"M, E",Dom,,T,"EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3",,,"DKFZp781L0674,2115,ETV1,ENSG00000006468,ER81,MGC120533,MGC104699,MGC120534"
ETV4,"ets variant gene 4 (E1A enhancer binding protein, E1AF)",2118,17:43528519-43545617,17q21,yes,,"Ewing sarcoma, prostate carcinoma",,,"M, E",Dom,,T,"EWSR1, TMPRSS2, DDX5, KLK2, CANT1",,,"PEA3,ETV4,2118,ENSG00000175832,E1AF,E1A-F,PEAS3"
ETV5,ets variant gene 5,2119,3:186048639-186105868,3q28,yes,,prostate,,,E,Dom,,T,"TMPRSS2, SCL45A3",,,"P41161,2119,ETV5,ENSG00000244405,ERM"
ETV6,ets variant gene 6 (TEL oncogene),2120,12:11650128-11891046,12p13,yes,,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",,,"L, E, M",Dom,,T,"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5",,,"TEL/ABL,2120,ETV6,ENSG00000139083,P41212,TEL"
EWSR1,Ewing sarcoma breakpoint region 1 (EWS),2130,22:29268337-29300161,22q12,yes,,"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma",,,"L, M, E",Dom,,T,"FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1",,,"EWS,EWSR1,2130,ENSG00000182944"
EXT1,multiple exostoses type 1 gene,2131,8:117799712-118111046,8q24.11-q24.13,,yes,,"exostoses, osteosarcoma",multiple exostoses type 1,M,Rec,,"Mis, N, F, S",,,,"ttv,EXT1,2131,ENSG00000182197,EXT,Q16394"
EXT2,multiple exostoses type 2 gene,2132,11:44107713-44244287,11p12-p11,,yes,,"exostoses, osteosarcoma",multiple exostoses type 2,M,Rec,,"Mis, N, F, S",,,,"Q93063,ENSG00000151348,2132,EXT2,SOTV"
EZH2,enhancer of zeste homolog 2,2146,7:148807646-148847298,7q35-q36,yes,,DLBCL,,,L,Dom,oncogene/TSG,Mis,,,,"ENX-1,2146,EZH2,ENSG00000106462,Q15910,MGC9169"
EZR,ezrin,7430,6:158766914-158818093,6q25.3,yes,,NSCLC,,,E,Dom,oncogene,T,ROS1,,,"CVIL,7430,EZR,ENSG00000092820,P15311,MGC1584,FLJ26216,DKFZp762H157,CVL"
FAM131B,"family with sequence similarity 131, member B",9715,7:143356550-143360093,7q34,yes,,pilocytic astrocytoma,,,O,Dom,,T,BRAF,,,"FAM131B,Q86XD5,KIAA0773,9715"
FAM46C,"family with sequence similarity 46, member C",54855,1:117622869-117624044,1p12,yes,,MM,,,L,Rec,,"Mis, F, O",,,,"FAM46C,Q5VWP2,FLJ20202,ENSG00000183508,54855"
FANCA,"Fanconi anemia, complementation group A",2175,16:89738601-89816615,16q24.3,,yes,,"AML, leukaemia",Fanconi anaemia A,L,Rec,,"D, Mis, N, F, S",,,,"MGC75158,2175,FANCA,ENSG00000187741,FA-H,FA,FAA,FANCH,FA1,FACA"
FANCC,"Fanconi anemia, complementation group C",2176,9:95101707-95249291,9q22.3,,yes,,"AML, leukaemia",Fanconi anaemia C,L,Rec,,"D, Mis, N, F, S",,,,"ENSG00000158169,FANCC,2176,RP11-80I15_2,FAC,FA3,FACC,FLJ14675"
FANCD2,"Fanconi anemia, complementation group D2",2177,3:10028658-10098950,3p26,,yes,,"AML, leukaemia",Fanconi anaemia D2,L,Rec,,"D, Mis, N, F",,,,"FANCD,2177,FANCD2,ENSG00000144554,FLJ23826,FAD,FACD,FA4,FA-D2,FAD2,DKFZp762A223"
FANCE,"Fanconi anemia, complementation group E",2178,6:35452546-35466345,6p21-p22,,yes,,"AML, leukaemia",Fanconi anaemia E,L,Rec,,"N, F, S",,,,"FACE,FANCE,2178,ENSG00000112039,FAE"
FANCF,"Fanconi anemia, complementation group F",2188,11:22624686-22625810,11p15,,yes,,"AML, leukaemia",Fanconi anaemia F,L,Rec,,"N, F",,,,"FAF,FANCF,2188,ENSG00000183161,Q9NPI8,MGC126856"
FANCG,"Fanconi anemia, complementation group G",2189,9:35074108-35079524,9p13,,yes,,"AML, leukaemia",Fanconi anaemia G,L,Rec,,"Mis, N, F, S",,,,"ENSG00000221829,FANCG,2189,O15287,XRCC9,FAG"
FAS,Fas cell surface death receptor,355,10:88990877-89014450,10q24.1,yes,,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,,"L, E, O",Rec,,Mis,,yes,Autoimmune lymphoproliferative syndrome,"FAS1,FAS,355,ENSG00000026103,FASTM,APO-1,P25445,CD95,ALPS1A,TNFRSF6,APT1"
FAT1,FAT atypical cadherin 1,2195,4:186588592-186709827,4q35.2,yes,yes,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,,"E, L",,TSG,"Mis, N, F, S",,,,"CDHF7,2195,FAT1,ME5,hFat1,CDHR8"
FAT4,FAT atypical cadherin 4,79633,4:125316412-125491768,4q28.1,yes,,"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma",,,"E, L",,TSG,"Mis, N",,yes,"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2","ENSG00000196159,79633,FAT4"
FBXO11,F-box protein 11,80204,2:47808118-47839749,2p16.3,yes,,DLBCL,,,L,Rec,,"Mis, F, D",,,,"MGC44383,80204,FBXO11,ENSG00000138081,Q86XK2,VIT1,UG063H01,PRMT9,FLJ12673,FBX11"
FBXW7,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",55294,4:152322881-152411803,4q31.3,yes,,"colorectal, endometrial, T-ALL",,,"E, L",Rec,,"Mis, N, D, F",,,,"AGO,55294,FBXW7,ENSG00000109670,FLJ11071,SEL-10,CDC4,FBXW6,SEL10,FBW7,DKFZp686F23254,FBX30"
FCGR2B,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",2213,1:161663242-161677553,1q23,yes,,ALL,,,L,Dom,,T,?,,,"FCGR2,2213,FCGR2B,ENSG00000072694,CD32,CD32B,P31994,IGFR2,FCG2"
FCRL4,Fc receptor-like 4,83417,1:157575524-157597944,1q21,yes,,B-NHL,,,L,Dom,,T,IGH,,,"FCRH4,83417,FCRL4,ENSG00000163518,IRTA1,IGFP2"
FES,"FES proto-oncogene, tyrosine kinase",2242,15:90885046-90895558,15q26.1,yes,,"HNSCC, ovarian carcinoma",,,E,,oncogene/TSG,"Mis, F",,,,"FPS,2242,FES,ENSG00000182511,P07332"
FEV,FEV protein - (HSRNAFEV),54738,2:218981667-218985075,2q36,yes,,Ewing sarcoma,,,M,Dom,,T,"EWSR1,  FUS",,,"Pet-1,FEV,54738,ENSG00000163497,PET-1,HSRNAFEV"
FGFR1,fibroblast growth factor receptor 1,2260,8:38413628-38457446,8p11.2-p11.1,yes,,"MPN, NHL, salivary adenoma",,,L,Dom,,T,"BCR, FOP, ZMYM2, CNTRL, PLAG1",yes,"Pfeiffer syndrome, Kallman syndrome","CEK,2260,FGFR1,ENSG00000077782,P11362,FLT2,CD331,H3,HBGFR,FGFBR,H5,KAL2,H2,BFGFR,N-SAM,H4"
