Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
ROS1	6098	ENST00000368508	NM_002944.2	ENST00000368508	NM_002944.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
RUNX1	861	ENST00000300305	NM_001754.4	ENST00000300305	NM_001754.4	6	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes
SDHA	6389	ENST00000264932	NM_004168.2	ENST00000264932	NM_004168.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
SDHB	6390	ENST00000375499	NM_003000.2	ENST00000375499	NM_003000.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
SDHC	6391	ENST00000367975	NM_003001.3	ENST00000367975	NM_003001.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
SDHD	6392	ENST00000375549	NM_003002.3	ENST00000375549	NM_003002.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
SOX2	6657	ENST00000325404	NM_003106.3	ENST00000325404	NM_003106.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SPEN	23013	ENST00000375759	NM_015001.2	ENST00000375759	NM_015001.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
SRC	6714	ENST00000358208	NM_198291.2	ENST00000358208	NM_198291.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SRSF2	6427	ENST00000359995	NM_003016.4	ENST00000359995	NM_003016.4	6	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes
STAT3	6774	ENST00000264657	NM_139276.2	ENST00000264657	NM_139276.2	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
SUFU	51684	ENST00000369902	NM_016169.3	ENST00000369902	NM_016169.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
SYK	6850	ENST00000375746	NM_003177.5	ENST00000375746	NM_003177.5	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
TENT5C	54855	ENST00000369448	NM_017709.3	ENST00000369448	NM_017709.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
TGFBR2	7048	ENST00000295754	NM_003242.5	ENST00000295754	NM_003242.5	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
TMPRSS2	7113	ENST00000398585	NM_001135099.1	ENST00000398585	NM_001135099.1	6	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes
TNFRSF14	8764	ENST00000355716	NM_003820.2	ENST00000355716	NM_003820.2	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
TSC2	7249	ENST00000219476	NM_000548.3	ENST00000219476	NM_000548.3	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
TSHR	7253	ENST00000298171	NM_000369.2	ENST00000541158	NM_000369.2	6	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes
XPO1	7514	ENST00000401558	NM_003400.3	ENST00000401558	NM_003400.3	6	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes
AKT3	10000	ENST00000263826	NM_005465.4	ENST00000263826	NM_005465.4	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
ARAF	369	ENST00000377045	NM_001654.4	ENST00000377045	NM_001654.4	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
ARID1B	57492	ENST00000346085	NM_020732.3	ENST00000647938	NM_020732.3	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes
AURKA	6790	ENST00000312783	NM_003600.2	ENST00000312783	NM_003600.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
AURKB	9212	ENST00000585124	NM_004217.3	ENST00000585124	NM_004217.3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
AXL	558	ENST00000301178	NM_021913.4	ENST00000301178	NM_021913.4	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
BCL10	8915	ENST00000370580	NM_003921.4	ENST00000648566	NM_003921.4	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
BCORL1	63035	ENST00000218147		ENST00000218147		5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
BCR	613	ENST00000305877	NM_004327.3	ENST00000305877	NM_004327.3	5	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes
BIRC3	330	ENST00000263464	NM_182962.2	ENST00000263464	NM_182962.2	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
BLM	641	ENST00000355112	NM_000057.2	ENST00000355112	NM_000057.2	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
BTG1	694	ENST00000256015	NM_001731.2	ENST00000256015	NM_001731.2	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
CDK8	1024	ENST00000381527	NM_001260.1	ENST00000381527	NM_001260.1	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
CDKN2B	1030	ENST00000276925	NM_004936.3	ENST00000276925	NM_004936.3	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
CHEK1	1111	ENST00000428830	NM_001274.5	ENST00000428830	NM_001274.5	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
CRKL	1399	ENST00000354336	NM_005207.3	ENST00000354336	NM_005207.3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
CYLD	1540	ENST00000398568	NM_001042355.1	ENST00000398568	NM_001042355.1	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes
DOT1L	84444	ENST00000398665	NM_032482.2	ENST00000398665	NM_032482.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
EED	8726	ENST00000263360	NM_003797.3	ENST00000263360	NM_003797.3	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
EIF4A2	1974	ENST00000323963	NM_001967.3	ENST00000323963	NM_001967.3	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
EPHA3	2042	ENST00000336596	NM_005233.5	ENST00000336596	NM_005233.5	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
EPHB1	2047	ENST00000398015	NM_004441.4	ENST00000398015	NM_004441.4	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
ERCC4	2072	ENST00000311895	NM_005236.2	ENST00000311895	NM_005236.2	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
ETV1	2115	ENST00000405192	NM_001163147.1	ENST00000405192	NM_001163147.1	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
FAS	355	ENST00000355740	NM_000043.4	ENST00000652046	NM_000043.4	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
FGF19	9965	ENST00000294312	NM_005117.2	ENST00000294312	NM_005117.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
FGF3	2248	ENST00000334134	NM_005247.2	ENST00000334134	NM_005247.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
FGF4	2249	ENST00000168712	NM_002007.2	ENST00000168712	NM_002007.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
FH	2271	ENST00000366560	NM_000143.3	ENST00000366560	NM_000143.3	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
FLT1	2321	ENST00000282397	NM_002019.4	ENST00000282397	NM_002019.4	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
FLT4	2324	ENST00000261937	NM_182925.4	ENST00000261937	NM_182925.4	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
FOXO1	2308	ENST00000379561	NM_002015.3	ENST00000379561	NM_002015.3	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
FOXP1	27086	ENST00000318789	NM_001244814.1	ENST00000318789	NM_001244814.1	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes
GRIN2A	2903	ENST00000330684	NM_001134407.1	ENST00000330684	NM_001134407.1	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
GSK3B	2932	ENST00000316626	NM_002093.3	ENST00000316626	NM_002093.3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
HGF	3082	ENST00000222390	NM_000601.4	ENST00000222390	NM_000601.4	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
ID3	3399	ENST00000374561	NM_002167.4	ENST00000374561	NM_002167.4	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
IGF1R	3480	ENST00000268035	NM_000875.3	ENST00000650285	NM_000875.3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
IKBKE	9641	ENST00000367120	NM_014002.3	ENST00000581977	NM_014002.3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
IL7R	3575	ENST00000303115	NM_002185.3	ENST00000303115	NM_002185.3	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
INPP4B	8821	ENST00000262992	NM_001101669.1	ENST00000262992	NM_001101669.1	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
IRS2	8660	ENST00000375856	NM_003749.2	ENST00000375856	NM_003749.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
KLF4	9314	ENST00000374672	NM_004235.4	ENST00000374672	NM_004235.4	5	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes
LMO1	4004	ENST00000335790	NM_002315.2	ENST00000335790	NM_002315.2	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
MALT1	10892	ENST00000348428	NM_006785.3	ENST00000649217	NM_006785.3	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
MAP3K13	9175	ENST00000265026	NM_004721.4	ENST00000265026	NM_004721.4	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
MCL1	4170	ENST00000369026	NM_021960.4	ENST00000369026	NM_021960.4	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
MEF2B	100271849	ENST00000162023	NM_001145785.1	ENST00000424583	NM_001145785.1	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
MRE11	4361	ENST00000323929	NM_005591.3	ENST00000323929	NM_005591.3	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
MSH3	4437	ENST00000265081	NM_002439.4	ENST00000265081	NM_002439.4	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
MSI2	124540	ENST00000284073	NM_138962.2	ENST00000284073	NM_138962.2	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
NBN	4683	ENST00000265433	NM_002485.4	ENST00000265433	NM_002485.4	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
NCOR1	9611	ENST00000268712	NM_006311.3	ENST00000268712	NM_006311.3	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes
NFKBIA	4792	ENST00000216797	NM_020529.2	ENST00000216797	NM_020529.2	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
NSD1	64324	ENST00000439151	NM_022455.4	ENST00000439151	NM_022455.4	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes
NT5C2	22978	ENST00000343289	NM_001134373.2	ENST00000343289	NM_001134373.2	5	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes
NTRK2	4915	ENST00000277120	NM_006180.3	ENST00000277120	NM_006180.3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
P2RY8	286530	ENST00000381297	NM_178129.4	ENST00000381297	NM_178129.4	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes
PDCD1	5133	ENST00000334409	NM_005018.2	ENST00000334409	NM_005018.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
PIK3CB	5291	ENST00000289153	NM_006219.2	ENST00000289153	NM_006219.2	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
PMS2	5395	ENST00000265849	NM_000535.5	ENST00000265849	NM_000535.5	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
POLD1	5424	ENST00000440232	NM_002691.3	ENST00000440232	NM_002691.3	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
POLE	5426	ENST00000320574	NM_006231.2	ENST00000320574	NM_006231.2	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
POT1	25913	ENST00000357628	NM_015450.2	ENST00000357628	NM_015450.2	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
PPARG	5468	ENST00000287820	NM_015869.4	ENST00000287820	NM_015869.4	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
RAC1	5879	ENST00000356142	NM_018890.3	ENST00000356142	NM_018890.3	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
RAD51	5888	ENST00000267868	NM_002875.4	ENST00000267868	NM_002875.4	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No
RAD51B	5890	ENST00000487270	NM_133509.3	ENST00000487270	NM_133509.3	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
RBM10	8241	ENST00000329236	NM_001204468.1	ENST00000628161	NM_001204468.1	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
REL	5966	ENST00000295025	NM_002908.2	ENST00000295025	NM_002908.2	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
RHOA	387	ENST00000418115	NM_001664.2	ENST00000418115	NM_001664.2	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
RICTOR	253260	ENST00000357387	NM_152756.3	ENST00000357387	NM_152756.3	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
RPTOR	57521	ENST00000306801	NM_020761.2	ENST00000306801	NM_020761.2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
SETBP1	26040	ENST00000282030	NM_015559.2	ENST00000649279	NM_015559.2	5	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes
SOX9	6662	ENST00000245479	NM_000346.3	ENST00000245479	NM_000346.3	5	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No
STAT5B	6777	ENST00000293328	NM_012448.3	ENST00000293328	NM_012448.3	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes
SUZ12	23512	ENST00000322652	NM_015355.2	ENST00000322652	NM_015355.2	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
TBX3	6926	ENST00000257566	NM_016569.3	ENST00000257566	NM_016569.3	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes
TCF3	6929	ENST00000344749	NM_001136139.2	ENST00000588136	NM_001136139.2	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
TERT	7015	ENST00000310581	NM_198253.2	ENST00000310581	NM_198253.2	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes
TET1	80312	ENST00000373644	NM_030625.2	ENST00000373644	NM_030625.2	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
TOP1	7150	ENST00000361337	NM_003286.2	ENST00000361337	NM_003286.2	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes
TP63	8626	ENST00000264731	NM_003722.4	ENST00000264731	NM_003722.4	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes
TRAF7	84231	ENST00000326181	NM_032271.2	ENST00000326181	NM_032271.2	5	Yes	No	No	Yes	Yes	No	No	Yes	Yes
ZRSR2	8233	ENST00000307771	NM_005089.3	ENST00000307771	NM_005089.3	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes
ACVR1	90	ENST00000263640	NM_001111067.2	ENST00000263640	NM_001111067.2	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
ALOX12B	242	ENST00000319144	NM_001139.2	ENST00000647874	NM_001139.2	4	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No
AXIN2	8313	ENST00000307078	NM_004655.3	ENST00000307078	NM_004655.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
BCL11B	64919	ENST00000357195	NM_138576.3	ENST00000357195	NM_138576.3	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
BCL2L1	598	ENST00000307677	NM_138578.1	ENST00000307677	NM_138578.1	4	Yes	No	No	Yes	Yes	Yes	No	No	No
BMPR1A	657	ENST00000372037	NM_004329.2	ENST00000372037	NM_004329.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
CDKN1A	1026	ENST00000244741	NM_078467.2	ENST00000244741	NM_078467.2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
CIITA	4261	ENST00000324288	NM_001286402	ENST00000324288	NM_001286402	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
CUL3	8452	ENST00000264414	NM_003590.4	ENST00000264414	NM_003590.4	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
CUX1	1523	ENST00000292535	NM_181552.3	ENST00000292535	NM_181552.3	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
DDX3X	1654	ENST00000399959	NM_001356.4	ENST00000478993	NM_001356.4	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
DICER1	23405	ENST00000393063	NM_177438.2	ENST00000393063	NM_177438.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
DIS3	22894	ENST00000377767	NM_014953.3	ENST00000377767	NM_014953.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
DNAJB1	3337	ENST00000254322	NM_006145.1	ENST00000254322	NM_006145.1	4	Yes	No	No	Yes	Yes	No	No	No	Yes
DNMT1	1786	ENST00000340748	NM_001379.2	ENST00000340748	NM_001379.2	4	Yes	Yes	No	Yes	Yes	No	No	Yes	No
DROSHA	29102	ENST00000344624	NM_013235.4	ENST00000344624	NM_013235.4	4	Yes	No	No	Yes	Yes	No	No	No	Yes
EPAS1	2034	ENST00000263734	NM_001430.4	ENST00000263734	NM_001430.4	4	Yes	No	No	Yes	Yes	No	No	No	Yes
EPHA5	2044	ENST00000273854	NM_004439.5	ENST00000273854	NM_004439.5	4	Yes	No	No	Yes	Yes	No	Yes	No	No
EPHA7	2045	ENST00000369303	NM_004440.3	ENST00000369303	NM_004440.3	4	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No
ERCC2	2068	ENST00000391945	NM_000400.3	ENST00000391945	NM_000400.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
ERCC3	2071	ENST00000285398	NM_000122.1	ENST00000285398	NM_000122.1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
ERCC5	2073	ENST00000355739	NM_000123.3	ENST00000652225	NM_000123.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
ERRFI1	54206	ENST00000377482	NM_018948.3	ENST00000377482	NM_018948.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
ETV4	2118	ENST00000319349	NM_001079675.2	ENST00000319349	NM_001079675.2	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes
ETV5	2119	ENST00000306376	NM_004454.2	ENST00000306376	NM_004454.2	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes
EWSR1	2130	ENST00000397938	NM_005243.3	ENST00000397938	NM_005243.3	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes
FANCD2	2177	ENST00000383807	NM_001018115.1	ENST00000383807	NM_001018115.1	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
FAT1	2195	ENST00000441802	NM_005245.3	ENST00000441802	NM_005245.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
FBXO11	80204	ENST00000403359	NM_001190274.1	ENST00000403359	NM_001190274.1	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
FOXA1	3169	ENST00000250448	NM_004496.3	ENST00000250448	NM_004496.3	4	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes
GLI1	2735	ENST00000228682	NM_005269.2	ENST00000228682	NM_005269.2	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
GNA13	10672	ENST00000439174	NM_006572.5	ENST00000439174	NM_006572.5	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No
H1-2	3006	ENST00000343677	NM_005319.3	ENST00000343677	NM_005319.3	4	Yes	No	No	Yes	Yes	No	Yes	No	No
H3-3B	3021	ENST00000254810	NM_005324.3	ENST00000254810	NM_005324.3	4	Yes	No	No	Yes	Yes	No	No	No	Yes
HDAC1	3065	ENST00000373548	NM_004964.2	ENST00000373548	NM_004964.2	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No
HLA-A	3105	ENST00000376809	NM_001242758.1	ENST00000376809	NM_001242758.1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
INHBA	3624	ENST00000242208	NM_002192.2	ENST00000242208	NM_002192.2	4	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No
LATS1	9113	ENST00000253339	NM_004690.3	ENST00000253339	NM_004690.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
LATS2	26524	ENST00000382592	NM_014572.2	ENST00000382592	NM_014572.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
LYN	4067	ENST00000519728	NM_002350.3	ENST00000519728	NM_002350.3	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
MAF	4094	ENST00000393350	NM_001031804.2	ENST00000393350	NM_001031804.2	4	Yes	No	No	No	No	Yes	Yes	No	Yes
MAP3K14	9020	ENST00000344686	NM_003954.3	ENST00000344686	NM_003954.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
MAX	4149	ENST00000358664	NM_002382.4	ENST00000358664	NM_002382.4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
MLLT1	4298	ENST00000252674	NM_005934.3	ENST00000252674	NM_005934.3	4	Yes	No	No	Yes	No	No	Yes	No	Yes
MST1R	4486	ENST00000296474	NM_002447.2	ENST00000296474	NM_002447.2	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
MYOD1	4654	ENST00000250003	NM_002478.4	ENST00000250003	NM_002478.4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
NCOR2	9612	ENST00000405201	NM_006312.6	ENST00000405201	NM_006312.6	4	Yes	No	No	No	Yes	No	Yes	No	Yes
NOTCH3	4854	ENST00000263388	NM_000435.2	ENST00000263388	NM_000435.2	4	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No
NUP93	9688	ENST00000308159	NM_014669.4	ENST00000308159	NM_014669.4	4	Yes	No	No	Yes	Yes	No	Yes	No	No
PARP1	142	ENST00000366794	NM_001618.3	ENST00000366794	NM_001618.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
PHOX2B	8929	ENST00000226382	NM_003924.3	ENST00000226382	NM_003924.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
PIK3C2G	5288	ENST00000266497	NM_004570.4	ENST00000433979	NM_004570.4	4	Yes	No	No	Yes	Yes	Yes	No	No	No
PIK3CG	5294	ENST00000359195	NM_002649.2	ENST00000359195	NM_002649.2	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
PIK3R2	5296	ENST00000222254	NM_005027.3	ENST00000222254	NM_005027.3	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No
PLCG2	5336	ENST00000359376	NM_002661.3	ENST00000564138	NM_002661.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
PPM1D	8493	ENST00000305921	NM_003620.3	ENST00000305921	NM_003620.3	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
PPP6C	5537	ENST00000373547	NM_002721.4	ENST00000373547	NM_002721.4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
PREX2	80243	ENST00000288368	NM_024870.2	ENST00000288368	NM_024870.2	4	Yes	No	No	Yes	Yes	No	No	No	Yes
PRKCI	5584	ENST00000295797	NM_002740.5	ENST00000295797	NM_002740.5	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
PRKN	5071	ENST00000366898	NM_004562.2	ENST00000366898	NM_004562.2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
PTPRT	11122	ENST00000373198	NM_133170.3	ENST00000373198	NM_133170.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
RAD50	10111	ENST00000265335	NM_005732.3	ENST00000378823	NM_005732.3	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No
RAD51C	5889	ENST00000337432	NM_058216.2	ENST00000337432	NM_058216.2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
RAD51D	5892	ENST00000345365	NM_002878.3	ENST00000345365	NM_002878.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
RAD52	5893	ENST00000358495	NM_134424.2	ENST00000358495	NM_134424.2	4	Yes	No	No	Yes	Yes	Yes	No	No	No
RAD54L	8438	ENST00000371975	NM_001142548.1	ENST00000371975	NM_001142548.1	4	Yes	No	No	Yes	Yes	Yes	No	No	No
RECQL4	9401	ENST00000428558	NM_004260.3	ENST00000617875	NM_004260.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
RUNX1T1	862	ENST00000265814	NM_001198626.1	ENST00000265814	NM_001198626.1	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes
SDHAF2	54949	ENST00000301761	NM_017841.2	ENST00000301761	NM_017841.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SGK1	6446	ENST00000237305	NM_005627.3	ENST00000237305	NM_005627.3	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No
SH2B3	10019	ENST00000341259	NM_005475.2	ENST00000341259	NM_005475.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SMAD3	4088	ENST00000327367	NM_005902.3	ENST00000327367	NM_005902.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SMARCD1	6602	ENST00000394963	NM_003076.4	ENST00000394963	NM_003076.4	4	Yes	No	No	Yes	Yes	No	No	No	Yes
STAT5A	6776	ENST00000345506	NM_003152.3	ENST00000345506	NM_003152.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
STAT6	6778	ENST00000300134	NM_001178078.1	ENST00000300134	NM_001178078.1	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes
TBL1XR1	79718	ENST00000430069	NM_024665.4	ENST00000430069	NM_024665.4	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
TCF7L2	6934	ENST00000543371	NM_001146274.1	ENST00000627217	NM_001146274.1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
TEK	7010	ENST00000380036	NM_000459.3	ENST00000380036	NM_000459.3	4	Yes	No	No	Yes	Yes	Yes	No	No	No
TMEM127	55654	ENST00000258439	NM_001193304.2	ENST00000258439	NM_001193304.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
TRAF2	7186	ENST00000247668	NM_021138.3	ENST00000247668	NM_021138.3	4	Yes	No	No	Yes	Yes	No	Yes	No	No
VEGFA	7422	ENST00000523873	NM_001171623.1	ENST00000523873	NM_001171623.1	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
WWTR1	25937	ENST00000360632	NM_001168280.1	ENST00000360632	NM_001168280.1	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
XRCC2	7516	ENST00000359321	NM_005431.1	ENST00000359321	NM_005431.1	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
ZFHX3	463	ENST00000268489	NM_006885.3	ENST00000268489	NM_006885.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
ABL2	27	ENST00000502732	NM_007314.3	ENST00000502732	NM_007314.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes
ABRAXAS1	84142	ENST00000321945	NM_139076.2	ENST00000321945	NM_139076.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
AGO2	27161	ENST00000220592	NM_012154.3	ENST00000220592	NM_012154.3	3	Yes	No	No	Yes	Yes	No	No	No	No
