Gene_Ensembl_ID	Gene_full_name	Protein_RefSeq_ID
ENSG00000087111	phosphatidylinositol glycan anchor biosynthesis class S	NP_149975.1
ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif 2	NP_055059.2,NP_067610.1
ENSG00000087128	transmembrane serine protease 11E	NP_054777.2
ENSG00000087152	ataxin 7 like 3	NP_001369237.1,NP_001369238.1,NP_001369239.1,NP_001369240.1,NP_001369241.1,NP_001369242.1,NP_001369243.1,NP_001369244.1,NP_001369245.1
ENSG00000087157	phosphatidylglycerophosphate synthase 1	NP_077733.3
ENSG00000087191	proteasome 26S subunit, ATPase 5	NP_001186092.1,NP_002796.4
ENSG00000087206	ubiquitin interaction motif containing 1	NP_001186226.1,NP_001186227.1,NP_001304890.1,NP_057374.3
ENSG00000087237	cholesteryl ester transfer protein	NP_000069.2,NP_001273014.1
ENSG00000087245	matrix metallopeptidase 2	NP_001121363.1,NP_001289437.1,NP_001289438.1,NP_001289439.1,NP_004521.1
ENSG00000087250	metallothionein 3	NP_005945.1
ENSG00000087253	lysophosphatidylcholine acyltransferase 2	NP_060309.2
ENSG00000087258	G protein subunit alpha o1	NP_066268.1,NP_620073.2
ENSG00000087263	2-oxoglutarate and iron dependent oxygenase domain containing 1	NP_001311286.1,NP_001311287.1,NP_001311288.1,NP_001311289.1,NP_001311290.1,NP_001311291.1,NP_001311292.1,NP_060703.3
ENSG00000087266	SH3 domain binding protein 2	NP_001116153.1,NP_001139327.1,NP_001139328.1,NP_003014.3
ENSG00000087269	NOP14 nucleolar protein	NP_001278907.1,NP_001278908.1,NP_003694.1
ENSG00000087274	adducin 1	NP_001110.2,NP_001273574.1,NP_001341683.1,NP_001341684.1,NP_001341685.1,NP_001341686.1,NP_001341687.1,NP_001341688.1,NP_001341690.1,NP_001341691.1,NP_054908.2,NP_054909.2,NP_789771.1
ENSG00000087299	L-2-hydroxyglutarate dehydrogenase	NP_079160.1
ENSG00000087301	thioredoxin domain containing 16	NP_001153519.1,NP_065835.2
ENSG00000087302	RNA transcription, translation and transport factor	NP_057123.1
ENSG00000087303	nidogen 2	NP_031387.3
ENSG00000087338	germ cell-less 1, spermatogenesis associated	NP_848526.1
ENSG00000087365	splicing factor 3b subunit 2	NP_006833.2
ENSG00000087448	kelch like family member 42	NP_065833.1
ENSG00000087460	GNAS complex locus	NP_000507.1,NP_001070956.1,NP_001070957.1,NP_001070958.1,NP_001296769.1,NP_001296771.1,NP_001296790.1,NP_001296812.1,NP_057676.1,NP_536350.2,NP_536351.1
ENSG00000087470	dynamin 1 like	NP_001265392.1,NP_001265393.1,NP_001265394.1,NP_001265395.1,NP_001317309.1,NP_005681.2,NP_036192.2,NP_036193.2
ENSG00000087494	parathyroid hormone like hormone	NP_002811.1,NP_945315.1,NP_945316.1,NP_945317.1
ENSG00000087495	phosphatase and actin regulator 3	NP_001186434.1,NP_001186435.1,NP_001268436.1,NP_542403.1,NP_899067.1,NP_899069.1
ENSG00000087502	ERGIC and golgi 2	NP_057654.2
ENSG00000087510	transcription factor AP-2 gamma	NP_003213.1
ENSG00000087586	aurora kinase A	NP_001310232.1,NP_001310233.1,NP_001310234.1,NP_003591.2,NP_940835.1,NP_940836.1,NP_940837.1,NP_940838.1,NP_940839.1
ENSG00000087589	Cas scaffold protein family member 4	NP_001157586.1,NP_001157587.1,NP_001157588.1,NP_065089.2
ENSG00000087842	pirin	NP_001018119.1,NP_003653.1
ENSG00000087884	adipogenesis associated Mth938 domain containing	NP_001303886.1,NP_001303887.1,NP_001303889.1,NP_001303890.1,NP_001303891.1,NP_001350493.2,NP_001378960.1,NP_001378961.1,NP_001378962.1,NP_001378963.1,NP_001378964.1,NP_001378965.1,NP_001378966.1,NP_001378967.1,NP_001378997.1,NP_078960.1
ENSG00000087903	regulatory factor X2	NP_000626.2,NP_602309.1
ENSG00000087995	methyltransferase 2A, methylcytidine	NP_859076.3
ENSG00000088002	sulfotransferase family 2B member 1	NP_004596.2,NP_814444.1
ENSG00000088035	ALG6 alpha-1,3-glucosyltransferase	NP_037471.2
ENSG00000088038	CCR4-NOT transcription complex subunit 3	NP_055331.1
ENSG00000088053	glycoprotein VI platelet	NP_001077368.2,NP_001242946.2,NP_057447.5
ENSG00000088179	protein tyrosine phosphatase non-receptor type 4	NP_002821.1
ENSG00000088205	DEAD-box helicase 18	NP_006764.3
ENSG00000088247	KH-type splicing regulatory protein	NP_001353228.1,NP_001353229.1,NP_003676.2
ENSG00000088256	G protein subunit alpha 11	NP_002058.2
ENSG00000088280	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	NP_001137250.1,NP_060177.2
ENSG00000088298	ER degradation enhancing alpha-mannosidase like protein 2	NP_001138497.1,NP_060687.2
ENSG00000088305	DNA methyltransferase 3 beta	NP_001193984.1,NP_001193985.1,NP_008823.1,NP_787044.1,NP_787045.1,NP_787046.1
ENSG00000088320	RRAD and GEM like GTPase 1	NP_054731.2
ENSG00000088325	TPX2 microtubule nucleation factor	NP_036244.2
ENSG00000088340	fer-1 like family member 4 (pseudogene)	NA
ENSG00000088356	p53 and DNA damage regulated 1	NP_110442.1
ENSG00000088367	erythrocyte membrane protein band 4.1 like 1	NP_001245258.1,NP_001245259.1,NP_001245260.1,NP_036288.2,NP_818932.1
ENSG00000088386	solute carrier family 15 member 1	NP_005064.1
ENSG00000088387	dedicator of cytokinesis 9	NP_001123520.1,NP_001123521.1,NP_001123522.1,NP_001305778.1,NP_001353605.1,NP_001353606.1,NP_001353607.1,NP_001353608.1,NP_001353609.1,NP_001353610.1,NP_001353611.1,NP_001353612.1,NP_001353613.1,NP_056111.1
ENSG00000088448	ankyrin repeat domain 10	NP_001273650.1,NP_060134.2
ENSG00000088451	TDP-glucose 4,6-dehydratase	NP_001291359.1,NP_055120.1
ENSG00000088538	dedicator of cytokinesis 3	NP_004938.1
ENSG00000088543	chromosome 3 open reading frame 18	NP_001165211.1,NP_001165212.1,NP_001165214.2,NP_057294.2
ENSG00000088682	coenzyme Q9	NP_064708.1
ENSG00000088726	transmembrane protein 40	NP_001271335.1,NP_001271336.1,NP_001271337.1,NP_060776.2
ENSG00000088727	kinesin family member 9	NP_001128350.1,NP_001364403.1,NP_001364404.1,NP_001364405.1,NP_001364406.1,NP_071737.1,NP_878905.2
ENSG00000088756	Rho GTPase activating protein 28	NP_001010000.1,NP_001353159.1,NP_001353160.1
ENSG00000088766	cardiolipin synthase 1	NP_001120930.1,NP_001310490.1,NP_001310491.1,NP_001310492.1,NP_001310493.1,NP_061968.1
ENSG00000088782	defensin beta 127	NP_620713.1
ENSG00000088808	protein phosphatase 1 regulatory subunit 13B	NP_056131.2
ENSG00000088812	attractin	NP_001193976.1,NP_001310261.1,NP_647537.1,NP_647538.1
ENSG00000088826	spermine oxidase	NP_001257620.1,NP_787033.1,NP_787034.1,NP_787035.1,NP_787036.1
ENSG00000088827	sialic acid binding Ig like lectin 1	NP_001354018.1,NP_075556.1
ENSG00000088832	FKBP prolyl isomerase 1A	NP_000792.1,NP_001186715.1,NP_463460.1
ENSG00000088833	NSFL1 cofactor	NP_001193665.1,NP_057227.2,NP_061327.2
ENSG00000088836	solute carrier family 4 member 11	NP_001167560.1,NP_001167561.1,NP_001350674.1,NP_114423.1
ENSG00000088854	dynein axonemal assembly factor 9	NP_001009984.1
ENSG00000088876	zinc finger protein 343	NP_001269424.1,NP_001269425.1,NP_001269426.1,NP_001269427.1,NP_001269428.1,NP_001308729.1,NP_001308730.1,NP_001308731.1,NP_001308732.1,NP_001308734.1,NP_077301.4
ENSG00000088881	EBF family member 4	NP_001103984.1,NP_001382096.1,NP_001382097.1
ENSG00000088882	carboxypeptidase X, M14 family member 1	NP_001171628.1,NP_062555.1
ENSG00000088888	mitochondrial antiviral signaling protein	NP_001193420.1,NP_001372592.1,NP_065797.2
ENSG00000088899	leucine zipper tumor suppressor family member 3	NP_001269462.1,NP_001352547.1,NP_001354538.1,NP_001375118.1,NP_001375119.1,NP_001375120.1,NP_001375121.1,NP_001375122.1
ENSG00000088926	coagulation factor XI	NP_000119.1,NP_001341733.1
ENSG00000088930	5'-3' exoribonuclease 2	NP_001304889.1,NP_036387.2
ENSG00000088970	kizuna centrosomal protein	NP_001156494.1,NP_001156495.1,NP_001263318.1,NP_001339363.1,NP_001339364.1,NP_001339365.1,NP_060944.3
ENSG00000088986	dynein light chain LC8-type 1	NP_001032583.1,NP_001032584.1,NP_003737.1
ENSG00000088992	tescalcin	NP_001161797.1,NP_060369.3
ENSG00000089006	sorting nexin 5	NP_001269383.1,NP_055241.1,NP_689413.1
ENSG00000089009	ribosomal protein L6	NP_000961.2,NP_001019833.1,NP_001307066.1,NP_001307067.1,NP_001307068.1,NP_001307069.1,NP_001307070.1,NP_001307071.1
ENSG00000089012	signal regulatory protein gamma	NP_001034597.1,NP_061026.2,NP_543006.2
ENSG00000089022	MAPK activated protein kinase 5	NP_001358408.1,NP_001358409.1,NP_001358410.1,NP_001358411.1,NP_001358412.1,NP_001358413.1,NP_001358414.1,NP_001358415.1,NP_001358416.1,NP_003659.2,NP_620777.1
ENSG00000089041	purinergic receptor P2X 7	NP_002553.3
ENSG00000089048	ESF1 nucleolar pre-rRNA processing protein homolog	NP_001263309.1,NP_057733.2
ENSG00000089050	RB binding protein 9, serine hydrolase	NP_006597.2
ENSG00000089053	anaphase promoting complex subunit 5	NP_001131031.1,NP_001317418.1,NP_057321.2
ENSG00000089057	solute carrier family 23 member 2	NP_005107.4,NP_976072.1
ENSG00000089060	solute carrier family 8 member B1	NP_001317395.1,NP_001345274.1,NP_079235.2
ENSG00000089063	transmembrane protein 230	NP_001009923.1,NP_001009924.1,NP_001009925.1,NP_001317913.1,NP_001317914.1,NP_001317915.1,NP_001317916.1,NP_054864.3
ENSG00000089091	double zinc ribbon and ankyrin repeat domains 1	NP_001092877.1,NP_001338612.2,NP_001338613.1,NP_001354540.1,NP_001354541.1,NP_001354542.1,NP_001354543.1,NP_001354546.1,NP_001354547.1,NP_001354548.1,NP_060622.2
ENSG00000089094	lysine demethylase 2B	NP_001005366.1,NP_115979.3
ENSG00000089101	cilia and flagella associated protein 61	NP_001161288.1,NP_056400.3
ENSG00000089116	LIM homeobox 5	NP_071758.1
ENSG00000089123	taspase 1	NP_001310531.1,NP_001310532.1,NP_001310533.1,NP_060184.2
ENSG00000089127	2'-5'-oligoadenylate synthetase 1	NP_001027581.1,NP_001307080.1,NP_002525.2,NP_058132.2
ENSG00000089154	GCN1 activator of EIF2AK4	NP_006827.1
ENSG00000089157	ribosomal protein lateral stalk subunit P0	NP_000993.1,NP_444505.1
ENSG00000089159	paxillin	NP_001074324.1,NP_001230685.1,NP_001372910.1,NP_001372911.1,NP_001372912.1,NP_001372913.1,NP_001372914.1,NP_001372915.1,NP_001372916.1,NP_001372917.1,NP_001372918.1,NP_001372919.1,NP_002850.2,NP_079433.3
ENSG00000089163	sirtuin 4	NP_001372662.1,NP_001372663.1,NP_001372664.1,NP_036372.1
ENSG00000089169	rabphilin 3A	NP_001137326.1,NP_001334881.1,NP_001334882.1,NP_001334883.1,NP_001334884.1,NP_055769.2
ENSG00000089177	kinesin family member 16B	NP_001186794.1,NP_001186795.1,NP_078980.3
ENSG00000089195	tRNA methyltransferase 6 non-catalytic subunit	NP_001268396.1,NP_057023.2
ENSG00000089199	chromogranin B	NP_001810.2
ENSG00000089220	phosphatidylethanolamine binding protein 1	NP_002558.1
ENSG00000089225	T-box transcription factor 5	NP_000183.2,NP_542448.1,NP_852259.1
ENSG00000089234	BRCA1 associated protein	NP_006759.3
ENSG00000089248	endoplasmic reticulum protein 29	NP_001029197.1,NP_006808.1
ENSG00000089250	nitric oxide synthase 1	NP_000611.1,NP_001191142.1,NP_001191143.1,NP_001191147.1
ENSG00000089280	FUS RNA binding protein	NP_001164105.1,NP_001164408.1,NP_004951.1
ENSG00000089289	immunoglobulin binding protein 1	NP_001357121.1,NP_001357122.1,NP_001357123.1,NP_001542.1
ENSG00000089327	FXYD domain containing ion transport regulator 5	NP_001158077.1,NP_001307841.1,NP_001307842.1,NP_054883.3,NP_659003.1
ENSG00000089335	zinc finger protein 302	NP_001012320.1,NP_001276110.1,NP_001276111.1,NP_001276112.1,NP_001276113.1,NP_001276114.1,NP_001276115.1,NP_001276116.1,NP_001276117.1,NP_001276118.1,NP_001276119.1,NP_001276120.1,NP_001276121.1,NP_060913.2,NP_061145.2
ENSG00000089351	GRAM domain containing 1A	NP_001129671.1,NP_001306963.1,NP_001306964.1,NP_001306965.1,NP_065946.2
ENSG00000089356	FXYD domain containing ion transport regulator 3	NP_001129479.1,NP_001129480.1,NP_001129481.1,NP_001129482.1,NP_001129483.1,NP_001129484.1,NP_001374278.1,NP_001374279.1,NP_001374281.1,NP_001374282.1,NP_001374283.1,NP_001374284.1,NP_005962.1,NP_068710.1
ENSG00000089472	hephaestin	NP_001124332.2,NP_001269070.2,NP_001354161.2,NP_001354162.2,NP_001354163.2,NP_001354165.2,NP_001354167.2,NP_001354168.2,NP_001354169.2,NP_001354170.2,NP_001354171.1,NP_001354172.2,NP_055614.1,NP_620074.3
ENSG00000089486	cell death inducing p53 target 1	NP_001185983.1,NP_001185984.1,NP_001185985.1,NP_037531.2
ENSG00000089505	CKLF like MARVEL transmembrane domain containing 1	NP_443725.3,NP_851785.2,NP_851786.1,NP_851787.1,NP_851788.1,NP_851789.1,NP_851800.1,NP_851813.1
ENSG00000089558	potassium voltage-gated channel subfamily H member 4	NP_036417.1
ENSG00000089597	glucosidase II alpha subunit	NP_001265121.1,NP_001265122.1,NP_001265123.1,NP_001316151.1,NP_001316152.1,NP_001316153.1,NP_001316154.1,NP_938148.1,NP_938149.2
ENSG00000089639	GEM interacting protein	NP_001275927.1,NP_001275928.1,NP_057657.2
ENSG00000089682	RNA binding motif protein 41	NP_001164551.1,NP_001311171.1,NP_001311172.1,NP_001311173.1,NP_001381045.1,NP_001381046.1,NP_001381047.1,NP_001381048.1,NP_001381049.1,NP_001381050.1,NP_001381051.1,NP_001381052.1,NP_001381053.1,NP_001381054.1,NP_001381055.1,NP_001381056.1,NP_060771.3
ENSG00000089685	baculoviral IAP repeat containing 5	NP_001012270.1,NP_001012271.1,NP_001159.2
ENSG00000089692	lymphocyte activating 3	NP_002277.4
ENSG00000089693	myeloid leukemia factor 2	NP_001369154.1,NP_001369155.1,NP_005430.1
ENSG00000089723	OTU deubiquitinase, ubiquitin aldehyde binding 2	NP_075601.1
ENSG00000089737	DEAD-box helicase 24	NP_065147.1
ENSG00000089775	zinc finger and BTB domain containing 25	NP_001291436.1,NP_001291437.1,NP_001341611.1,NP_001341612.1,NP_001341613.1,NP_001341614.1,NP_001341615.1,NP_001341616.1,NP_008908.2
ENSG00000089818	NECAP endocytosis associated 1	NP_056324.2
ENSG00000089820	Rho GTPase activating protein 4	NP_001158213.1,NP_001657.3
ENSG00000089847	ankyrin repeat domain 24	NP_001380481.1,NP_001380482.1,NP_001380484.1,NP_001380485.1,NP_001380486.1,NP_001380914.1,NP_597732.1
ENSG00000089876	DEAH-box helicase 32 (putative)	NP_060650.2
ENSG00000089902	REST corepressor 1	NP_055971.2
ENSG00000089916	G-patch domain containing 2 like	NP_001308955.1,NP_001308956.1,NP_001308957.1,NP_001308958.1,NP_001308959.1,NP_001308960.1,NP_001308961.1,NP_060396.2,NP_060442.2
ENSG00000090006	latent transforming growth factor beta binding protein 4	NP_001036009.1,NP_001036010.1,NP_003564.2
ENSG00000090013	biliverdin reductase B	NP_000704.1
ENSG00000090020	solute carrier family 9 member A1	NP_003038.2
ENSG00000090054	serine palmitoyltransferase long chain base subunit 1	NP_001268232.1,NP_001355201.1,NP_001355202.1,NP_006406.1,NP_847894.1
ENSG00000090060	poly(A) polymerase alpha	NP_001238935.1,NP_001238936.1,NP_001280556.1,NP_001280557.1,NP_001280561.1,NP_001350591.1,NP_001350593.1,NP_001350594.1,NP_001350595.1,NP_116021.2
ENSG00000090061	cyclin K	NP_001092872.1
ENSG00000090097	poly(rC) binding protein 4	NP_001167571.1,NP_001350814.1,NP_065151.2,NP_127501.1,NP_127503.1
ENSG00000090104	regulator of G protein signaling 1	NP_002913.3
ENSG00000090238	yippee like 3	NP_001138996.1,NP_113665.3
ENSG00000090263	mitochondrial ribosomal protein S33	NP_057155.1,NP_444263.1
ENSG00000090266	NADH:ubiquinone oxidoreductase subunit B2	NP_004537.1
ENSG00000090273	nuclear distribution C, dynein complex regulator	NP_006591.1
ENSG00000090316	macrophage erythroblast attacher, E3 ubiquitin ligase	NP_001017405.1,NP_001284359.1,NP_001284360.1,NP_001284361.1,NP_001284362.1,NP_005873.2
ENSG00000090339	intercellular adhesion molecule 1	NP_000192.2
ENSG00000090372	striatin 4	NP_001034966.1,NP_037535.2
ENSG00000090376	interleukin 1 receptor associated kinase 3	NP_001135995.1,NP_009130.2
ENSG00000090382	lysozyme	NP_000230.1
ENSG00000090402	sucrase-isomaltase	NP_001032.2
ENSG00000090432	mitochondrial E3 ubiquitin protein ligase 1	NP_078820.2
ENSG00000090447	transcription factor AP-4	NP_003214.1
ENSG00000090470	programmed cell death 7	NP_005698.1
ENSG00000090487	SPG21 abhydrolase domain containing, maspardin	NP_001121361.1,NP_001121362.1,NP_057714.1
ENSG00000090512	fetuin B	NP_001295006.1,NP_001295008.1,NP_001362516.1,NP_001362517.1,NP_001362518.1,NP_001362519.1,NP_001362520.1,NP_001362521.1,NP_055190.2
ENSG00000090520	DnaJ heat shock protein family (Hsp40) member B11	NP_001365380.1,NP_057390.1
ENSG00000090530	prolyl 3-hydroxylase 2	NP_001127890.1,NP_060662.2
ENSG00000090534	thrombopoietin	NP_000451.1,NP_001171068.1,NP_001171069.1,NP_001276926.1,NP_001276927.1,NP_001276932.1,NP_001276951.1,NP_001276955.1,NP_001276956.1,NP_001276957.1
ENSG00000090539	chordin	NP_001291401.1,NP_001291402.1,NP_001291403.1,NP_003732.2
ENSG00000090554	fms related receptor tyrosine kinase 3 ligand	NP_001191431.1,NP_001191432.1,NP_001265566.1,NP_001265567.1,NP_001450.2
ENSG00000090565	RAB11 family interacting protein 3	NP_001135744.2,NP_001357330.1,NP_055515.1
ENSG00000090581	N-acetylglucosamine-1-phosphate transferase subunit gamma	NP_115909.1
ENSG00000090612	zinc finger protein 268	NP_001159353.1,NP_001159354.1,NP_001159355.1,NP_001159356.2,NP_001159357.1,NP_001159358.1,NP_001159359.1,NP_003406.1,NP_694422.2
ENSG00000090615	golgin A3	NP_001166028.1,NP_001376612.1,NP_001376613.1,NP_001376614.1,NP_001376615.1,NP_001376616.1,NP_001376617.1,NP_001376618.1,NP_005886.2
ENSG00000090621	poly(A) binding protein cytoplasmic 4	NP_001129125.1,NP_001129126.1,NP_003810.1
ENSG00000090659	CD209 molecule	NP_001138365.1,NP_001138366.1,NP_001138367.1,NP_001138368.1,NP_001138369.1,NP_001138371.1,NP_066978.1
ENSG00000090661	ceramide synthase 4	NP_078828.2
ENSG00000090674	mucolipin TRP cation channel 1	NP_065394.1
ENSG00000090686	ubiquitin specific peptidase 48	NP_001027902.1,NP_001317323.1,NP_001337093.1,NP_001337095.1,NP_001337096.1,NP_001337097.1,NP_115612.4
ENSG00000090776	ephrin B1	NP_004420.1
ENSG00000090857	pyruvate dehydrogenase phosphatase regulatory subunit	NP_001309046.1,NP_001309047.1,NP_001309048.1,NP_060460.4
ENSG00000090861	alanyl-tRNA synthetase 1	NP_001596.2
ENSG00000090863	golgi glycoprotein 1	NP_001139138.1,NP_001139139.1,NP_036333.2
ENSG00000090889	kinesin family member 4A	NP_036442.3
ENSG00000090905	trinucleotide repeat containing adaptor 6A	NP_001317449.1,NP_001338779.1,NP_055309.2
ENSG00000090924	pleckstrin homology and RhoGEF domain containing G2	NP_001338622.1,NP_001338623.1,NP_073746.2
ENSG00000090932	delta like canonical Notch ligand 3	NP_058637.1,NP_982353.1
ENSG00000090971	N-acetyltransferase 14 (putative)	NP_065111.1
ENSG00000090975	phosphatidylinositol transfer protein membrane associated 2	NP_001287730.1,NP_001371589.1,NP_001371590.1,NP_001371591.1,NP_001371592.1,NP_001371593.1,NP_001371594.1,NP_001371595.1,NP_001371596.1,NP_001371597.1,NP_065896.1
ENSG00000090989	exocyst complex component 1	NP_001020095.1,NP_060731.2,NP_839955.1
ENSG00000091009	RNA binding motif protein 27	NP_061862.1
ENSG00000091010	POU class 4 homeobox 3	NP_002691.1
ENSG00000091039	oxysterol binding protein like 8	NP_001003712.1,NP_001306581.1,NP_001306582.1,NP_001306584.1,NP_065892.1
ENSG00000091073	deltex E3 ubiquitin ligase 2	NP_001096064.1,NP_001096065.1,NP_001096066.1,NP_065943.2
ENSG00000091106	NLR family CARD domain containing 4	NP_001186067.1,NP_001186068.1,NP_001289433.1,NP_067032.3
ENSG00000091127	pseudouridine synthase 7	NP_001305092.1,NP_001305093.1,NP_061915.2
ENSG00000091128	laminin subunit beta 4	NP_001304975.1,NP_001304976.1,NP_001304977.1,NP_031382.2
ENSG00000091129	neuronal cell adhesion molecule	NP_001032209.1,NP_001180511.1,NP_001180512.1,NP_001180513.1,NP_001358048.1,NP_001358051.1,NP_001358052.1,NP_001358053.1,NP_001358054.1,NP_001358055.1,NP_001358056.1,NP_001358057.1,NP_001358058.1,NP_001358059.1,NP_001358060.1,NP_001358061.1,NP_001358062.1,NP_001358063.1,NP_001358064.1,NP_001358065.1,NP_001358066.1,NP_001358067.1,NP_001358068.1,NP_001358069.1,NP_001358070.1,NP_001358071.1,NP_001358072.1,NP_001358073.1,NP_001358074.1,NP_001358075.1,NP_001358076.1,NP_001358077.1,NP_001358078.1,NP_001358079.1,NP_001358080.1,NP_001358081.1,NP_001358082.1,NP_001358083.1,NP_001358084.1,NP_001358085.1,NP_001358086.1,NP_001358087.1,NP_001358088.1,NP_001358089.1,NP_001358090.1,NP_001358091.1,NP_001358092.1,NP_001358093.1,NP_001358094.1,NP_001358095.1,NP_001358096.1,NP_001358097.1,NP_001358098.1,NP_001358099.1,NP_001358100.1,NP_001358101.1,NP_001358102.1,NP_001358103.1,NP_001358104.1,NP_001358105.1,NP_001358106.1,NP_001358107.1,NP_001358108.1,NP_001358109.1,NP_001358110.1,NP_001358111.1,NP_005001.3
ENSG00000091136	laminin subunit beta 1	NP_002282.2
ENSG00000091137	solute carrier family 26 member 4	NP_000432.1
ENSG00000091138	solute carrier family 26 member 3	NP_000102.1
ENSG00000091140	dihydrolipoamide dehydrogenase	NP_000099.2,NP_001276679.1,NP_001276680.1,NP_001276681.1
ENSG00000091157	WD repeat domain 7	NP_001369414.1,NP_001369416.1,NP_056100.2,NP_443066.2
ENSG00000091164	thioredoxin like 1	NP_004777.1
ENSG00000091181	interleukin 5 receptor subunit alpha	NP_000555.2,NP_001230028.1,NP_783851.1,NP_783852.1,NP_783853.1,NP_783854.1,NP_783855.1
ENSG00000091262	ATP binding cassette subfamily C member 6	NP_001072996.1,NP_001162.5,NP_001338729.1
ENSG00000091317	CKLF like MARVEL transmembrane domain containing 6	NP_060271.1
ENSG00000091409	integrin subunit alpha 6	NP_000201.2,NP_001073286.1,NP_001303235.1,NP_001352458.1,NP_001352459.1,NP_001381857.1
ENSG00000091428	Rap guanine nucleotide exchange factor 4	NP_001093867.1,NP_001269828.1,NP_001269829.1,NP_001269830.1,NP_001362793.1,NP_001362794.1,NP_001362795.1,NP_001362796.1,NP_001362797.1,NP_001362798.1,NP_001362799.1,NP_001362800.1,NP_001362801.1,NP_001362802.1,NP_001362803.1,NP_001362804.1,NP_001362805.1,NP_008954.2
ENSG00000091436	mitogen-activated protein kinase kinase kinase 20	NP_057737.2,NP_598407.1
ENSG00000091482	small muscle protein X-linked	NP_055147.1
ENSG00000091483	fumarate hydratase	NP_000134.2
ENSG00000091490	SEL1L family member 3	NP_001284521.1,NP_001284523.1,NP_056002.2
ENSG00000091513	transferrin	NP_001054.2,NP_001341632.2,NP_001341633.2
ENSG00000091527	CDV3 homolog	NP_001127894.1,NP_001127895.1,NP_001269691.1,NP_001269692.1,NP_001269693.1,NP_001269694.1,NP_060018.1
ENSG00000091536	myosin XVA	NP_057323.3
ENSG00000091542	alkB homolog 5, RNA demethylase	NP_060228.3
ENSG00000091583	apolipoprotein H	NP_000033.2
ENSG00000091592	NLR family pyrin domain containing 1	NP_001028225.1,NP_055737.1,NP_127497.1,NP_127499.1,NP_127500.1
ENSG00000091622	PITPNM family member 3	NP_001159438.1,NP_112497.2
ENSG00000091640	sperm associated antigen 7	NP_004881.2
ENSG00000091651	origin recognition complex subunit 6	NP_055136.1
ENSG00000091656	zinc finger homeobox 4	NP_078997.4
ENSG00000091664	solute carrier family 17 member 6	NP_065079.1
ENSG00000091704	carboxypeptidase A1	NP_001859.1
ENSG00000091732	zinc finger C3HC-type containing 1	NP_001269119.1,NP_001269120.1,NP_001350630.1,NP_057562.3
ENSG00000091831	estrogen receptor 1	NP_000116.2,NP_001116212.1,NP_001116213.1,NP_001116214.1,NP_001278159.1,NP_001278170.1,NP_001315029.1,NP_001372497.1,NP_001372498.1,NP_001372499.1,NP_001372500.1,NP_001372501.1
ENSG00000091844	regulator of G protein signaling 17	NP_036551.3
ENSG00000091879	angiopoietin 2	NP_001112359.1,NP_001112360.1,NP_001138.1,NP_001373264.1,NP_001373265.1,NP_001373266.1
ENSG00000091947	transmembrane protein 101	NP_001291742.1,NP_001291743.1,NP_115752.1
ENSG00000091972	CD200 molecule	NP_001004196.2,NP_001305755.1,NP_001305757.1,NP_001305759.1,NP_001352780.1,NP_001352781.1,NP_001352782.1,NP_001352783.1,NP_001352784.1,NP_005935.4
ENSG00000091986	coiled-coil domain containing 80	NP_955805.1,NP_955806.1
ENSG00000092009	chymase 1	NP_001295012.1,NP_001827.1
ENSG00000092010	proteasome activator subunit 1	NP_001268457.1,NP_001268458.1,NP_006254.1,NP_788955.1
ENSG00000092020	protein phosphatase 2 regulatory subunit B''gamma	NP_001292084.1,NP_001292085.1,NP_060387.2
ENSG00000092036	HAUS augmin like complex subunit 4	NP_001159741.1,NP_001159742.1,NP_060285.2
ENSG00000092051	junctophilin 4	NP_001139500.1,NP_115828.2
ENSG00000092054	myosin heavy chain 7	NP_000248.2
ENSG00000092067	CCAAT enhancer binding protein epsilon	NP_001796.2
ENSG00000092068	solute carrier family 7 member 8	NP_001253965.1,NP_001253966.1,NP_036376.2,NP_877392.1
ENSG00000092094	O-sialoglycoprotein endopeptidase	NP_060277.1
ENSG00000092096	solute carrier family 22 member 17	NP_001275979.1,NP_057693.3,NP_065105.2
ENSG00000092098	ring finger protein 31	NP_001297261.1,NP_060469.4
ENSG00000092108	sec1 family domain containing 1	NP_001244305.1,NP_001269960.1,NP_001269961.1,NP_001269962.1,NP_057190.2,NP_878255.1
ENSG00000092140	G2/M-phase specific E3 ubiquitin protein ligase	NP_001295026.1,NP_060239.2
ENSG00000092148	HECT domain E3 ubiquitin protein ligase 1	NP_056197.3
ENSG00000092199	heterogeneous nuclear ribonucleoprotein C	NP_001070910.1,NP_001070911.1,NP_004491.2,NP_112604.2
ENSG00000092200	RPGR interacting protein 1	NP_001364452.1,NP_001364877.1,NP_001364878.1,NP_001364879.1,NP_001364880.1,NP_065099.3
ENSG00000092201	SPT16 homolog, facilitates chromatin remodeling subunit	NP_009123.1
ENSG00000092203	TOX high mobility group box family member 4	NP_001290452.1,NP_055643.1
ENSG00000092208	gem nuclear organelle associated protein 2	NP_001009182.2,NP_001009183.2,NP_003607.2
ENSG00000092295	transglutaminase 1	NP_000350.1
ENSG00000092330	TERF1 interacting nuclear factor 2	NP_001092744.1,NP_001350597.1,NP_036593.2
ENSG00000092345	deleted in azoospermia like	NP_001177740.1,NP_001342.2
